#rank	DIAMOnD_node	p_hyper
1	5970	1.5103074459006868e-16
2	5971	4.015433993823773e-12
3	6352	1.1303348572676894e-13
4	1238	2.8126640402123782e-14
5	4790	6.859491793218686e-12
6	51554	1.0269965908776749e-13
7	3576	2.037545265362875e-12
8	5196	1.736596273180226e-12
9	6357	2.583469305102057e-12
10	1234	3.722389830887814e-13
11	4321	7.096840875123382e-13
12	10344	1.393618683331215e-12
13	1232	4.3733192160186234e-14
14	30009	1.0225458170928845e-12
15	6778	8.553094357549437e-12
16	3659	4.909352455620796e-12
17	6772	3.3864381189677284e-12
18	6373	5.085898721167439e-14
19	3627	1.4802006299435439e-13
20	6387	2.1521623326997333e-14
21	7130	1.7377901258730325e-14
22	6370	3.8194290084402314e-14
23	2920	2.356681679449153e-13
24	1803	3.642537405248046e-14
25	6366	2.757639153826699e-12
26	1462	9.857712508917944e-12
27	4318	2.6705781153845398e-11
28	6372	1.996759359444232e-13
29	3725	5.761096530624298e-12
30	6364	8.53964114070903e-12
31	4312	1.254243196394172e-11
32	1051	2.3902964264115094e-12
33	6774	2.4035887593865265e-12
34	2033	1.256211296421949e-12
35	330	4.685483580191601e-13
36	7852	3.2725727571098686e-12
37	3660	4.392637470446813e-12
38	3456	3.484450019755158e-13
39	3663	1.8777095355611055e-13
40	10379	1.2833614437118117e-13
41	3665	2.1882689950794144e-14
42	1387	3.1952025649778286e-12
43	3593	6.723185008538783e-14
44	5966	8.846872358021685e-14
45	3592	3.3005950239819073e-15
46	604	3.112287989242025e-13
47	3662	1.9581254065342594e-14
48	3394	1.2284882395225905e-15
49	6348	5.025750011090106e-15
50	4772	3.115418274369394e-14
51	4773	8.316010111672666e-15
52	282618	2.369765695323588e-13
53	3661	2.945445625797338e-13
54	4261	4.589828620101936e-13
55	6773	1.235465839066063e-12
56	2625	2.893242042725361e-12
57	6775	1.05331422914019e-12
58	6667	2.688401456655951e-12
59	4791	1.4796383877346346e-13
60	282617	2.7626356227977136e-14
61	554226	6.04302653802024e-13
62	6688	1.0219858149067514e-12
63	727758	9.272795797906833e-14
64	2908	1.9905789593264232e-13
65	255403	2.1830649024072277e-14
66	3586	2.4250512940741772e-14
67	152687	3.304690151218855e-14
68	1499	5.002582495372231e-13
69	3558	7.338356658630061e-14
70	861	3.144326432370438e-14
71	3065	4.745553830500317e-15
72	9612	1.1014018608505366e-15
73	5371	6.906470368236894e-16
74	2353	4.983463043355183e-16
75	3066	5.115458163336187e-16
76	1385	8.730563948940336e-16
77	1390	2.5611640794675678e-17
78	50943	1.8285363670819971e-16
79	5594	2.9604639654539946e-15
80	5468	5.873322340897423e-16
81	6597	2.05859191734944e-16
82	7157	3.423036240435975e-17
83	8841	6.677332774556779e-18
84	367	1.6275463201198719e-16
85	5914	9.026401793943651e-18
86	8648	4.262997881697021e-18
87	8850	6.829891618930745e-19
88	5467	8.359432386239135e-18
89	10499	3.454240849195669e-19
90	8202	3.81263179367046e-20
91	6256	1.0334103935277477e-19
92	9611	9.969651586708019e-21
93	7421	2.7944744298073823e-20
94	23633	2.3035616251470968e-20
95	4792	5.614700319934408e-21
96	3836	3.1522512782615622e-21
97	2113	2.9750263261673063e-21
98	5241	3.499432353129054e-21
99	5595	4.493802468719679e-21
100	9576	1.5915099518456413e-21
101	4088	3.3613842329723426e-22
102	2099	8.575627621534648e-23
103	6497	6.0453153368932254e-24
104	1500	1.7134451275932874e-24
105	421	2.1668830159411293e-24
106	5925	1.0331712250730668e-24
107	672	4.094489444444155e-25
108	3091	4.721363903609717e-26
109	150709	1.121940875277057e-26
110	5599	9.331279980846914e-27
111	3164	1.1052050517344918e-27
112	5910	2.968004734820324e-28
113	1501	6.035401019311551e-28
114	3872	9.299071325050119e-28
115	9252	2.61126388442621e-28
116	8502	1.3024951632964613e-28
117	3455	3.9401031427613276e-30
118	25852	2.0509442008160986e-30
119	3552	5.717968803424786e-32
120	4929	3.532371537317819e-31
121	219681	2.2428845168915605e-31
122	4306	5.559301498069653e-33
123	3841	2.9708358661354373e-32
124	5465	1.2063115436045326e-33
125	93436	3.893422589193547e-33
126	3556	3.880287791989949e-34
127	5318	4.066229299138202e-34
128	64399	1.8020639214139303e-35
129	4843	2.683781553777291e-35
130	11187	5.6497091206298626e-36
131	3588	2.991174550331241e-37
132	50616	9.455121709472684e-38
133	55156	1.2556757945081586e-37
134	4293	5.030350301375733e-39
135	2494	1.4269299479177993e-38
136	51561	7.101907991694428e-38
137	7066	1.8915906903434424e-37
138	1942	6.910732090613106e-37
139	1487	1.4440092205789562e-36
140	5916	1.9125674108169043e-36
141	9970	6.447396151363747e-36
142	79637	6.426073227646809e-37
143	2044	5.495905697278179e-38
144	5527	3.4197137721899736e-37
145	6446	1.0755964572703179e-36
146	8569	2.8007166371889096e-37
147	1432	6.256557553645697e-37
148	6868	8.57792606475505e-38
149	11221	1.172625467540692e-37
150	841	1.6425385268725576e-37
151	7128	8.130591968154196e-38
152	5602	3.799941274892089e-37
153	10892	7.1614996498964316e-37
154	7341	3.8275614482469147e-36
155	7161	9.009834313544367e-37
156	4193	4.016970546932069e-37
157	10524	5.269479652577621e-38
158	4851	3.555353198774025e-38
159	182	5.710523059224342e-37
160	1457	1.072745327767236e-36
161	5601	9.975841617347182e-37
162	408	2.212153053929475e-37
163	2624	1.2210686781452002e-37
164	4089	5.61224297932687e-38
165	6714	1.631983037916371e-37
166	8856	1.3165922427923599e-38
167	7189	1.8137529239405596e-38
168	3717	2.7104649089086066e-37
169	3667	1.0440006367533872e-37
170	22943	3.974326709700328e-37
171	5294	5.649239414345378e-37
172	5795	8.611742101730472e-37
173	50846	1.7838898412043237e-36
174	3554	3.427082045769606e-36
175	9261	4.098942194149214e-36
176	3656	5.892163705123734e-36
177	114609	6.155393351028059e-36
178	5777	8.714956729048117e-36
179	4205	9.379212085873828e-36
180	3932	1.192590634122732e-35
181	5788	6.323803333680066e-37
182	940	5.242063759304405e-36
183	6452	3.031431843014198e-36
184	83737	7.303513241725477e-36
185	6850	5.559839865279213e-37
186	6464	1.213053467184494e-37
187	5295	1.4324938105840958e-37
188	3937	9.847583602911439e-39
189	7409	6.184446645102753e-39
190	3572	2.902273567557195e-40
191	2057	4.172183241975849e-39
192	6654	2.9087797142916256e-38
193	1436	1.1577915624006874e-39
194	25	5.51231820051323e-39
195	5296	1.2551120544665653e-38
196	1399	1.3401683342415629e-39
197	867	8.22056428304271e-41
198	2322	4.613850636623863e-41
199	27	2.3353557405157043e-41
200	7535	1.4353333163239956e-40
