#rank	DIAMOnD_node	p_hyper
1	57537	1.6160603892872222e-06
2	5179	1.80970205979552e-05
3	11255	2.0003734461772624e-05
4	2849	2.0491630424254017e-05
5	2	2.4241905079693165e-05
6	79971	6.346545530727883e-05
7	3352	6.57690744841142e-05
8	117	6.729614780662313e-05
9	808	0.00010452009426016563
10	3786	7.040269783039944e-05
11	54102	0.00014350138405651796
12	57657	0.00014667966941711962
13	805	0.00017333375019055197
14	2596	1.1789077436760443e-05
15	801	2.1024915164473707e-05
16	5470	1.366113284410108e-07
17	114	1.4097126445508976e-07
18	2915	3.588726832087052e-07
19	5475	5.975279840005352e-07
20	128153	6.159830822521507e-07
21	81792	2.4424219032909203e-06
22	3780	3.243850770853282e-06
23	2917	9.278257182152351e-06
24	84223	9.551900607583681e-06
25	5899	1.5728132580917442e-05
26	160140	2.149426515286577e-05
27	490	2.6109626425724224e-05
28	4846	1.9949745624879085e-05
29	1995	1.642962416292843e-05
30	22983	1.5723862056364808e-05
31	2639	3.5609050580106307e-06
32	140545	3.838524132926883e-07
33	1558	9.14822361272314e-07
34	51295	2.8136432723063315e-07
35	54536	1.9377045208411018e-07
36	84171	7.23747539951713e-08
37	9361	1.0875118027419227e-08
38	24138	4.137218286270867e-09
39	3437	2.8397140510898715e-10
40	5664	3.667238442226711e-08
41	54850	9.770079374706931e-08
42	7001	1.6935546688409368e-07
43	5663	2.3435579436827587e-08
44	11140	1.2760323406754273e-07
45	51013	2.7823706076461615e-08
46	84106	7.060057077716042e-08
47	5886	7.901065528812964e-08
48	1562	2.713248399640237e-07
49	1559	4.3931139980931386e-08
50	6468	9.400125032306802e-07
51	5864	1.0987572558950578e-06
52	10053	1.366682195144491e-07
53	351	3.20655430725404e-07
54	3337	2.870156085839613e-07
55	642	7.720712598215272e-07
56	9545	1.3366845177182455e-06
57	6009	2.0578548217445027e-06
58	57559	4.169685571733567e-06
59	10724	5.2759356916479435e-06
60	5116	1.639335839570357e-05
61	55361	2.5874287239639138e-05
62	2193	2.660229227077944e-05
63	815	3.709602775732888e-05
64	6262	1.56592393236915e-05
65	6622	1.7086589713285357e-05
66	6236	2.029905763134254e-05
67	1956	9.893920984622264e-06
68	2241	6.152715482983887e-06
69	6261	3.2127482840118134e-05
70	818	3.3182251236787174e-05
71	5865	4.774495822381647e-05
72	1132	4.802808443147228e-05
73	9641	5.349367545359988e-05
74	367	4.185724577447348e-05
75	1020	1.2533902458221447e-05
76	4638	1.4213200334951987e-05
77	323	1.4659498730021358e-05
78	3320	1.66789497938871e-05
79	65018	3.434197847196019e-06
80	5071	5.007956451037815e-06
81	3304	1.1075458829033532e-06
82	4137	4.5863269962837625e-06
83	10273	3.001578232412372e-06
84	3303	5.555446023953436e-07
85	6767	2.3244242771866267e-07
86	6523	2.844274950317558e-06
87	573	3.5921352680230252e-06
88	5970	2.513161030049062e-06
89	2932	1.4661362814540343e-06
90	5581	3.919780764377059e-07
91	3308	5.929678034402989e-07
92	1728	5.164751071159403e-07
93	7189	1.2006181301733268e-06
94	3312	3.1981194220995586e-07
95	9020	5.897627441703585e-08
96	91662	1.0806285793041847e-08
97	3654	3.138729006624291e-08
98	8517	5.485729892657769e-08
99	8878	1.7284961819685353e-08
100	3551	1.9948539227778397e-09
101	2475	8.307210650471499e-10
102	29110	1.3172657341771315e-09
103	1147	7.687503565762752e-10
104	57506	8.207627071753765e-10
105	10758	1.4852626899906246e-09
106	6885	2.1106499035772172e-10
107	8915	4.295280047108167e-10
108	84433	4.123054760242391e-11
109	7186	9.930540915407473e-11
110	5610	4.745490060433101e-11
111	10892	6.045237622100707e-11
112	330	5.2856113223727e-11
113	8767	1.2210230439969564e-11
114	7334	1.4043492796294337e-11
115	8737	1.315080250504555e-12
116	7128	2.1897907259854576e-13
117	329	3.46415364943535e-13
118	7132	1.8252606053351462e-13
119	7124	2.3812430736045563e-14
120	1540	1.8817254468586436e-14
121	7187	7.987436781396188e-15
122	8717	2.240623831125944e-15
123	10010	2.0948209278146484e-15
124	841	1.1302448005510039e-15
125	148022	1.4371051884362738e-15
126	23118	1.6303048317566895e-14
127	81858	1.4154999457071646e-13
128	7185	3.30905096970815e-14
129	55072	6.072049674264831e-15
130	64127	3.151902197361469e-15
131	10616	8.501141750558349e-15
132	23586	3.959973038355451e-15
133	958	7.033538971367422e-14
134	7188	1.4295687429143738e-13
135	7316	9.906662445765997e-14
136	64343	1.2644582420966748e-14
137	2113	1.2444236000816174e-14
138	5579	7.171182936862313e-15
139	331	7.888196664019328e-15
140	54101	2.6211449207761194e-16
141	4790	1.6874245851453152e-15
142	1499	8.771179342457227e-15
143	10454	7.32372889854588e-15
144	55156	3.915824169636902e-15
145	8837	1.458672923025412e-14
146	207	2.032260622927905e-14
147	4296	1.8674316302049915e-14
148	3326	2.1916826395246848e-14
149	1326	8.980246835516925e-16
150	4217	6.543046011265179e-15
151	5536	1.846101834621049e-14
152	5894	7.200022176869347e-15
153	5590	5.737731704476493e-15
154	5578	2.036467785219339e-15
155	4792	2.0692578382373964e-15
156	2624	8.344776451426427e-16
157	408	1.7525589257443547e-16
