#rank	DIAMOnD_node	p_hyper
1	55156	2.8482734666839993e-10
2	2639	7.451100950295816e-09
3	140545	7.61696531450441e-10
4	1558	1.3028714120505803e-09
5	22983	4.83631714104011e-11
6	54536	3.67731692248731e-10
7	51295	2.397379469131011e-11
8	3437	1.1212673059377961e-11
9	24138	3.906275836656171e-12
10	7001	7.2351591821706554e-12
11	9361	1.848598062936578e-11
12	84171	9.61423927436125e-13
13	54850	2.0775240958655969e-10
14	11140	9.373384049140051e-11
15	1995	7.672069316939588e-13
16	84106	1.347592031835201e-10
17	51013	2.5747068902148967e-09
18	5864	3.2494542605286227e-09
19	10053	2.7145557985647333e-10
20	5886	4.620064377973365e-09
21	6009	6.362487214776234e-09
22	1559	8.901556213499573e-09
23	1562	4.038125457790258e-10
24	57559	1.771071947373181e-08
25	10724	2.1591334866067993e-08
26	3337	3.318132528340534e-08
27	642	1.2274512524938226e-07
28	2193	1.318230464979231e-07
29	1020	2.5144499219192897e-07
30	6468	2.8091084979232415e-07
31	9545	4.384808147690411e-07
32	3490	6.556130955459318e-07
33	54103	7.13967945309619e-07
34	55851	2.3666200808853386e-08
35	83464	5.1109223366655e-07
36	51107	3.0797274241328413e-06
37	23621	3.665979266823464e-06
38	1956	4.337639492902548e-06
39	1634	5.234523846627101e-07
40	2888	7.974335756206178e-07
41	1500	9.584888110362422e-07
42	6622	2.3082014968307986e-07
43	1499	8.231652375520502e-08
44	154	2.2075885364124477e-08
45	150709	7.895232320639295e-09
46	3667	2.7842658263934555e-09
47	9576	1.3803473071510596e-09
48	868	8.254990688967328e-11
49	6464	9.08619140785781e-11
50	1399	1.4585673825744758e-11
51	5781	2.1007063786611706e-12
52	5296	2.8300711903314465e-13
53	219681	4.183379988771283e-14
54	5747	2.147198471567725e-14
55	867	2.509350828627185e-15
56	1501	1.2304393040961118e-15
57	3791	1.0017814886278171e-16
58	2321	3.2515584625687457e-17
59	3872	1.7297889980281217e-17
60	3815	6.610590762428643e-18
61	93436	2.6914716389091166e-18
62	2057	2.5819407622044766e-19
63	6850	7.575928385438037e-20
64	5777	4.126931905715489e-21
65	3841	5.488019561198317e-21
66	2213	2.0220836986721986e-22
67	2185	3.3167417499169164e-22
68	3717	1.6662945221828562e-23
69	421	7.669125057661118e-24
70	2885	8.38707820762569e-24
71	2322	2.5949531705309293e-25
72	11187	9.027899778140117e-26
73	3937	9.724248844396676e-27
74	7409	1.5313635653590268e-27
75	3932	1.4804894918642993e-28
76	7535	1.6590581063632276e-29
77	25852	1.650804694516805e-30
78	6452	8.762945554863946e-32
79	940	1.0015789484681071e-32
80	8502	5.429943560218135e-33
81	27	8.825738120397514e-33
82	5318	1.619795385482548e-33
83	5295	1.245056964669792e-33
84	2065	7.408442671476921e-35
85	5910	2.464349845972226e-35
86	4233	3.758976598064667e-35
87	79637	2.914483395617305e-36
88	3702	4.6175463155497625e-38
89	2064	1.115051761662933e-38
90	6654	3.5470232043444946e-38
91	23633	5.754609655896444e-39
92	2534	9.758685950696091e-40
93	1436	5.601241905966944e-40
94	6714	7.91824299290418e-40
95	3836	2.5341635009320275e-40
96	5829	2.938529466071353e-41
97	10298	4.559362448428088e-42
98	1445	8.846439089987026e-43
99	1398	1.22474580531467e-41
100	2690	6.157590210325956e-42
101	2533	1.2527873743679283e-40
102	4690	3.8697848699917354e-41
103	25	2.617374165232642e-41
104	1271	7.704406448274502e-42
105	3572	5.157576505749593e-42
106	5294	3.2186307648726976e-41
107	58480	1.1155948360654626e-40
108	9046	2.061485851418814e-40
109	7010	3.9627836073420223e-41
110	916	3.7153536552233656e-40
111	11122	5.189988918196613e-40
112	2066	2.142784096207856e-40
113	4915	2.3336371624214153e-40
114	6300	1.7167399853904674e-39
115	4921	2.5876586735240696e-39
116	5979	2.9754062662605392e-40
117	1950	8.745417299535311e-39
118	919	1.2116770649945935e-38
119	10603	3.2620614256817226e-38
120	10580	1.8389118763842825e-39
121	3636	8.778828985463964e-39
122	30011	4.6041346476872226e-38
123	2113	1.3570013695465847e-38
124	1785	3.0544489776187144e-39
125	5335	2.548414513985524e-38
126	4486	1.644314495162282e-39
127	5795	9.287835836874466e-38
128	5770	1.155440133597715e-37
129	2048	2.2191245873058697e-37
130	55620	2.9125655599749097e-37
131	5753	2.212227511526935e-37
132	3718	7.4215026302240225e-37
133	238	5.773254808600674e-38
134	7066	3.626826074876903e-36
135	3568	4.409665497970571e-36
136	367	2.8368951667011863e-35
137	5921	7.920513906742657e-37
138	2044	1.036692634023976e-36
139	3265	1.859465794478032e-36
140	8440	5.039937404676387e-36
141	2260	3.595528300504192e-37
142	50616	9.162754396655627e-36
143	10461	1.3506329889482092e-35
144	10188	2.245560829199587e-36
145	2624	1.5416963501716948e-35
146	5788	3.3233342717115817e-37
147	2046	9.011667365016201e-37
148	2549	1.2603895368390016e-36
149	83737	2.9293765203570855e-36
150	4734	9.805792833945624e-36
151	285	1.2979936841660172e-35
152	6001	1.9624283586419673e-35
153	8631	2.589037905943614e-35
154	4067	7.228127866590665e-36
155	9322	3.4294356444207964e-36
156	5588	9.497272888670993e-38
157	23624	9.937114302891145e-36
158	3690	1.0619037854339073e-34
159	5803	9.299660651297733e-36
160	660	1.9603653350621003e-34
161	5170	9.954901747096517e-35
162	10451	2.70452581786283e-34
163	5159	4.1343785846893357e-35
164	1796	3.3457340820671575e-34
165	3689	1.2709607224651508e-35
166	5058	6.570337662285984e-34
167	150	8.07559279169644e-35
168	4904	9.034779018372927e-35
169	29760	7.217232785606607e-36
170	4293	7.935621314877794e-36
171	3055	3.4833588606156615e-35
172	9479	4.6698309989481095e-35
173	64399	1.7712232009419891e-34
174	50846	3.932673774729195e-35
175	3561	2.4167787019665653e-34
176	6776	2.17330166805916e-34
177	5618	6.053850385283453e-35
178	9564	3.662578490871183e-34
179	8651	5.352403908855564e-34
180	4867	6.795177564141322e-34
181	3588	1.2780760527694345e-33
182	6503	2.1439896256913458e-33
183	1969	5.945222323231873e-34
184	1942	9.643175428762224e-35
185	4916	1.4710456626223797e-34
186	2042	3.900179691691366e-34
187	6774	5.263501944626554e-34
188	50943	1.6113671516939531e-34
189	2043	1.2291364381656156e-34
190	9021	2.6419418341695706e-34
191	558	2.5040523203722188e-34
192	3565	4.21112072041896e-34
193	11221	8.731737140003585e-34
194	5604	1.0897919149337911e-33
195	51429	1.2169670282200887e-33
196	6777	5.04516750240054e-35
197	2263	2.1528461854779935e-34
198	695	4.578812599217339e-34
199	5579	2.7324087234053987e-34
200	2268	1.2832788395674346e-33
