#rank	DIAMOnD_node	p_hyper
1	5970	6.190811850710791e-21
2	207	2.0318613782515287e-19
3	3725	3.474176825881652e-18
4	5594	8.114861324564101e-19
5	7316	1.2897135449354615e-18
6	3836	4.952963315493251e-19
7	5599	5.494756884730105e-19
8	3841	1.3376364505594137e-19
9	5468	1.9480372905548707e-19
10	5595	7.592131432565226e-19
11	3872	2.1296276400425404e-19
12	8502	2.5709310146340655e-19
13	4088	1.8334552104602016e-19
14	1500	7.541142265380057e-20
15	5241	2.8007276403981465e-20
16	421	1.5515955527855286e-20
17	5910	2.372538001561647e-20
18	25	1.9028717925868473e-20
19	6714	6.1446039186316324e-21
20	1501	1.6911838038441234e-21
21	3164	2.113393687999507e-21
22	23633	1.022414736028351e-21
23	5604	5.51012599385185e-22
24	150709	2.5438464964994456e-22
25	1432	1.5500028774371021e-22
26	9576	6.872115584514295e-23
27	6497	2.4050939989029224e-23
28	9612	8.232583203383666e-24
29	219681	2.309799510914795e-24
30	6772	5.468914239091382e-24
31	1457	1.8812225681675668e-24
32	93436	6.536457961322735e-25
33	5318	7.232517973084375e-25
34	4843	7.363804756298335e-26
35	6654	9.754336380370394e-26
36	25852	1.8315324161749302e-26
37	5467	6.710199045840241e-27
38	11187	1.7127410327692586e-27
39	5795	4.263935285348895e-28
40	55156	1.7617311338107262e-27
41	3643	1.3791573793678346e-28
42	10461	3.3218280734080405e-28
43	5296	5.918272257864753e-28
44	5747	4.142169336205382e-28
45	3480	4.7697876449995134e-29
46	6464	7.541797616795452e-30
47	79637	1.2159050696963677e-28
48	2260	1.796205325447258e-29
49	5979	2.511945576264719e-29
50	5781	4.516478469252719e-30
51	1399	1.779600736855441e-29
52	867	7.11410996397673e-30
53	5829	7.255617570059929e-31
54	5566	5.505770130989079e-30
55	1445	8.388664273527704e-31
56	3717	3.1967815911009155e-30
57	5777	6.020217864992837e-31
58	2113	4.517755520916756e-31
59	55620	3.8443239190807516e-32
60	2057	3.108670801547635e-31
61	2321	4.36295571308211e-31
62	1436	8.977145355687994e-31
63	7409	1.3679315606836633e-30
64	2690	1.8605002671682467e-30
65	2885	9.103452940136152e-31
66	5770	1.1840427340967844e-31
67	940	1.8547773010142993e-31
68	7535	2.798298664469581e-31
69	6452	2.2051516235507355e-32
70	2322	7.032197717195274e-32
71	6850	7.428276877788013e-33
72	3932	8.685843011276587e-34
73	5294	4.4746152148585296e-33
74	3815	3.1146106891750744e-34
75	868	1.1901811055366482e-33
76	2185	1.687847834272403e-33
77	1398	8.867258950832744e-34
78	27	5.479078904793367e-34
79	50943	4.9571944857639136e-33
80	5588	3.3822258505636857e-34
81	2533	3.3264318806297227e-34
82	3937	8.196988914167655e-35
83	3575	1.1604736165138061e-33
84	2624	8.591273209818629e-33
85	916	2.0267448024125673e-33
86	2534	1.0331102504171592e-33
87	10298	9.56552739992947e-34
88	4690	6.068129282521925e-33
89	919	1.136310850140252e-33
90	2213	1.3131216358540579e-33
91	5058	1.9899997351122575e-33
92	58480	8.939396674550015e-34
93	1271	6.22207829398101e-33
94	3791	7.468734833805587e-33
95	4921	1.2420047422546873e-32
96	9046	1.479822912194763e-32
97	3702	2.3814047800828467e-32
98	9322	1.1609003375269257e-31
99	7010	1.4126147018663552e-31
100	3636	1.7024479481112738e-31
101	30011	1.7475912759368359e-31
102	6776	2.1065172129291974e-31
103	3718	1.726951348764883e-32
104	3561	1.1994604097792077e-33
105	3565	1.0733497223857466e-32
106	660	3.763311138452717e-32
107	5170	5.211652901128152e-32
108	2066	6.507747216171906e-32
109	83737	9.534495265742518e-33
110	23624	2.303237616893371e-32
111	1969	2.7417006643793065e-32
112	369	1.481427963251672e-32
113	2268	6.614235722561902e-32
114	11122	9.79285261524758e-32
115	8651	1.2277975250617592e-31
116	5921	1.570396583731864e-32
117	2048	1.0211336860016492e-31
118	6300	2.6383910138233363e-31
119	4067	5.449217238654934e-31
120	5335	2.669878566012696e-31
121	4915	9.896033693255536e-31
122	5753	1.0850360126534274e-30
123	408	1.3107529235260132e-30
124	4792	5.968342944691298e-31
125	4904	6.558946100632392e-31
126	5578	1.4800173984986953e-31
127	2017	4.647257779456344e-31
128	7043	5.286840642319173e-31
129	10580	7.718148863414239e-31
130	238	8.327603613165742e-31
131	10188	1.4325699810328247e-30
132	7295	1.691417655624472e-30
133	841	2.0123649698610748e-30
134	7852	2.548175510145395e-30
135	7161	3.472354590437704e-30
136	11124	5.413019543270416e-31
137	4306	5.677484333900066e-31
138	5584	4.811712349982825e-30
139	2033	2.048762591040574e-30
140	9252	7.893455768602917e-31
141	1942	1.2018316284747664e-30
142	2046	9.769672591065213e-31
143	5527	1.589905023414625e-30
144	5579	5.5101804774685596e-30
145	695	5.676761595498702e-30
146	6777	5.5506373873481974e-30
147	5159	3.969456189782489e-30
148	10603	1.6773321674490434e-30
149	2247	8.717781794194014e-30
150	4734	1.0063120797995735e-29
151	2044	1.0514672173088114e-29
152	2263	1.1626444033976618e-29
153	54206	1.1396472863322934e-29
154	64399	1.4082025328753683e-29
155	3568	1.4603891239392403e-29
156	5618	2.823260853532573e-29
157	8945	1.6044697815137766e-29
158	7534	5.3879586078902984e-30
159	8878	4.858887078288105e-30
160	7046	5.110884669434611e-31
161	94	1.8300000911748455e-30
162	3320	2.0330973163682116e-30
163	4486	1.974893080345822e-31
164	10971	1.7849581315772488e-30
165	613	5.166264007924471e-31
166	3689	4.689416128662002e-30
167	5580	2.7699857646188978e-30
168	7189	1.4689001415650346e-30
169	9021	1.1551902796563866e-30
170	2549	9.887861934462661e-31
171	558	1.2439277769948146e-30
172	5037	3.1765683603450144e-30
173	673	1.2557633047899907e-30
174	4916	6.559580535709497e-30
175	4851	1.0877339925057158e-29
176	2623	4.330496706244018e-30
177	7867	2.125420807334131e-30
178	2042	4.6738230430733416e-30
179	285	1.018682324378607e-29
180	1785	1.2144102282695017e-29
181	51429	1.2131146193692634e-30
182	63978	8.805646706530826e-30
183	11221	1.1209124843694755e-30
184	9846	1.1739281905864167e-30
185	5336	5.449832343092995e-32
186	3055	1.1524138715712215e-30
187	4293	9.325669239639982e-30
188	2254	1.448401357829598e-29
189	6469	1.9661612600991847e-29
190	7533	2.3114482371620204e-29
191	26060	2.4577535963727287e-29
192	208	1.880235523102311e-29
193	5163	4.0974369369668e-30
194	6446	1.6634399687412734e-30
195	9261	8.208045393203e-30
196	3984	1.5720636959846385e-29
197	6503	3.785341453029791e-29
198	150	3.2253060356974075e-29
199	5602	2.303992401421726e-30
200	9479	6.35881360262446e-30
