#rank	DIAMOnD_node	p_hyper
1	150	2.8532783602547445e-23
2	5295	1.5422353026525902e-20
3	1387	3.3322312127445587e-16
4	367	6.373314612338751e-15
5	4904	2.7908515740295674e-12
6	55351	4.001635929351434e-14
7	56164	6.2954602105192405e-12
8	53944	1.1841402869442152e-11
9	9943	2.155134530409823e-11
10	5593	2.6410975380654116e-11
11	3326	2.115127939537453e-11
12	57172	1.468131826718755e-13
13	140469	6.504492227633793e-13
14	56924	1.531245113630233e-12
15	10110	1.9169946000625795e-12
16	2624	5.031704742849245e-12
17	282974	6.426445160085019e-14
18	340156	2.4380032882244535e-13
19	157285	2.8432779964254024e-13
20	51347	2.0279157889432913e-12
21	8814	2.346801519902237e-12
22	10645	3.760385064910905e-12
23	6446	2.1702161633600407e-12
24	2113	1.7571211400526232e-12
25	79858	2.5167241508695932e-14
26	23604	6.744958813522977e-14
27	11183	9.345095341349592e-14
28	50943	7.348511406773592e-14
29	375449	7.279451756781728e-16
30	22858	2.131338587062592e-15
31	81788	1.2841400572294445e-14
32	4750	1.755753621958195e-14
33	22848	2.3803166717808328e-14
34	9448	3.647159209842791e-14
35	63978	3.9675460263296954e-14
36	54986	2.852237821310358e-16
37	57396	4.148849821274291e-16
38	1326	6.783842040884837e-15
39	5608	4.750813489166754e-15
40	57118	1.1205883551567097e-14
41	10451	3.2578347979219384e-14
42	23387	6.160314279372087e-14
43	5128	7.002901237432213e-14
44	5607	8.906989409856842e-14
45	10602	2.0750963630792597e-13
46	79705	1.0212408998317235e-14
47	84441	4.046416419948751e-13
48	814	1.005233028322021e-12
49	8491	1.1391128301443667e-12
50	29949	1.4163763372934003e-12
51	140901	2.9113693706550884e-12
52	23012	3.208625217860495e-12
53	8428	5.859655021393725e-13
54	6794	1.4948388279254745e-12
55	5921	3.1016614985754644e-13
56	4233	1.0705760409339127e-12
57	5606	7.205089026705314e-14
58	84951	5.248348626022937e-13
59	7294	3.6843263584799524e-14
60	2623	1.0141061686865295e-13
61	9891	6.077488798775213e-14
62	5603	6.787876228541632e-14
63	5566	1.7723955289198152e-13
64	6885	1.2524792625315591e-14
65	4215	1.1081428467732705e-14
66	207	7.822156829892306e-14
67	11140	7.176174253246579e-15
68	2064	1.7006885771298733e-15
69	10000	7.43358031181269e-15
70	2289	5.771853374945966e-15
71	1021	5.723264026237605e-16
72	1969	6.752040570164013e-16
73	894	4.816712724490922e-16
74	5156	2.581533643529685e-17
75	26524	8.072930585692966e-18
76	2911	2.777716670459443e-18
77	11014	1.5882075614975995e-19
78	1030	1.7969962752201576e-20
79	1019	1.6989972140409886e-21
80	4771	3.804639967707234e-22
81	11186	1.224110843212059e-22
82	2264	6.318653978247067e-23
83	5894	3.540933594326449e-24
84	369	1.489660529670668e-23
