#rank	DIAMOnD_node	p_hyper
1	1141	5.140607366089467e-09
2	2	1.3825141737517523e-06
3	4157	3.034937819384304e-06
4	2849	2.0491630424254017e-05
5	3352	6.276734076539461e-05
6	57657	0.000128128864194094
7	6543	0.0002178859022274551
8	150465	0.0002229287842590956
9	51167	0.000228028796895283
10	221491	0.00023318592127708808
11	57574	0.000238400138562052
12	3356	0.0003220006568746906
13	1742	0.00018136908519480877
14	79935	0.00038031028191799754
15	389177	0.0003884327126283704
16	339541	0.00039663976287130704
17	2701	0.0004049313952968811
18	1361	0.0004133075725176311
19	8817	0.0004217682571908416
20	57537	0.00043031341194581257
21	57105	0.0005809786125637849
22	55530	0.0004476569824640619
23	134864	0.00018392115925224895
24	3931	0.00064907536523315
25	10021	0.000661558967702482
26	51555	0.0006741591688309514
27	735	0.0006868759040453059
28	5191	0.0007062977590980512
29	1386	0.0009430305589671299
30	5321	0.0001903153196330593
31	5970	0.0005316217676479542
32	11016	0.0001449786297022636
33	4790	0.00011058877769899561
34	8091	1.1190058698280258e-05
35	64332	2.743844780657613e-05
36	149478	3.92080249368281e-05
37	1385	6.658940323560202e-05
38	3458	1.2175233996644457e-05
39	3725	2.6121626988278248e-05
40	3576	1.849998437275549e-06
41	3558	2.9085487382154464e-06
42	2033	1.1091898030291473e-06
43	3726	4.0370199880019964e-07
44	1499	1.2988521984291746e-06
45	4435	6.392231583076973e-07
46	6774	7.672854159914659e-07
47	100131496	2.629032156686034e-07
48	4071	2.768765634632142e-07
49	5467	4.2709783501927565e-07
50	1316	5.638842786447753e-08
51	595	7.919067038986645e-08
52	6772	6.520376405714996e-08
53	6376	3.4336441405723715e-08
54	4837	3.9492420617847076e-08
55	1387	1.188118723084514e-07
56	5468	1.999503819213837e-08
57	8648	7.59131288943693e-09
58	4261	1.2865715929441606e-08
59	3065	9.093164108536011e-09
60	6667	3.3544558890954223e-09
61	9314	1.322316692647186e-10
62	4318	3.4612353024076736e-10
63	5241	1.5392020218807375e-09
64	9612	1.7446323504897237e-09
65	688	4.938341518822515e-10
66	9611	4.5180556536844155e-10
67	8841	6.018381646585101e-11
68	5371	1.0510121459201199e-11
69	861	2.86570957704203e-11
70	3066	7.581768652560999e-11
71	5914	1.7268822390865846e-11
72	5594	3.224029151834253e-11
73	7291	3.6152998759228166e-12
74	6256	9.969160670131354e-12
75	8202	2.9637920502554928e-12
76	3164	1.3685038995365936e-12
77	10499	1.1862079857975367e-13
78	5465	3.911430303205825e-13
79	367	5.012115152703092e-13
80	8370	8.281126389006873e-13
81	3593	1.7272097796529944e-13
82	7421	1.3839834235704415e-13
83	7376	6.735226729428484e-14
84	8431	1.1976519550363302e-14
85	23411	3.497255387706775e-14
86	10062	8.952438403242664e-15
87	23054	2.2036389597373518e-15
88	8850	2.5865797182749588e-15
89	2908	4.3971354736389305e-15
90	1026	2.8352846597432953e-15
91	4088	8.552736329195394e-16
92	7157	5.119559488453008e-16
93	2099	3.5885323384712057e-16
94	9759	1.5859215868487234e-16
95	23426	1.9946373226515264e-16
96	860	2.1621534915782607e-16
97	5925	8.178130423470659e-17
98	5599	1.1014256468782065e-16
99	1050	1.5971233971643697e-17
100	5595	4.224717078550941e-18
101	421	2.690692574965182e-18
102	3091	6.71485032242137e-19
103	6497	7.38984967523922e-19
104	4089	7.451100881702114e-20
105	9576	2.987240314870559e-20
106	3841	3.809315930432503e-20
107	1501	1.3702303968453763e-19
108	3872	1.8810458842636605e-19
109	9252	1.797706884382042e-20
110	8502	3.0936068753130067e-20
111	25852	7.154095216349029e-21
112	4929	1.991759237669019e-22
113	1487	1.0024953257400022e-21
114	150709	8.119171637607534e-22
115	5600	4.611190961610975e-23
116	1432	2.0620328209217417e-23
117	23633	1.2801690770039849e-23
118	10524	1.1970098320368026e-24
119	219681	1.6652183581244565e-24
120	4306	1.6328614112416751e-25
121	3586	1.8097905277408594e-25
122	93436	3.858876458451271e-26
123	4792	3.5662941651420207e-26
124	5318	4.88061972804413e-27
125	3565	1.2197516509235632e-27
126	1500	7.199067012503996e-28
127	2494	3.805582567427369e-29
128	9970	6.929634616832933e-29
129	11187	1.098902920020412e-29
130	5910	1.355471436799634e-29
131	3552	1.4792147538469992e-31
132	7066	7.445485324206596e-31
133	3836	2.715888710253876e-31
134	1852	9.102092567549266e-32
135	55156	4.1403127482616763e-32
136	64399	2.7451022381158456e-33
137	4056	5.151402059906875e-33
138	8856	7.184357955278231e-33
139	7161	1.3254671855230514e-33
140	7341	2.3253443129929377e-33
141	1942	1.2280634001095226e-32
142	2044	7.443503125501859e-34
143	79637	6.272112325168868e-34
144	22943	2.0349406106637436e-34
145	4293	3.2554191214187675e-34
146	5916	9.01771212898707e-34
147	5602	2.379418776258434e-33
148	11221	1.1622711353641452e-33
149	5601	2.9505341526366112e-33
150	4193	8.748035130454255e-34
151	4294	3.140780486540058e-33
152	2113	1.0093618144957326e-33
153	50616	5.913258255332649e-35
154	3455	2.620191341210692e-36
155	8569	2.0076448652229564e-34
156	3588	2.8038543112542184e-34
157	1859	3.9630898443257975e-34
158	9261	3.2359645307515396e-33
159	50846	3.731942983767718e-33
160	3667	1.0891713480552733e-32
161	3484	1.6931348094830905e-32
162	1457	2.4437470189789695e-33
163	4205	8.01946102046839e-33
164	6714	2.757163200779007e-32
165	4921	3.642787870437778e-32
166	6464	2.75901358698722e-32
167	2624	1.3614303837399593e-32
168	2046	2.3261844100781615e-33
169	4851	3.097576980557748e-33
170	9479	5.7850784393781015e-33
171	1437	6.660593563065449e-33
172	5579	1.3386645909518756e-32
173	408	1.5374239431394955e-32
174	6416	5.110678378007557e-33
175	5609	1.2857970878419298e-32
176	6446	2.0666638075386734e-32
177	182	2.6735376531853035e-32
178	6868	4.1546551184449957e-32
179	285	5.501219073907829e-32
180	11122	6.702042609074448e-32
181	2872	8.755011607307773e-32
182	1977	6.47562315108788e-32
183	50943	2.753407963753994e-32
184	3556	4.391815129257752e-33
185	5294	2.6657812039950624e-34
186	3572	4.57606945165424e-33
187	5788	6.401072279648816e-33
188	5527	7.076787349942762e-33
189	7088	9.007689015291544e-33
190	2932	2.468647340137221e-32
191	9572	1.8833980392252808e-33
192	5909	2.362240153377347e-32
193	5582	4.265735150808143e-32
194	5578	5.169228902016301e-33
195	5979	3.851623405523821e-33
196	55816	3.578737677342402e-33
197	5300	7.778887749015881e-33
198	1978	2.609699409809696e-32
199	5770	2.98671304337141e-32
200	2260	9.787473903992454e-33
