rank	node	rank_score
1	55156	171.598
2	1956	170.196
3	1499	163.7935
4	2885	161.195
5	219681	160.783
6	1500	157.8
7	1020	157.299
8	1558	154.6945
9	3667	154.08499999999998
10	7316	153.599
11	5601	150.59099999999998
12	2624	148.69650000000001
13	6464	148.4885
14	3643	148.2845
15	150709	145.6835
16	867	145.17950000000002
17	421	144.693
18	2057	144.6805
19	1501	144.28
20	5910	143.99
21	5781	142.18400000000003
22	3841	140.56599999999997
23	868	138.482
24	8502	137.592
25	6654	137.0875
26	140545	136.69400000000002
27	79637	136.279
28	5295	133.772
29	5829	133.56199999999998
30	1399	132.57150000000001
31	3872	132.17350000000002
32	22983	131.892
33	9576	131.77550000000002
34	23633	131.1745
35	1436	130.5915
36	25852	130.471
37	6452	129.1825
38	5747	126.36749999999999
39	6850	126.168
40	2322	125.775
41	5777	125.67750000000001
42	27	125.3765
43	3791	125.0545
44	7409	124.78150000000001
45	3937	124.37049999999999
46	2185	123.374
47	2064	123.2855
48	93436	123.1695
49	5296	123.06649999999999
50	11187	122.7725
51	3717	121.381
52	5979	120.987
53	7535	120.67
54	2534	120.378
55	7010	120.377
56	11122	119.1905
57	3815	118.6625
58	3636	117.08899999999998
59	5599	116.7355
60	3486	114.99949999999998
61	2639	113.8925
62	4233	113.8615
63	3836	113.7635
64	1398	113.46700000000001
65	2321	112.46300000000001
66	2213	111.869
67	5318	111.7645
68	1785	110.2945
69	3932	110.26100000000001
70	940	109.473
71	367	109.44500000000001
72	2066	108.45599999999999
73	2065	107.4585
74	1445	104.9565
75	9046	104.76500000000001
76	4921	103.47849999999998
77	10461	103.276
78	10298	102.75750000000001
79	2690	102.66399999999999
80	10580	101.55799999999999
81	25	101.4555
82	2113	100.586
83	6714	99.755
84	3702	99.457
85	9479	99.333
86	50616	98.56
87	4915	97.5535
88	3572	96.26849999999999
89	2533	96.15950000000001
90	4690	95.3605
91	10603	94.6655
92	5664	91.792
93	83737	91.148
94	54536	90.8905
95	5578	89.809
96	1950	89.643
97	30011	88.553
98	1271	86.8485
99	916	86.559
100	58480	86.3465
101	3568	84.2265
102	2048	83.551
103	919	81.2515
104	5335	77.747
105	55620	77.6455
106	5294	77.049
107	6123	76.49600000000001
108	6300	75.4525
109	2193	74.89750000000001
110	1969	74.64750000000001
111	5792	73.404
112	11221	73.23949999999999
113	285	72.7895
114	5795	72.241
115	54850	71.786
116	8440	71.74600000000001
117	4486	71.74
118	5588	71.154
119	51295	71.093
120	2044	69.62950000000001
121	2260	68.838
122	7066	68.7495
123	2623	68.7295
124	2046	68.14200000000001
125	1995	67.6875
126	5921	66.94149999999999
127	5753	66.05199999999999
128	10188	65.8365
129	9322	64.7505
130	23624	64.239
131	5770	63.331999999999994
132	3718	63.05
133	64399	62.93050000000001
134	54103	57.3985
135	3549	56.9335
136	4734	55.337
137	660	55.234500000000004
138	6456	54.3285
139	5788	53.3255
140	50943	52.518499999999996
141	2549	50.63
142	3588	48.0135
143	3265	47.729
144	238	47.619
145	4293	47.010000000000005
146	1432	46.413
147	5058	44.944
148	5618	44.2435
149	1942	43.4375
150	3689	43.2445
151	50846	42.027499999999996
152	4904	41.4215
153	5034	39.697
154	6625	39.3
155	4067	38.1195
156	3690	37.926
157	3561	35.336
158	150	34.6425
159	5170	34.5175
160	10451	33.507
161	5163	33.4225
162	1796	33.0385
163	6774	33.025
164	8631	32.109500000000004
165	3091	31.601
166	5594	30.927999999999997
167	2043	30.833500000000004
168	695	29.431
169	51429	28.210500000000003
170	7867	28.135
171	7048	27.311
172	4916	26.434000000000005
173	5159	25.8315
174	29760	25.8025
175	6469	25.088
176	6776	24.722
177	2042	24.512
178	3055	23.424500000000002
179	2263	21.119999999999997
180	55816	20.8565
181	3575	20.4405
182	3565	20.318
183	6009	19.8935
184	57829	19.3995
185	5579	19.308500000000002
186	56899	19.195500000000003
187	5595	18.8035
188	3780	18.686500000000002
189	4609	18.5885
190	3814	18.4835
191	100289635	18.285
192	4843	18.101499999999998
193	3485	18.0745
194	24138	17.889
195	7534	17.816
196	841	17.601499999999998
197	2254	17.5165
198	3437	17.2815
199	8651	17.2125
200	63978	17.1115
201	9361	16.987000000000002
202	408	15.211000000000002
203	324	15.201999999999998
204	6446	15.115
205	5604	14.4175
206	6772	12.615
207	5803	12.504999999999999
208	2247	12.119
209	2017	11.9165
210	4867	11.432500000000001
211	6461	11.120000000000001
212	3556	10.523
213	4294	10.1235
214	6777	9.8205
215	6885	9.809000000000001
216	9021	9.6145
217	4088	9.4095
218	9564	9.021
219	91653	8.8315
220	998	8.823
221	5879	8.608
222	6503	7.92
223	7852	7.627
224	3688	7.516
225	7046	6.902500000000001
226	10019	6.705500000000001
227	58190	6.522
228	1613	6.101000000000001
229	26060	6.004
230	6622	5.891
231	10657	5.8075
232	4853	5.6285
233	5610	5.1049999999999995
234	2268	4.9079999999999995
235	8569	4.902
236	7043	4.811
237	51561	4.7090000000000005
238	10971	4.703
239	2317	4.3045
240	94	3.507
241	2099	3.3055
242	3716	3.2055
243	4193	2.7065
244	5925	2.6825
245	558	2.5170000000000003
246	9846	2.2119999999999997
247	6868	2.003
248	6001	1.921
249	4792	1.902
250	2688	1.0130000000000001
251	64759	1.0005000000000002
252	54206	0.906
253	5584	0.8029999999999999
254	3586	0.221
255	3455	0.2065
256	1859	0.1045
257	57152	0.0995
258	162962	0.0985
259	4886	0.098
260	3483	0.098
261	4036	0.098
262	1562	0.0975
263	7691	0.097
264	1137	0.0945
265	3033	0.0945
266	84106	0.0935
267	3309	0.093
268	1006	0.0925
269	57559	0.0915
270	100302239	0.0905
271	79691	0.09
272	11140	0.0895
273	79071	0.088
274	51013	0.0875
275	140733	0.087
276	4855	0.0865
277	1559	0.08249999999999999
278	7157	0.08199999999999999
279	7001	0.081
280	9475	0.078
281	50807	0.0495
282	7189	0.04
283	2241	0.0395
284	6655	0.034999999999999996
285	2872	0.0335
286	114609	0.028000000000000004
287	5566	0.026000000000000002
288	29924	0.024
289	23043	0.0215
290	5582	0.019
291	6416	0.016
292	3624	0.0155
293	22943	0.014499999999999999
294	3553	0.014000000000000002
295	3656	0.013500000000000002
296	1213	0.007000000000000001
297	5527	0.006
298	5037	0.0055
299	7529	0.0055
300	4145	0.0045
301	1852	0.0045
302	613	0.003
303	2246	0.0015
304	4914	0.001
305	9261	0.0005
