rank	node	rank_score
1	1499	179.6995
2	3836	179.5
3	1501	177.999
4	5925	176.8985
5	3575	175.6975
6	3872	174.098
7	10461	173.296
8	1500	172.997
9	150709	171.3965
10	8502	170.695
11	5594	169.9925
12	9576	168.394
13	25852	165.9875
14	2690	162.7955
15	219681	160.893
16	11187	160.2865
17	2044	160.2855
18	27	160.0815
19	3841	157.5895
20	2064	157.48600000000002
21	3643	156.192
22	55156	155.59099999999998
23	5979	152.8885
24	5770	151.9945
25	5318	151.1835
26	5910	149.381
27	3717	149.29149999999998
28	867	149.087
29	421	148.18400000000003
30	4294	147.888
31	3480	146.9905
32	23633	145.279
33	9479	145.1845
34	6464	144.483
35	5296	142.98499999999999
36	5747	142.289
37	2057	141.98
38	93436	141.877
39	1956	141.5825
40	5781	140.3805
41	7409	140.07649999999998
42	940	138.176
43	5777	137.87849999999997
44	3572	136.7775
45	2066	135.8795
46	79637	135.575
47	2048	135.5525
48	5295	135.0755
49	2322	134.974
50	2065	134.878
51	6654	134.57350000000002
52	1399	131.273
53	6452	130.07049999999998
54	2885	128.5725
55	6850	126.271
56	3815	125.77150000000002
57	6416	125.5335
58	1398	125.172
59	367	122.654
60	868	122.57000000000001
61	7535	121.86949999999999
62	1852	121.19000000000001
63	6714	120.56800000000001
64	3932	119.46900000000001
65	4233	119.3685
66	3937	119.36749999999999
67	2213	117.667
68	11122	117.25900000000001
69	2185	115.96599999999998
70	4915	115.6745
71	5294	115.3665
72	5829	114.76500000000001
73	2534	114.6655
74	1271	114.1935
75	10298	112.1635
76	2533	111.4625
77	4921	110.955
78	4690	110.36300000000001
79	7010	110.25550000000001
80	3702	109.86399999999999
81	9046	108.5615
82	5618	108.55
83	2321	107.56199999999998
84	1445	107.561
85	2113	105.1605
86	83737	104.7585
87	58480	101.65950000000001
88	916	101.458
89	5602	100.33250000000001
90	919	100.1575
91	3791	100.15650000000001
92	55620	99.582
93	3718	99.25699999999999
94	1436	96.4645
95	8440	96.256
96	2260	94.0535
97	238	93.353
98	5753	92.96000000000001
99	10603	91.5485
100	4486	91.15450000000001
101	5335	91.05199999999999
102	5795	90.251
103	4916	89.846
104	5921	89.2515
105	30011	88.7505
106	3636	87.2495
107	10580	86.649
108	4734	84.0475
109	3561	82.147
110	6300	81.841
111	3690	81.148
112	5159	78.4455
113	3568	77.14500000000001
114	660	74.9465
115	50616	73.4435
116	5588	73.042
117	5170	72.5415
118	9322	71.3425
119	5788	69.438
120	11221	68.5365
121	1969	68.0445
122	150	67.7405
123	10451	67.64
124	1432	66.635
125	2549	66.3395
126	2624	65.339
127	5058	65.1385
128	5241	64.916
129	23624	64.54400000000001
130	408	63.73299999999999
131	50943	63.636
132	2046	61.64300000000001
133	1942	61.429500000000004
134	5604	60.6345
135	8631	60.1355
136	2263	59.13099999999999
137	64399	58.927499999999995
138	4067	58.637
139	3565	58.217499999999994
140	6777	57.83050000000001
141	285	57.2255
142	1785	56.8375
143	2043	55.629999999999995
144	7867	52.827999999999996
145	4904	52.128499999999995
146	5163	51.334
147	4293	50.5225
148	9261	50.4195
149	695	50.229
150	2042	49.6315
151	5336	48.027
152	5578	47.9245
153	3588	47.818
154	5579	46.824
155	5595	46.621
156	9846	45.1265
157	29760	44.626
158	3689	43.2235
159	6446	42.632
160	51429	41.425
161	5468	37.903499999999994
162	50846	37.207
163	63978	37.023
164	5879	35.519999999999996
165	2254	32.922000000000004
166	3055	32.221500000000006
167	2099	31.517000000000003
168	6772	30.4115
169	8569	29.819
170	3556	26.5185
171	5600	23.615000000000002
172	7066	23.1845
173	7852	21.9095
174	3586	21.610500000000002
175	1796	20.5165
176	9021	20.509999999999998
177	3455	19.911
178	2033	19.798
179	3635	18.3155
180	7534	18.3145
181	2623	18.0075
182	673	17.012
183	6885	16.1045
184	54206	15.613
185	5582	15.220499999999998
186	1387	15.013499999999999
187	9564	14.602500000000001
188	3091	13.813999999999998
189	2017	12.7195
190	2625	12.5125
191	23607	12.206
192	55816	12.203999999999999
193	8651	12.008
194	3716	11.509
195	10971	10.205
196	6503	8.216
197	558	8.008500000000002
198	3984	7.9015
199	94	7.0065
200	64759	6.703
201	7048	6.5105
202	4792	6.502
203	7043	4.608
204	10657	3.8015
205	2268	3.215
206	613	2.8055
207	998	1.501
208	3596	1.501
209	8648	1.2015
210	324	0.9004999999999999
211	1613	0.704
212	5566	0.40199999999999997
213	4303	0.0985
214	3549	0.08199999999999999
215	91653	0.0795
216	6469	0.0775
217	2688	0.0755
218	3458	0.0735
219	5527	0.0125
220	9252	0.006
221	10499	0.0055
222	4306	0.005
223	5465	0.004
224	2932	0.0035000000000000005
225	5584	0.002
226	6256	0.002
227	7046	0.0005
