rank	node	rank_score
1	6256	176.999
2	10499	176.2995
3	8648	175.5985
4	23054	174.3945
5	367	172.9955
6	8202	170.097
7	5914	169.2935
8	7068	168.9875
9	2099	168.4975
10	2624	167.09650000000002
11	5468	164.996
12	9612	162.888
13	5467	152.786
14	9611	152.78400000000002
15	5465	152.4835
16	7421	151.8895
17	2033	151.095
18	5916	149.88299999999998
19	1500	149.0815
20	3091	147.2
21	5469	146.39000000000001
22	1387	146.177
23	10062	144.9925
24	2908	144.9795
25	8431	144.293
26	6714	143.291
27	1499	142.776
28	7376	142.6915
29	6257	141.689
30	150709	140.9805
31	7157	138.381
32	8204	138.28699999999998
33	5915	138.0905
34	5910	137.17350000000002
35	6258	136.685
36	9576	136.37849999999997
37	9970	136.2775
38	3164	135.775
39	10891	134.9865
40	5241	131.1745
41	219681	130.9765
42	4088	129.592
43	3172	128.28199999999998
44	8502	127.373
45	6497	127.37249999999999
46	688	126.28400000000002
47	2113	126.26100000000001
48	3872	125.37150000000001
49	5599	124.378
50	1501	123.97550000000001
51	4306	122.8655
52	23633	120.4665
53	4929	118.96199999999999
54	3841	117.9675
55	7067	117.4885
56	25852	117.26500000000001
57	421	113.6645
58	4089	112.86300000000001
59	4792	112.769
60	55156	112.5685
61	1942	112.05550000000001
62	3836	109.65799999999999
63	9325	108.69000000000001
64	1432	107.65599999999999
65	11187	106.5625
66	5795	106.4595
67	79637	106.05850000000001
68	93436	105.25900000000001
69	6772	103.86399999999999
70	7341	103.66599999999998
71	408	102.2525
72	9252	101.854
73	3565	101.4565
74	4193	100.87049999999999
75	9971	99.4855
76	50616	99.05499999999999
77	348262	98.398
78	3977	97.49600000000001
79	4843	97.4695
80	5318	97.357
81	7066	96.45750000000001
82	2872	94.171
83	672	92.974
84	5604	91.5335
85	3586	91.353
86	11221	90.25450000000001
87	9572	90.1605
88	3455	88.852
89	5371	87.968
90	3667	84.7325
91	4293	83.9465
92	3725	83.07000000000001
93	2688	83.04400000000001
94	8569	81.7515
95	5600	81.5475
96	7161	80.66
97	9261	80.5435
98	5925	80.47200000000001
99	1852	80.44200000000001
100	5527	74.8535
101	10524	74.2615
102	64399	73.9495
103	50943	73.24300000000001
104	3549	71.0445
105	2932	70.74249999999999
106	3588	70.649
107	4921	66.836
108	3717	65.53150000000001
109	5578	64.35
110	8554	63.977
111	23426	62.694
112	5601	62.5415
113	1977	61.8505
114	6654	61.76700000000001
115	5979	61.437
116	5449	61.2745
117	5602	59.7395
118	56265	58.8
119	5618	58.720000000000006
120	50846	56.7485
121	5295	55.63199999999999
122	1847	55.579499999999996
123	5566	55.222500000000004
124	3932	54.545
125	6416	54.427
126	5747	54.22950000000001
127	6464	53.826499999999996
128	2533	52.6185
129	3458	51.7385
130	2690	51.726
131	11122	49.548
132	2064	47.822
133	8841	45.18
134	6446	44.82899999999999
135	7867	44.445499999999996
136	3480	44.3155
137	5970	44.040499999999994
138	10023	44.039
139	2044	42.833
140	2057	42.4255
141	5296	41.515
142	4904	40.9145
143	5781	40.4245
144	3568	40.3215
145	58480	38.8275
146	868	38.7235
