rank	node	rank_score
1	7030	180.0
2	22797	179.09949999999998
3	7942	178.19850000000002
4	10457	177.298
5	163882	176.299
6	652991	155.89749999999998
7	2705	135.89749999999998
8	7422	134.797
9	2353	115.29650000000001
10	245802	96.797
11	3726	95.096
12	4088	83.19550000000001
13	1386	56.59349999999999
14	2354	56.192499999999995
15	1649	55.492
16	3725	55.19449999999999
17	468	54.89149999999999
18	11016	54.588
19	9586	54.39
20	1054	54.189499999999995
21	1050	53.888999999999996
22	8061	53.790499999999994
23	55509	53.7885
24	122953	53.590999999999994
25	1053	53.0875
26	467	52.6865
27	10538	52.386
28	1628	51.8855
29	3131	51.585
30	116071	50.987
31	7008	50.8845
32	1052	50.182
33	3727	50.0835
34	1051	49.8825
35	2355	49.783
36	10011	49.5775
37	4779	49.384
38	9935	49.3815
39	571	49.2795
40	4097	48.878499999999995
41	1387	48.081
42	4094	47.979
43	222659	47.4805
44	7975	47.176
45	466	46.977999999999994
46	3687	46.78
47	1385	46.677
48	4783	46.3765
49	1499	46.0935
50	4435	45.793
51	25820	44.5755
52	2033	44.4735
53	22809	44.3725
54	2034	44.173
55	1490	43.97
56	554226	43.7715
57	5970	42.563
58	688	42.364999999999995
59	727758	42.271
60	2099	41.5665
61	3065	41.4655
62	146862	41.462
63	23764	41.170500000000004
64	4780	40.5695
65	6774	40.168
66	421	40.0745
67	11243	39.964
68	3066	39.463499999999996
69	4790	39.1625
70	150709	39.072
71	92565	38.965999999999994
72	672	38.9645
73	91283	38.596000000000004
74	152687	38.5675
75	1500	38.483000000000004
76	9576	38.4695
77	83877	38.395500000000006
78	653166	38.29600000000001
79	10804	38.0945
80	503497	37.894
81	222662	37.593
82	6667	37.560500000000005
83	255403	37.361000000000004
84	390212	37.089999999999996
85	27040	37.088
86	1501	36.867
87	219681	36.768
88	55672	36.456
89	3872	36.265499999999996
90	2908	36.2615
91	1958	36.2565
92	3841	36.176
93	5318	35.882
94	3836	35.876999999999995
95	2113	35.746500000000005
96	6772	35.657
97	963	35.589
98	2866	35.5875
99	8502	35.4785
100	602	35.4465
101	595	35.355000000000004
102	222642	35.187
103	11187	35.1795
104	7046	34.888999999999996
105	25852	34.88
106	219854	34.792500000000004
107	85025	34.7855
108	5594	34.659000000000006
109	108281161	34.446
110	5468	34.359500000000004
111	6597	34.3575
112	10682	34.2845
113	51368	34.090999999999994
114	25942	34.0445
115	65062	33.975
116	55156	33.9645
117	2012	33.890499999999996
118	2867	33.885000000000005
119	56947	33.682
120	23633	33.67100000000001
121	4261	33.6585
122	363	33.581
123	200232	33.383500000000005
124	3488	33.2805
125	5376	33.184000000000005
126	10385	32.6785
127	5910	32.673500000000004
128	51614	32.38
129	286451	32.176
130	56935	31.878999999999998
131	2624	31.439
132	2688	31.370500000000003
133	7066	31.3635
134	4609	31.2515
135	60468	31.175
136	6256	31.148500000000002
137	973	30.9775
138	93436	30.762999999999998
139	27346	30.677999999999997
140	5349	30.576999999999998
141	23566	30.5725
142	29986	30.258
143	359	30.0745
144	3549	29.869
145	6722	29.7555
146	84975	29.4735
147	64399	29.3685
148	7043	29.176499999999997
149	4302	29.072000000000003
150	2703	29.0525
151	90	28.985500000000002
152	94	28.981
153	54842	28.935000000000002
154	6567	28.871500000000005
155	23484	28.866999999999997
156	50846	28.865999999999996
157	91653	28.766499999999997
158	6469	28.764999999999997
159	285	28.459000000000003
160	90993	28.273000000000003
161	200894	28.269
162	50616	28.267500000000002
163	493869	28.264499999999998
164	1399	28.222500000000004
165	344892	28.169999999999998
166	6570	27.958499999999997
167	3624	27.773000000000003
168	3588	27.663999999999998
169	650	27.575
170	9482	27.571000000000005
171	10175	27.479499999999994
172	1366	27.474
173	9603	27.474
174	7010	27.458500000000004
175	8021	27.4435
176	2280	27.383499999999998
177	85013	27.2635
178	345274	27.262999999999998
179	79637	27.258
180	658	27.182499999999997
181	81853	27.165999999999997
182	4293	27.162
183	3568	27.160000000000004
184	5354	27.067500000000003
185	136263	27.0565
186	144110	26.859500000000004
187	11270	26.859
188	58191	26.7685
189	51561	26.361
190	51006	26.353999999999996
191	659	26.180500000000002
192	84522	26.170500000000004
193	638	25.9655
194	5407	25.752999999999997
195	5803	25.75
196	3586	25.740499999999997
197	22943	25.6715
198	27289	25.6555
199	1852	25.6475
200	860	25.587
201	255043	25.565
202	8200	25.5625
203	2044	25.3615
204	7780	25.1575
205	1942	25.1525
206	388372	25.055500000000002
207	9283	24.9695
208	134391	24.951
209	2247	24.9375
210	53826	24.851999999999997
211	79669	24.8425
212	11122	24.6565
213	6497	24.586000000000002
214	120939	24.468
215	4921	24.4575
216	1843	24.269
217	1271	24.255000000000003
218	9046	24.1355
219	80195	24.0625
220	6464	23.7365
221	58480	23.6505
222	10826	23.641
223	79415	23.551499999999997
224	3455	23.4495
225	27302	23.363999999999997
226	54475	23.359
227	861	23.3535
228	1950	23.27
229	6001	23.250999999999998
230	5599	23.167
231	339302	22.96
232	10158	22.7665
233	94107	22.756
234	347	22.7505
235	286753	22.4755
236	388588	22.449
237	100462977	22.4455
238	2321	22.2155
239	10791	22.157
240	203562	22.154500000000002
241	7348	22.1315
242	51141	22.049500000000002
243	161145	21.960500000000003
244	2046	21.953
245	3587	21.941
246	10423	21.836000000000002
247	23759	21.7545
248	2057	21.728
249	51075	21.655
250	55238	21.645999999999997
251	55281	21.4815
252	1272	21.449
253	131616	21.430500000000002
254	254827	21.2485
255	3804	21.15
256	2213	21.024
257	1534	20.8405
258	5294	20.552
259	5618	20.4595
260	5350	20.4535
261	4000	20.447
262	10461	20.357
263	648691	20.351999999999997
264	6598	20.153
265	150223	20.0535
266	55269	20.052500000000002
267	55367	20.04
268	84314	19.7445
269	169026	19.7395
270	4815	19.661
271	3397	19.6515
272	2260	19.509999999999998
273	3572	19.447
274	4851	19.2725
275	9146	19.194
276	23532	19.148000000000003
277	4259	19.145
278	2207	19.1435
279	154467	19.115000000000002
280	613212	19.0765
281	6785	18.939
282	9372	18.8945
283	56475	18.8865
284	116441	18.7935
285	3791	18.707
286	3728	18.692500000000003
287	932	18.5915
288	4087	18.493000000000002
289	7048	18.484
290	51176	18.3915
291	2962	18.3485
292	85027	18.2895
293	2709	18.2465
294	4915	18.148
295	3684	18.0365
296	2959	17.951
297	3659	17.949
298	23753	17.947499999999998
299	4092	17.8905
300	6688	17.8445
301	345275	17.837
302	57154	17.7885
303	80777	17.7615
304	2246	17.7515
305	10447	17.748
306	4086	17.689500000000002
307	79161	17.6385
308	64750	17.588
309	129025	17.5465
310	4091	17.4875
311	7113	17.442
312	4090	17.3865
313	9609	17.244999999999997
314	164592	17.2435
315	5355	17.243000000000002
316	11059	17.185
317	433	17.086000000000002
318	10155	17.042
319	408263	16.962
320	11161	16.9415
321	81539	16.8825
322	367	16.8815
323	56681	16.64
324	9126	16.541
325	140883	16.442500000000003
326	55290	16.344
327	1436	16.337
328	8312	16.278
329	4486	16.202
330	5296	16.139499999999998
