rank	node	rank_score
1	11186	180.1
2	2264	179.09949999999998
3	5606	178.299
4	6794	176.4975
5	11014	176.398
6	26524	176.0985
7	1030	174.997
8	894	173.596
9	1021	173.3965
10	8678	170.9945
11	5156	170.895
12	2911	169.794
13	1019	169.2955
14	5607	168.193
15	1969	167.9925
16	4771	167.7935
17	960	165.792
18	84662	164.5915
19	5894	163.69099999999997
20	3082	163.1905
21	405	161.89000000000001
22	8463	161.1895
23	7015	160.6885
24	51343	159.08800000000002
25	1031	158.38899999999998
26	207	157.9875
27	898	156.6865
28	4609	155.78699999999998
29	369	154.786
30	23624	153.48499999999999
31	7157	152.9845
32	4194	152.18400000000003
33	3091	151.9855
34	5608	150.3835
35	4217	149.483
36	6790	148.5825
37	7248	147.682
38	2648	146.68099999999998
39	1432	145.4805
40	94015	145.07999999999998
41	340273	144.38150000000002
42	1499	142.97899999999998
43	5970	142.17849999999999
44	148979	140.57750000000001
45	5925	139.877
46	4782	139.4765
47	2113	139.178
48	6658	138.576
49	6659	137.17950000000002
50	54904	135.77550000000002
51	367	133.775
52	4193	132.5745
53	5599	129.4725
54	421	129.1715
55	3836	127.2695
56	5594	125.873
57	6714	121.86800000000001
58	5747	121.564
59	5295	120.46599999999998
60	1500	120.36749999999999
61	3480	119.86500000000001
62	3841	119.86300000000001
63	6464	118.4665
64	8502	116.96549999999999
65	7867	116.167
66	5979	116.0635
67	25852	115.6645
68	3265	114.3595
69	1956	113.8625
70	867	113.0615
71	5604	112.26849999999999
72	6654	111.96199999999999
73	1501	111.96
74	5781	111.3605
75	3872	106.75699999999999
76	150709	106.65799999999999
77	219681	105.87049999999999
78	3667	105.25750000000001
79	5296	104.45900000000002
80	2309	102.47350000000002
81	9576	102.35499999999999
82	5910	101.861
83	6789	101.671
84	1399	101.4585
85	11187	100.8535
86	3643	100.4515
87	5829	99.3555
88	3717	98.1525
89	23633	97.95599999999999
90	2057	95.3545
91	55156	94.9505
92	5318	91.452
93	10580	88.5495
94	93436	87.348
95	79637	86.849
96	9261	86.07000000000001
97	7409	84.94149999999999
98	1398	84.7435
99	5595	84.451
100	25	83.144
101	2185	83.041
102	868	82.742
103	5777	82.1395
104	2260	80.04650000000001
105	6850	80.039
106	2065	79.74
107	2690	78.9385
108	1445	77.447
109	4486	76.4485
110	3572	76.4375
111	2885	75.138
112	2322	74.73400000000001
113	2624	74.672
114	6452	73.636
115	5371	73.174
116	7535	73.1365
117	408	71.85
118	3932	71.83500000000001
119	27	71.2345
120	940	70.9355
121	3815	69.333
122	2533	68.9425
123	4921	68.2475
124	3937	68.037
125	2066	67.72999999999999
126	5058	66.353
127	10298	66.2335
128	6300	65.9325
129	2321	64.1405
130	2534	64.032
131	5294	63.3275
132	83737	62.431
133	2213	61.331500000000005
134	3702	59.82899999999999
135	4690	59.5305
136	5602	59.45399999999999
137	9046	57.843
138	1387	54.669000000000004
139	58480	54.12950000000001
140	10461	54.024
141	5921	52.125
142	5795	51.927
143	11122	51.628499999999995
144	1271	49.6265
145	916	49.426
146	5335	49.4255
147	3791	49.1245
148	3636	47.9445
149	5170	46.4195
150	660	44.746
151	919	44.722
152	1436	44.345
153	50943	43.623000000000005
154	3718	42.62
155	4734	42.528
156	7010	42.112
157	238	40.9145
158	5588	40.4185
159	5566	40.116499999999995
160	1950	39.721500000000006
161	5770	38.923500000000004
162	4915	38.822500000000005
163	150	38.419
164	8440	35.721000000000004
165	55620	34.945499999999996
166	5753	34.1175
167	10603	33.201499999999996
168	5788	31.018
169	10188	30.617
170	30011	30.1205
171	6416	28.814999999999998
172	1026	28.7745
173	4089	26.368000000000002
174	2048	26.115999999999996
175	3690	25.313499999999998
176	4904	23.714
177	7048	23.708
178	6446	23.4155
179	7852	22.511000000000003
180	9322	20.613
181	6776	20.410500000000003
182	7534	18.5565
183	8651	18.1115
184	1785	16.5125
185	1602	15.175
186	3326	14.975
187	6929	14.771
188	5728	14.6725
189	4916	14.2095
190	6885	13.907499999999999
191	7043	13.006
192	5600	12.905000000000001
193	8945	12.3045
194	9479	10.507
195	7161	10.3035
196	695	9.9005
197	7533	9.11
198	4067	9.102
199	11221	9.004
200	5159	8.401
201	10971	7.406499999999999
202	2549	7.402500000000001
203	2099	6.4045000000000005
204	55816	6.2090000000000005
205	5578	5.9055
206	6772	5.305
207	10451	4.901000000000001
208	2268	4.609
209	2017	4.603
210	3561	4.1045
211	8569	3.8034999999999997
212	5579	2.4045
213	9252	2.1055
214	7316	2.102
215	5618	1.9085
216	9021	1.1030000000000002
217	9846	1.0065
218	4088	0.9640000000000001
219	5336	0.805
220	7532	0.8039999999999999
221	2263	0.8004999999999999
222	7529	0.7025
223	3689	0.606
224	10273	0.0725
225	5598	0.0715
226	3320	0.06999999999999999
227	672	0.06899999999999999
228	1852	0.046
229	3565	0.010499999999999999
230	5163	0.009
231	2044	0.008
232	6503	0.0075
233	4792	0.004
234	558	0.003
235	3575	0.002
