rank	node	rank_score
1	26524	179.5
2	8463	179.3995
3	1030	177.19850000000002
4	11186	177.099
5	6794	176.9975
6	894	175.698
7	2264	174.297
8	5156	172.39600000000002
9	1969	171.99650000000003
10	5607	171.8955
11	4771	170.895
12	5606	168.4945
13	1021	168.494
14	5894	167.993
15	2911	167.79149999999998
16	84662	167.6935
17	8678	165.792
18	11014	165.791
19	405	164.39249999999998
20	2064	163.0905
21	1019	161.89000000000001
22	960	160.9895
23	51343	160.089
24	207	159.1885
25	1031	158.288
26	898	157.3875
27	369	156.487
28	4609	155.1865
29	4233	155.086
30	23624	153.5855
31	7157	152.98499999999999
32	4194	152.0845
33	3091	151.084
34	5608	150.08350000000002
35	4217	149.38299999999998
36	7248	148.3825
37	1499	147.382
38	2648	146.6815
39	94015	144.481
40	2113	143.98
41	1432	143.4795
42	673	142.279
43	7316	141.27849999999998
44	5925	139.978
45	1500	134.874
46	421	132.6695
47	5604	132.27249999999998
48	5910	130.672
49	5295	130.1705
50	340273	127.9805
51	7867	127.869
52	1501	126.3685
53	3841	125.671
54	6659	124.57750000000001
55	1956	123.96700000000001
56	6714	123.768
57	5594	123.57300000000001
58	6654	122.9675
59	5979	122.26599999999999
60	6464	121.8655
61	3836	120.5645
62	8502	120.1665
63	3480	120.16399999999999
64	867	119.9635
65	5747	119.76500000000001
66	3872	117.3625
67	150709	114.2595
68	3667	113.362
69	5296	112.0615
70	9576	110.85900000000001
71	1399	109.8605
72	219681	109.0575
73	23633	108.46300000000001
74	3717	108.05850000000001
75	5058	106.55250000000001
76	2057	105.16
77	55156	104.75349999999999
78	25852	104.66100000000002
79	3643	102.758
80	5371	101.776
81	11187	101.5565
82	5829	101.154
83	1398	100.2515
84	4193	99.9745
85	5599	99.35499999999999
86	93436	98.8545
87	5318	96.952
88	7409	94.5505
89	79637	93.1495
90	4921	92.45599999999999
91	5970	92.1755
92	4782	91.5765
93	868	91.35
94	148979	90.975
95	5777	90.2485
96	3326	89.977
97	2185	89.049
98	2065	89.048
99	2066	87.457
100	25	87.34700000000001
101	2885	86.046
102	6850	85.7475
103	2322	85.6465
104	4486	85.00750000000001
105	10580	83.853
106	7535	83.64500000000001
107	3815	82.3445
108	2690	82.151
109	6452	81.5435
110	5294	80.744
111	27	80.04249999999999
112	1436	79.6345
113	5566	79.6275
114	3572	79.24549999999999
115	367	79.0735
116	3932	78.94300000000001
117	3937	76.8415
118	940	76.742
119	7534	74.5085
120	3702	74.14099999999999
121	1445	73.84049999999999
122	10298	73.8385
123	2534	72.8395
124	8945	72.5715
125	6300	72.0365
126	2932	70.77000000000001
127	2213	69.6375
128	83737	69.34
129	2533	68.739
130	10603	68.6335
131	4690	68.138
132	3636	68.134
133	7532	67.30199999999999
134	11122	67.229
135	5921	64.937
136	58480	64.133
137	2321	61.831999999999994
138	5335	60.431
139	5588	60.235
140	9046	59.73
141	2260	59.136
142	7010	58.2255
143	5795	57.43150000000001
144	3791	56.43050000000001
145	4734	55.8355
146	10461	54.3285
147	916	53.528
148	2624	52.529500000000006
149	2048	50.4245
150	919	48.926
151	3718	48.225
152	5770	47.7265
153	10188	47.227
154	5578	45.324
155	30011	43.3215
156	8440	42.922000000000004
157	50943	41.6225
158	5788	40.92100000000001
159	5595	39.5555
160	150	39.2205
161	7533	39.208
162	5753	38.12
163	1950	37.8185
164	7161	37.2235
165	5170	36.9195
166	4904	36.619
167	660	35.523
168	4916	32.809000000000005
169	9322	31.518
170	8651	31.416499999999996
171	1785	30.817500000000003
172	55620	30.415499999999998
173	6658	30.374000000000002
174	3690	29.211000000000002
175	9261	24.615000000000002
176	7529	24.508
177	10971	24.203
178	6774	23.716
179	408	22.1325
180	5579	22.113999999999997
181	4067	20.2115
182	3689	19.5005
183	6885	19.217000000000002
184	6776	17.312
185	1271	17.031
186	5159	16.5105
187	695	15.513
188	6772	15.11
189	2099	14.7035
190	7852	12.9095
191	9252	11.505500000000001
192	2017	9.9145
193	2549	8.602500000000001
194	2268	8.2125
195	9846	8.2015
196	5336	7.401999999999999
197	7048	7.213499999999999
198	2046	6.922499999999999
199	5527	6.6065
200	9021	6.0024999999999995
201	5618	5.9045000000000005
202	4792	5.407
203	10451	3.3085
204	3561	2.607
205	1387	2.605
206	6446	2.3064999999999998
207	6732	2.2145
208	2263	2.2060000000000004
209	3716	2.1015
210	6416	2.0060000000000002
211	54206	2.005
212	5610	1.504
213	5582	1.501
214	6777	0.6005
215	9101	0.0165
216	51429	0.016
217	6503	0.0035000000000000005
218	8569	0.0035000000000000005
219	9479	0.0015
