rank	node	rank_score
1	5970	180.1
2	6352	179.1995
3	1238	178.299
4	1234	176.69850000000002
5	6357	176.498
6	51554	176.1975
7	4321	174.797
8	3576	173.29500000000002
9	6370	172.69650000000001
10	6387	172.196
11	2920	171.3945
12	7130	169.894
13	10344	168.8955
14	6366	168.7935
15	1462	167.493
16	4318	165.89249999999998
17	6373	165.3915
18	6372	164.99200000000002
19	3659	162.7895
20	3627	161.88899999999998
21	30009	159.69
22	1803	159.5865
23	4790	159.4885
24	1232	159.1905
25	6778	158.58800000000002
26	5971	157.2875
27	6772	155.887
28	1051	155.786
29	3553	153.7855
30	4312	153.3845
31	3725	152.48499999999999
32	2033	150.38299999999998
33	6774	148.2835
34	604	148.2825
35	3665	147.682
36	10379	146.1815
37	2532	145.891
38	3663	145.581
39	3456	145.5805
40	1387	143.5785
41	3593	142.578
42	4773	142.2775
43	3662	141.076
44	3592	140.677
45	5966	138.87550000000002
46	3394	138.07649999999998
47	4772	136.874
48	2625	136.272
49	282618	135.47449999999998
50	3661	133.875
51	3660	133.48
52	6348	132.064
53	330	131.9725
54	4261	130.8735
55	7852	129.17950000000002
56	3551	128.073
57	1499	127.179
58	6667	126.47049999999999
59	6688	124.8635
60	3558	123.771
61	4791	123.569
62	3552	123.17
63	3577	118.48400000000001
64	3065	118.367
65	861	118.0645
66	9612	117.56649999999999
67	23633	112.36949999999999
68	2908	110.85900000000001
69	4792	110.5625
70	282617	110.36800000000001
71	7189	109.97150000000002
72	5468	109.85999999999999
73	5467	104.26500000000001
74	1147	104.1685
75	3836	104.0565
76	3586	103.96100000000001
77	4794	103.263
78	6773	102.97550000000001
79	9641	102.66749999999999
80	7421	102.0575
81	8648	101.85799999999999
82	9576	101.6605
83	554226	100.767
84	1500	99.55850000000001
85	727758	99.06649999999999
86	10499	98.65599999999999
87	6256	96.1485
88	1501	95.4555
89	7157	95.15950000000001
90	1437	94.55499999999999
91	150709	94.357
92	2113	93.6515
93	7128	93.0655
94	3556	91.654
95	3872	91.25450000000001
96	3455	91.15299999999999
97	93436	88.1535
98	8502	87.348
99	219681	87.2525
100	25852	86.04650000000001
101	421	85.2505
102	8841	84.5615
103	5910	83.2495
104	367	82.131
105	4088	81.152
106	4306	80.7475
107	5594	79.45
108	3841	79.34200000000001
109	5241	78.149
110	11187	78.1455
111	6497	77.751
112	5371	76.5635
113	51561	75.545
114	55156	75.44449999999999
115	3588	75.346
116	64399	74.84400000000001
117	50943	74.562
118	114609	73.7405
119	4293	73.6415
120	5318	73.143
121	50616	73.0435
122	4929	73.041
123	5465	73.037
124	7066	72.6425
125	3164	72.247
126	3656	70.74
127	5599	66.438
128	7098	65.639
129	79637	63.5375
130	10892	63.3395
131	841	61.7385
132	1230	60.2745
133	50846	58.6365
134	2044	58.335
135	1942	58.2355
136	5595	55.831999999999994
137	9970	55.626
138	4843	53.927499999999995
139	6868	48.9305
140	9252	47.0295
141	9611	46.956
142	6885	45.6345
143	3091	45.33
144	55620	44.833
145	5610	44.7245
146	3717	44.3335
147	5602	44.028499999999994
148	408	43.428999999999995
149	11221	42.527
150	3667	40.6315
151	5294	40.536
152	5777	39.634
153	6416	39.4255
154	79155	38.866
155	1432	38.825
156	7409	37.6325
157	5295	35.423
158	6714	35.028
159	940	34.923500000000004
160	5925	32.027499999999996
161	5588	31.924
162	2624	29.514499999999998
163	1436	28.315999999999995
164	5600	27.619999999999997
165	3937	27.521500000000003
166	2533	27.022000000000002
167	6850	27.021000000000004
168	1852	26.9195
169	2057	24.420499999999997
170	5601	24.023
171	6464	23.816499999999998
172	868	23.519
173	8569	22.9225
174	5296	22.4155
175	867	22.018
176	3932	20.8185
177	5916	19.130000000000003
178	6452	18.9175
179	4294	17.118000000000002
180	5527	17.0185
181	5609	16.9175
182	6654	16.9135
183	9479	16.417
184	1399	16.3125
185	3549	16.035
186	7535	15.617
187	4056	15.425999999999998
188	1956	15.41
189	5747	14.912
190	5781	14.611500000000001
191	5979	14.312999999999999
192	3643	13.309000000000001
193	4921	13.113999999999999
194	6446	12.0125
195	2494	11.7265
196	27	11.407
197	5829	11.0095
198	3815	10.310500000000001
199	7010	10.015
200	7867	9.413
201	1445	9.008
202	10298	8.706
203	2690	7.5235
204	7043	7.4355
205	2322	7.2065
206	2321	7.011
207	11122	6.901000000000001
208	91653	6.8285
209	3480	6.3075
210	9572	6.1235
211	2099	5.8055
212	83737	5.7025
213	10461	5.629
214	2534	5.304
215	2064	4.705
216	2185	4.1045
217	2885	4.103
218	1859	3.3265000000000002
219	25	2.902
220	9046	2.7085
221	2065	2.4015
222	5795	2.1035
223	1398	1.0005
224	1950	0.40099999999999997
225	3439	0.072
226	3448	0.0715
227	9636	0.071
228	8743	0.0625
229	1385	0.061
230	1316	0.057999999999999996
231	3066	0.057499999999999996
232	5914	0.051000000000000004
233	6469	0.0335
234	1271	0.0325
235	285	0.0315
236	3561	0.031
237	22943	0.0305
238	3484	0.03
239	2046	0.0295
240	3718	0.026500000000000003
241	2213	0.020999999999999998
242	9261	0.02
243	1487	0.0195
244	4193	0.019
245	7161	0.016
246	672	0.0155
247	916	0.0125
248	919	0.012
249	1457	0.0095
250	4851	0.009
251	5753	0.005
252	3702	0.0045
253	4690	0.0025
254	6776	0.001
255	2066	0.0005
256	10580	0.0005
