rank	node	rank_score
1	7316	180.1
2	1499	179.1995
3	2033	177.69850000000002
4	3841	177.599
5	5925	176.598
6	3872	174.89749999999998
7	3836	172.497
8	93436	171.8945
9	2099	171.696
10	1500	170.2955
11	3667	167.895
12	5241	167.19400000000002
13	9576	165.09300000000002
14	8502	164.99349999999998
15	6714	164.0925
16	1432	163.76100000000002
17	5795	163.092
18	5604	160.09099999999998
19	1501	159.9895
20	9261	159.94650000000001
21	421	158.48600000000002
22	150709	157.487
23	25852	157.388
24	23633	155.8905
25	5910	154.88150000000002
26	5296	150.5885
27	6654	149.689
28	219681	149.283
29	23624	148.57150000000001
30	6464	147.1865
31	7867	146.14749999999998
32	5979	145.4795
33	11187	145.3805
34	2260	144.7875
35	5747	144.1835
36	5318	143.87849999999997
37	55156	141.277
38	4193	141.0325
39	3643	139.984
40	5781	139.885
41	3717	139.4845
42	3065	135.69650000000001
43	5777	135.5825
44	3572	135.481
45	3480	135.182
46	3702	134.86849999999998
47	79637	133.875
48	1399	133.3855
49	867	132.57999999999998
50	2057	131.579
51	7409	129.97750000000002
52	2690	127.07649999999998
53	5295	126.77799999999999
54	4921	125.47449999999999
55	3791	124.87550000000002
56	6452	124.874
57	2322	123.8735
58	1398	121.57249999999999
59	7161	119.84099999999998
60	367	119.457
61	27	118.873
62	2885	118.6695
63	1436	118.076
64	940	116.569
65	7535	116.37
66	3091	116.0915
67	3815	116.071
68	2321	115.872
69	3932	115.36800000000001
70	5829	115.1645
71	868	114.67049999999999
72	3937	113.36749999999999
73	6850	113.3665
74	5294	111.867
75	2066	111.06199999999998
76	25	110.6635
77	2534	108.16399999999999
78	2213	108.06599999999999
79	10580	107.66300000000001
80	659	107.035
81	2185	106.86500000000001
82	660	105.44449999999999
83	2113	104.25999999999999
84	2533	102.0595
85	916	100.5625
86	3718	99.0655
87	7010	98.9555
88	1445	97.659
89	10298	97.1605
90	55620	95.64500000000001
91	9046	95.55499999999999
92	11122	95.4615
93	4690	95.2585
94	5335	94.3545
95	5921	93.15650000000001
96	83737	92.95349999999999
97	1950	92.046
98	2624	90.048
99	10461	89.84700000000001
100	919	89.45750000000001
101	50943	89.352
102	1271	89.258
103	58480	89.154
104	3575	88.35249999999999
105	8651	87.65599999999999
106	5788	87.553
107	2048	86.4515
108	6772	85.54400000000001
109	7852	84.25
110	5770	83.3505
111	4915	81.351
112	3636	81.149
113	6776	80.54549999999999
114	30011	77.64349999999999
115	6868	77.6245
116	4067	74.543
117	10188	74.2415
118	1387	74.0295
119	5618	73.73949999999999
120	1969	72.4485
121	10603	71.44200000000001
122	5588	70.54249999999999
123	238	68.84049999999999
124	5058	67.838
125	5566	67.5375
126	7046	65.6335
127	8648	64.0285
128	4904	63.237
129	6777	61.94
130	2046	59.7365
131	5163	59.0255
132	3690	58.0355
133	5371	57.7965
134	369	57.19
135	6497	55.614
136	3561	55.33299999999999
137	5753	54.9345
138	6300	54.129999999999995
139	3565	53.23199999999999
140	5159	53.039
141	9322	52.836
142	5170	52.43050000000001
143	4486	52.224000000000004
144	4734	52.03150000000001
145	8856	51.516999999999996
146	10499	50.109500000000004
147	4843	49.677
148	10451	49.031
149	285	47.1275
150	1852	46.9735
151	207	46.925
152	5527	46.226
153	26060	43.123000000000005
154	5578	40.121
155	4088	39.315
156	2044	39.1495
157	7066	38.873000000000005
158	8631	38.838499999999996
159	94	38.32899999999999
160	2017	38.0205
161	1785	36.822
162	7043	36.227
163	6001	36.1265
164	408	33.416
165	4851	33.3155
166	4916	33.011
167	5037	32.106
168	2932	31.313499999999998
169	7048	31.107999999999997
170	2623	30.019
171	1942	29.934000000000005
172	8878	28.412
173	7421	28.0015
174	6885	27.7065
175	7534	27.017500000000002
176	2268	26.809000000000005
177	3689	25.619999999999997
178	6622	25.5085
179	5580	25.4125
180	90	24.2075
181	2549	23.6225
182	51429	21.7195
183	6446	20.6165
184	5894	19.4975
185	4792	18.5035
186	3688	17.6215
187	208	17.413
188	11221	17.2145
189	8440	17.128
190	6256	16.5005
191	695	16.1055
192	50616	15.7185
193	8945	12.9025
194	10657	12.501999999999999
195	6503	11.01
196	150	10.9105
197	3568	10.218
198	7189	9.107
199	10971	9.104
200	5803	8.2235
201	5602	8.0115
202	4306	7.7715000000000005
203	64399	7.531499999999999
204	9021	7.1045
205	7533	6.603
206	6416	5.7010000000000005
207	7525	5.005
208	3716	4.6025
209	5601	4.0075
210	5336	3.0055
211	10892	2.2045000000000003
212	9479	1.302
213	9846	1.006
214	9612	0.9155
215	7529	0.9135
216	5584	0.3015
217	5610	0.1025
218	6667	0.094
219	7341	0.091
220	4056	0.08
221	2494	0.076
222	5600	0.071
223	55816	0.010499999999999999
224	5909	0.007000000000000001
225	2688	0.006500000000000001
226	5582	0.0045
227	63978	0.0045
228	114609	0.002
229	8569	0.001
230	5515	0.0005
231	1613	0.0005
