rank	node	rank_score
1	22869	180.1
2	55363	178.99949999999998
3	51531	178.29749999999999
4	8850	176.29850000000002
5	2176	176.298
6	8789	175.399
7	5925	173.59650000000002
8	55014	172.89600000000002
9	27030	170.29500000000002
10	1539	170.09449999999998
11	570	168.894
12	100499483	168.893
13	6794	168.6905
14	1495	167.9925
15	699	166.6935
16	23424	166.49099999999999
17	2064	164.9915
18	4086	164.092
19	54187	163.59
20	7743	161.589
21	5395	158.68699999999998
22	23401	158.3895
23	5535	156.888
24	229	156.0885
25	5157	155.4855
26	7507	155.38600000000002
27	983	154.0875
28	5604	152.685
29	7867	152.484
30	10541	152.37849999999997
31	6714	152.1845
32	3265	147.3825
33	5795	145.981
34	3841	144.78
35	5921	143.182
36	2113	140.7775
37	4904	140.2955
38	1969	138.2765
39	3164	137.355
40	2203	137.083
41	369	136.676
42	1500	133.56
43	25852	132.55599999999998
44	6497	131.7575
45	9576	130.0565
46	5910	127.958
47	3836	127.6615
48	5294	127.451
49	1024	127.25550000000001
50	3872	125.8525
51	219681	125.05050000000001
52	1387	123.475
53	3667	122.65149999999998
54	421	121.9585
55	150709	121.1605
56	5318	120.84549999999999
57	3082	119.56800000000001
58	182	118.752
59	7043	116.94749999999999
60	94	116.248
61	3549	115.245
62	1515	114.68050000000001
63	1029	113.8815
64	93436	113.34650000000002
65	657	113.18350000000001
66	11059	110.4085
67	8502	109.5545
68	11187	109.34700000000001
69	55156	108.34850000000002
70	6469	108.0365
71	23633	106.554
72	90	105.704
73	2688	105.03600000000002
74	50846	104.93499999999999
75	7066	104.2375
76	659	100.901
77	2046	98.84349999999999
78	4293	97.237
79	5527	97.05
80	1942	96.7335
81	2044	96.3345
82	55620	96.14099999999999
83	50616	93.9285
84	4851	93.771
85	1950	93.6425
86	79637	93.4385
87	58480	92.739
88	4921	91.644
89	11009	88.497
90	5295	86.3595
91	3293	86.0865
92	55816	85.957
93	2254	83.762
94	238	83.4325
95	3624	83.2525
96	8555	82.17949999999999
97	3636	81.649
98	860	80.7755
99	5296	80.24300000000001
100	6464	78.6495
101	3568	78.0265
102	1436	77.94449999999999
103	6654	76.2535
104	3588	75.756
105	2932	75.578
106	867	73.14200000000001
107	3455	72.553
108	5803	72.152
109	3586	71.955
110	7316	71.37899999999999
111	7010	71.134
112	367	69.674
113	10580	68.3415
114	4486	67.6315
115	2057	66.032
116	5747	65.5405
117	2048	63.714
118	5781	63.532999999999994
119	9046	62.614999999999995
120	26524	62.277
121	3643	62.0355
122	2213	61.427499999999995
123	8312	57.774
124	2321	56.827999999999996
125	10461	56.80499999999999
126	2533	56.52049999999999
127	3480	55.94
128	2322	55.62950000000001
129	5753	55.221500000000006
130	2690	55.0305
131	5777	55.029999999999994
132	10023	53.9505
133	3717	53.528999999999996
134	1399	52.03099999999999
135	2066	50.923
136	658	50.6465
137	4233	49.9625
138	5618	49.512
139	29924	49.342
140	6001	49.154
141	2885	49.126999999999995
142	23624	48.563
143	5058	48.457
144	25	47.7255
145	7097	47.577999999999996
146	868	46.92100000000001
147	5156	46.4745
148	5829	46.338
149	2065	45.8245
150	10603	45.126
151	4916	44.439499999999995
152	7409	44.424
153	2534	43.7235
154	285	43.111000000000004
155	6452	42.925
156	3815	42.222
157	50943	42.209500000000006
158	7535	41.6225
159	2280	41.2455
160	9863	39.749
161	2648	38.661
162	2185	38.5185
163	940	38.2195
164	3937	37.219
165	8200	36.644999999999996
166	27	36.3175
167	1398	36.216499999999996
168	4915	36.108
169	7421	35.963499999999996
170	4690	35.016
171	6850	34.519999999999996
172	1271	34.5135
173	158427	33.093
174	3932	31.318
175	1445	30.414499999999997
176	3702	30.012999999999998
177	5607	28.9735
178	5909	27.551499999999997
179	51561	27.05
180	916	27.0115
181	919	25.610500000000002
182	10499	25.541500000000003
183	10298	25.3155
184	5170	25.3125
185	3718	23.509999999999998
186	5335	22.011000000000003
187	2624	22.0055
188	5788	21.509
189	6300	20.417
190	3690	19.8005
191	5588	18.307
192	5594	17.053
193	5520	16.6475
194	8915	16.575499999999998
195	4853	16.335
196	3091	15.862
197	8651	15.502
198	5894	14.572
199	5606	14.472999999999999
200	1021	14.372499999999999
201	8678	14.071000000000002
202	1019	13.9715
203	11014	13.87
204	4771	13.770500000000002
205	1030	13.6695
206	960	13.568999999999999
207	2264	13.4685
208	11186	13.267500000000002
209	8463	13.1655
210	660	13.103
211	84662	13.065999999999999
212	51343	12.966999999999999
213	898	12.866499999999998
214	2260	12.8035
215	5608	12.765
216	7015	12.6645
217	1031	12.563500000000001
218	1432	12.559000000000001
219	4194	12.464
220	9322	12.4015
221	83737	12.3045
222	3482	12.206999999999999
223	2043	11.9025
224	5163	10.7025
225	5037	8.846
226	3587	8.748999999999999
227	30011	7.7075000000000005
228	26060	6.6045
229	63978	6.003
230	22943	6.000500000000001
231	2042	5.609
232	5578	5.506
233	5770	5.506
234	5566	5.112
235	3688	3.1064999999999996
236	6868	1.6039999999999999
237	11221	1.504
238	6776	1.502
239	4067	1.3025
240	3561	1.014
241	1859	0.8465
242	5782	0.7085
243	8631	0.40199999999999997
244	5599	0.2065
245	5111	0.0965
246	1051	0.0895
247	9368	0.08349999999999999
248	1017	0.08
249	10952	0.0785
250	7098	0.052000000000000005
251	389	0.048
252	9261	0.047
253	9479	0.047
254	3596	0.04
255	4056	0.034499999999999996
256	8856	0.0305
257	1852	0.026000000000000002
258	3565	0.0075
259	3689	0.0015
260	4193	0.0015
261	6446	0.001
262	7852	0.0005
