rank	node	rank_score
1	10499	178.3995
2	8202	176.898
3	8648	174.89749999999998
4	23054	173.299
5	5468	173.097
6	5914	172.69549999999998
7	6256	172.096
8	8431	171.19850000000002
9	7068	170.8965
10	9612	168.8905
11	9611	167.995
12	2033	167.289
13	10062	165.49200000000002
14	5469	162.394
15	6257	162.1895
16	2908	157.98499999999999
17	5467	157.582
18	7376	157.4875
19	6258	156.38
20	1387	156.18400000000003
21	5465	155.8885
22	10891	155.083
23	7421	150.9855
24	6714	150.675
25	1499	146.9815
26	9576	146.8805
27	2624	146.7775
28	150709	144.6915
29	5915	143.69099999999997
30	9970	142.774
31	3164	142.376
32	1500	140.27100000000002
33	4306	136.2645
34	4088	136.169
35	93436	136.156
36	8204	135.8845
37	3841	132.5655
38	5916	132.068
39	219681	130.678
40	1501	129.9765
41	4929	129.34650000000002
42	5910	127.77000000000001
43	7067	127.3925
44	4193	126.35799999999999
45	8502	126.26500000000001
46	5595	125.19300000000001
47	6497	123.77350000000001
48	3872	122.372
49	23633	121.5685
50	5241	121.46300000000001
51	7341	121.279
52	25852	119.4615
53	9971	119.08250000000001
54	2113	119.07300000000001
55	3172	116.89000000000001
56	3091	116.5675
57	3836	116.3555
58	1942	115.45349999999999
59	5599	114.377
60	55156	112.7635
61	4792	112.47849999999998
62	421	112.4595
63	23426	110.07849999999999
64	11187	109.55999999999999
65	3565	109.15050000000001
66	4089	108.0565
67	79637	107.95900000000002
68	9325	107.8945
69	50616	105.561
70	7066	104.332
71	5527	104.05250000000001
72	5318	103.553
73	688	102.58899999999998
74	9252	101.966
75	3484	100.343
76	8647	99.687
77	5795	98.862
78	6772	97.45750000000001
79	64399	96.8385
80	408	96.6585
81	3455	94.95
82	5371	93.5835
83	3586	93.136
84	5618	91.539
85	1432	90.7665
86	4293	90.128
87	3588	89.741
88	11221	89.651
89	5925	89.0745
90	2872	88.1485
91	1852	86.244
92	2688	85.84700000000001
93	3549	85.6605
94	4843	82.646
95	5601	82.548
96	9572	81.864
97	50943	81.84
98	8569	78.934
99	672	78.8755
100	4921	78.452
101	1487	77.4725
102	3667	75.63050000000001
