rank	node	rank_score
1	7030	180.1
2	22797	179.1995
3	7942	178.299
4	10457	177.3985
5	163882	176.498
6	652991	175.497
7	245802	155.096
8	2705	154.5975
9	7422	153.09650000000002
10	2353	95.396
11	4088	82.49449999999999
12	3726	75.3955
13	3725	61.4905
14	4779	61.080999999999996
15	83844	57.996
16	5970	57.8725
17	1386	55.694
18	2354	55.0865
19	11016	54.49249999999999
20	1649	54.491499999999995
21	6667	54.463
22	122953	53.992
23	5599	53.89300000000001
24	468	53.589
25	9586	53.489999999999995
26	1054	53.090999999999994
27	1050	52.59349999999999
28	55509	52.5895
29	8061	52.2885
30	1053	51.788
31	3727	51.585
32	467	51.3875
33	10538	51.287
34	1628	50.786
35	3131	50.685500000000005
36	7008	50.2845
37	116071	49.984
38	727758	49.9705
39	1051	48.783500000000004
40	1052	48.68300000000001
41	571	48.2825
42	554226	48.273
43	2355	48.182
44	9935	48.1815
45	2033	48.0755
46	4609	47.7555
47	152687	47.667500000000004
48	4097	47.3805
49	1387	47.18
50	4094	47.079499999999996
51	10011	46.8775
52	5594	46.661
53	466	46.278499999999994
54	7975	46.178999999999995
55	255403	46.0635
56	1385	45.977999999999994
57	222659	45.6765
58	4783	45.477
59	22809	43.975
60	2034	43.7745
61	1490	42.8685
62	4302	42.5735
63	1499	42.449
64	602	41.957
65	25942	41.454
66	1843	41.274
67	6774	41.2715
68	23764	41.269999999999996
69	4780	40.67100000000001
70	3065	40.472
71	108281161	40.156
72	2099	40.068
73	688	39.769
74	2113	39.338
75	11243	39.266999999999996
76	672	39.0665
77	92565	38.5655
78	6597	38.559000000000005
79	3066	38.465999999999994
80	653166	37.99550000000001
81	91283	37.995
82	10804	37.795
83	503497	37.5945
84	4790	37.464999999999996
85	3821	37.394
86	146862	37.3645
87	222662	37.1935
88	2908	37.064
89	219854	36.993
90	390212	36.79
91	116441	36.592
92	348938	36.3895
93	27040	36.187
94	55672	36.1585
95	421	36.0445
96	51368	35.891
97	932	35.6915
98	54475	35.6565
99	963	35.488
100	2012	35.2885
101	85027	35.089
102	3836	34.9385
103	4118	34.8875
104	6772	34.86
105	1958	34.8575
106	2866	34.686
107	222642	34.3865
108	5468	34.262
109	56475	34.185500000000005
110	2867	33.985
111	5376	33.7845
112	4261	33.5595
113	433	33.384
114	527	33.1835
115	1500	33.1275
116	10682	32.7825
117	85025	32.782
118	81539	32.7815
119	1501	32.7325
120	363	32.483000000000004
121	9576	32.334
122	3841	31.834500000000002
123	150709	31.6305
124	6256	31.551499999999997
125	55281	31.528499999999998
126	51614	31.481
127	200232	31.2765
128	4818	31.180500000000002
129	56935	31.178999999999995
130	56947	30.972500000000004
131	8502	30.924
132	25852	30.923000000000002
133	973	30.879499999999997
134	10385	30.778499999999998
135	613212	30.511000000000003
136	136263	30.174
137	219681	29.928499999999996
138	60468	29.375999999999998
139	3872	29.3315
140	11187	29.221500000000002
141	27346	28.856
142	5318	28.82
143	286451	28.7745
144	5354	28.766499999999997
145	1366	28.660500000000003
146	6722	28.651
147	286753	28.573500000000003
148	65062	28.373
149	9603	27.8695
150	23566	27.8675
151	203562	27.665999999999997
152	27302	27.561
153	8021	27.548000000000002
154	54842	27.28
155	29986	27.2755
156	55156	27.122500000000002
157	408263	27.045500000000004
158	5910	27.025
159	860	26.945
160	23633	26.9295
161	29914	26.9175
162	90993	26.870500000000003
163	638	26.8485
164	10175	26.6715
165	9482	26.671000000000003
166	367	26.547500000000003
167	53826	26.265499999999996
168	2624	25.911
169	6567	25.877999999999997
170	207	25.736
171	5349	25.677
172	200894	25.6625
173	3091	25.654500000000002
174	3488	25.555500000000002
175	93436	25.5265
176	359	25.369999999999997
177	23484	25.366999999999997
178	6497	25.237000000000002
179	2309	25.145999999999997
180	80195	24.945
181	344892	24.86
182	7157	24.845499999999998
183	2648	24.827
184	51006	24.769
185	81853	24.657
186	1026	24.558
187	58191	24.363
188	5925	24.3615
189	84522	24.3595
190	345274	24.268
191	144110	24.176
192	6570	24.175
193	1432	24.142000000000003
194	255043	23.8615
195	55269	23.8335
196	1399	23.7055
197	7780	23.5775
198	11270	23.569499999999998
199	2703	23.564
200	10791	23.054499999999997
201	493869	22.9565
202	79637	22.2165
203	5407	22.1685
204	595	22.0605
205	84975	21.9575
206	339302	21.653
207	10488	21.546
208	5595	21.4535
209	388588	21.3495
210	85013	21.259
211	2932	20.944
212	23759	20.853
213	120939	20.754
214	84314	20.434
215	6598	20.427500000000002
216	5350	20.347
217	150223	20.319499999999998
218	648691	20.208499999999997
219	10158	19.936
220	94107	19.8535
221	10447	19.842000000000002
222	4851	19.7115
223	54663	19.613999999999997
224	2962	19.534
225	2959	19.432
226	5670	19.195500000000003
227	4193	19.1355
228	129025	19.1305
229	55238	19.051
230	2207	19.033499999999997
231	83877	18.8945
232	5054	18.8915
233	1534	18.848000000000003
234	10180	18.794
235	23753	18.7315
236	388372	18.6635
237	5569	18.595
238	347	18.549
239	254827	18.4435
240	1852	18.4135
241	134391	18.365000000000002
242	51176	18.294
243	79415	18.158499999999997
244	4815	18.151999999999997
245	4000	18.1515
246	169026	18.144
247	2709	18.0505
248	3804	17.95
249	51075	17.555
250	80777	17.343
251	9283	17.2465
252	4259	17.041500000000003
253	6464	17.0005
254	7048	16.901
255	4601	16.824
256	5355	16.6375
257	51141	16.447499999999998
258	25	16.306
259	5602	16.2245
260	11161	16.141
261	79669	16.0425
262	161145	16.032
263	7043	15.902000000000001
264	2014	15.8905
265	55800	15.437000000000001
266	3552	15.3195
267	10826	15.24
268	7113	15.236500000000001
269	56681	15.035
270	79161	14.838
271	7066	14.712
272	100507537	14.605
273	25820	14.474
274	22943	14.3065
275	6785	13.8405
276	50616	13.808000000000002
277	51341	13.734
278	387923	13.639
279	51390	13.5345
280	3586	13.519
281	6714	13.401999999999997
282	345275	13.3325
283	23786	13.244499999999999
284	9341	13.135500000000002
285	1942	13.114500000000001
286	6908	13.031
287	7348	13.0275
288	10423	12.9525
289	8343	12.9345
290	254428	12.779
291	162427	12.7395
292	9554	12.733
293	3458	12.626
294	3684	12.4315
295	3553	12.318000000000001
296	408	12.3095
297	55340	12.23
298	2044	12.2025
299	11122	12.0165
300	10282	11.9385
301	1950	11.9145
302	6541	11.872
303	5604	11.8015
304	7010	11.7055
305	8841	11.652
306	1271	11.5215
307	6804	11.427000000000001
308	26984	11.2265
309	58480	11.222
310	3565	11.1235
311	5294	10.924
312	3455	10.9075
313	55620	10.803
314	11209	10.753
315	9261	10.615
316	3397	10.5495
317	861	10.353
318	5371	10.1525
319	3572	10.124500000000001
320	120224	10.122499999999999
321	170575	10.121500000000001
322	9046	9.915000000000001
323	128989	9.863499999999998
324	23532	9.649
325	4582	9.631
326	125875	9.6295
327	196051	9.623
328	7290	9.6065
329	8648	9.5505
330	10461	9.5155
331	51548	9.509
332	8000	9.428
333	7182	9.413
334	3659	9.346
335	4921	9.339
336	9774	9.325999999999999
337	131616	9.3205
338	10023	9.310500000000001
339	10891	9.241
340	10559	9.222
341	10155	9.144499999999999
342	51522	9.125
343	7341	9.0625
344	9609	9.0435
345	9759	8.9485
346	140883	8.942
347	8834	8.9305
348	664	8.925999999999998
349	7851	8.9255
350	2213	8.9255
351	64755	8.9155
352	9612	8.8495
353	55290	8.8425
354	360	8.82
355	5914	8.75
356	164592	8.743
357	2002	8.555
358	9126	8.541500000000001
359	219402	8.519499999999999
360	23054	8.447
361	27156	8.4405
362	401152	8.358
363	613	8.3395
364	10524	8.339
365	25972	8.318999999999999
366	7421	8.246500000000001
367	2972	8.24
368	157567	8.221
369	9324	8.139
370	5297	8.038
371	4792	7.9395
372	4778	7.934
373	9342	7.838500000000001
374	23411	7.7375
375	7518	7.736
376	29799	7.6365
377	5788	7.606
378	9611	7.540000000000001
379	10009	7.5375
380	50854	7.5235
381	8202	7.4425
382	83543	7.4355
383	3763	7.417
384	5241	7.343500000000001
385	55814	7.337000000000001
386	6872	7.316
387	916	7.3135
388	10499	7.243
389	100506241	7.234999999999999
390	5467	7.1405
391	7936	7.1345
392	1436	7.018000000000001
393	5296	6.9455
394	8850	6.9365
395	84929	6.933
396	26226	6.831999999999999
397	283232	6.8245000000000005
398	144404	6.824000000000001
399	10782	6.7315
400	441951	6.728999999999999
401	27230	6.7235
402	919	6.711
403	3164	6.635
404	8940	6.631
405	7535	6.631
406	940	6.529000000000001
407	116151	6.528999999999999
408	7392	6.4295
409	3937	6.4285
410	154467	6.362
411	9659	6.33
412	80346	6.3185
413	400258	6.318
414	867	6.2524999999999995
415	6688	6.2305
416	26765	6.2295
417	924	6.129
418	2533	6.127000000000001
419	5601	6.0329999999999995
420	6452	6.029999999999999
421	9869	6.028499999999999
422	116173	6.016
423	8970	5.957
424	868	5.9365000000000006
425	1457	5.932
426	347148	5.928
427	7409	5.836
428	905	5.827
429	6850	5.7345
430	9252	5.731
431	27037	5.7265
432	3932	5.6315
433	26801	5.6255
434	6886	5.623
435	7161	5.5335
436	5902	5.5255
437	5588	5.521
438	83737	5.425
439	3558	5.33
440	106479563	5.3265
441	2534	5.3265
442	140690	5.3245
443	147872	5.307
444	1445	5.228
445	64976	5.2235
446	3815	5.1305
447	5465	5.129
448	10127	5.1215
449	2040	5.1125
450	85236	5.0475
451	27	5.0295000000000005
452	286336	5.0225
453	2322	4.9325
454	84912	4.906499999999999
455	5777	4.8340000000000005
456	1487	4.828
457	2057	4.742
458	80764	4.726
459	5781	4.649
460	3013	4.635
461	6773	4.62
462	94101	4.6145
463	8674	4.6114999999999995
464	2066	4.5329999999999995
465	8294	4.513
466	2885	4.432
467	6879	4.4285
468	4306	4.4255
469	2812	4.421
470	3717	4.34
471	1727	4.313
472	10298	4.2275
473	26147	4.2195
474	8969	4.133
475	5747	4.0655
476	6554	4.014
477	158866	4.0135000000000005
478	3667	3.9485
479	2064	3.88
480	664709	3.758
481	3643	3.7405
482	4843	3.722
483	79680	3.717
484	58515	3.7120000000000006
485	8348	3.625
486	3484	3.6205
487	4149	3.6165
488	5295	3.5520000000000005
489	84065	3.5105000000000004
490	6654	3.4505000000000003
491	2494	3.4174999999999995
492	5829	3.3445
493	8351	3.3205
494	8856	3.317
495	2185	3.2369999999999997
496	157378	3.2165
497	54584	3.215
498	8336	3.1215
499	4929	3.121
500	8529	3.1094999999999997
501	2065	3.035
502	4690	2.923
503	100534611	2.91
504	1398	2.8355
505	2005	2.816
506	2690	2.7385
507	1437	2.7184999999999997
508	55092	2.7079999999999997
509	2321	2.619
510	9570	2.6075
511	9127	2.5125
512	203062	2.509
513	10580	2.4375
514	9970	2.4125
515	116211	2.4085
516	1104	2.407
517	5600	2.3155
518	50943	2.3129999999999997
519	2260	2.2199999999999998
520	8358	2.219
521	5979	2.1535
522	5916	2.1085000000000003
523	3480	2.065
524	2623	2.009
525	148534	2.004
526	4734	1.9195
527	23642	1.9164999999999999
528	8366	1.9105
529	1956	1.847
530	51465	1.8045000000000002
531	3702	1.7260000000000002
532	11221	1.714
533	4233	1.6785
534	9027	1.6024999999999998
535	9572	1.51
536	1874	1.5065
537	4904	1.5035
538	8335	1.4135
539	4915	1.412
540	6446	1.4045
541	79603	1.401
542	100462977	1.3545
543	30011	1.3095
544	3636	1.2175
545	8367	1.2125
546	6319	1.2015
547	10603	1.1045
548	5452	1.0145
549	7852	1.009
550	5753	1.0074999999999998
551	8440	0.9085000000000001
552	3012	0.82
553	3718	0.8099999999999999
554	238	0.705
555	100151683	0.6224999999999999
556	5335	0.6125
557	11124	0.607
558	84641	0.602
559	5795	0.516
560	3661	0.48
561	5921	0.414
562	51124	0.403
563	100288797	0.3645
564	3791	0.3105
565	7542	0.306
566	3481	0.305
567	84272	0.3025
568	3017	0.21550000000000002
569	135932	0.11499999999999999
570	5770	0.1115
571	57402	0.096
572	6794	0.0955
573	7069	0.095
574	1114	0.0945
575	9146	0.094
576	3703	0.0935
577	6790	0.0935
578	6668	0.093
579	51343	0.093
580	9372	0.093
581	127534	0.0925
582	5989	0.0925
583	9358	0.0925
584	6659	0.0925
585	23261	0.092
586	1602	0.092
587	3728	0.092
588	339541	0.0915
589	4771	0.0915
590	4087	0.0915
591	43	0.091
592	7015	0.091
593	79639	0.0905
594	8463	0.0905
595	54522	0.09
596	1030	0.09
597	7046	0.09
598	65249	0.0895
599	4435	0.0895
600	5606	0.0895
601	57154	0.0895
602	5090	0.089
603	894	0.089
604	4092	0.089
605	286140	0.0885
606	5607	0.0885
607	4086	0.0885
608	284184	0.088
609	5156	0.088
610	4800	0.0875
611	2264	0.0875
612	4091	0.0875
613	90204	0.087
614	405	0.087
615	4090	0.087
616	400120	0.0865
617	84787	0.0865
618	26524	0.0865
619	64750	0.0865
620	83450	0.086
621	8678	0.086
622	90	0.086
623	57157	0.08549999999999999
624	1969	0.08549999999999999
625	11059	0.08549999999999999
626	84266	0.08499999999999999
627	11014	0.08499999999999999
628	203245	0.08449999999999999
629	1021	0.08449999999999999
630	658	0.08449999999999999
631	284439	0.08399999999999999
632	84662	0.08399999999999999
633	9958	0.08399999999999999
634	4801	0.08349999999999999
635	1019	0.08349999999999999
636	388512	0.08299999999999999
637	140831	0.08299999999999999
638	2911	0.08299999999999999
639	2280	0.08299999999999999
640	969	0.08249999999999999
641	283596	0.08249999999999999
642	11186	0.08249999999999999
643	23142	0.08199999999999999
644	1029	0.08199999999999999
645	11264	0.08149999999999999
646	898	0.08149999999999999
647	94	0.08149999999999999
648	115811	0.081
649	1031	0.081
650	10554	0.0805
651	5894	0.0805
652	148137	0.0795
653	3082	0.0795
654	10005	0.079
655	960	0.079
656	659	0.079
657	5007	0.0785
658	26261	0.078
659	650	0.078
660	56927	0.0775
661	23624	0.0775
662	10140	0.0775
663	4034	0.077
664	369	0.077
665	404734	0.0765
666	7248	0.0765
667	3624	0.0765
668	80308	0.076
669	54958	0.0755
670	4194	0.0755
671	8312	0.0755
672	3687	0.075
673	2029	0.075
674	84769	0.0745
675	4217	0.0745
676	2688	0.0745
677	90379	0.074
678	5608	0.074
679	8200	0.074
680	57592	0.0735
681	54545	0.073
682	94015	0.073
683	3549	0.073
684	84232	0.0725
685	340273	0.0725
686	23527	0.072
687	64399	0.072
688	94239	0.0715
689	324	0.0715
690	51218	0.071
691	6658	0.071
692	6469	0.071
693	7702	0.0705
694	148979	0.0705
695	81558	0.06999999999999999
696	4782	0.06999999999999999
697	83873	0.06949999999999999
698	64783	0.06949999999999999
699	91653	0.06949999999999999
700	90864	0.06899999999999999
701	54904	0.06899999999999999
702	50846	0.06899999999999999
703	57171	0.0685
704	53373	0.068
705	23030	0.0675
706	148254	0.067
707	10273	0.067
708	9451	0.0665
709	51561	0.0665
710	146691	0.066
711	5728	0.066
712	6001	0.066
713	8570	0.0655
714	146057	0.065
715	3568	0.065
716	11022	0.0645
717	54882	0.064
718	3588	0.064
719	3326	0.0635
720	285	0.063
721	84437	0.0625
722	4293	0.0625
723	58492	0.062
724	673	0.062
725	348235	0.0615
726	5803	0.0615
727	54815	0.061
728	114825	0.0605
729	27289	0.0605
730	81611	0.06
731	26137	0.0595
732	51239	0.059
733	255919	0.058499999999999996
734	3556	0.057999999999999996
735	26959	0.057499999999999996
736	3265	0.057499999999999996
737	8945	0.056999999999999995
738	1272	0.056999999999999995
739	115704	0.056499999999999995
740	4853	0.056499999999999995
741	4849	0.05600000000000001
742	91947	0.05550000000000001
743	51058	0.05500000000000001
744	2046	0.05500000000000001
745	23112	0.05450000000000001
746	10383	0.054000000000000006
747	261734	0.053500000000000006
748	55204	0.053000000000000005
749	3587	0.053000000000000005
750	283871	0.052500000000000005
751	10146	0.052000000000000005
752	389	0.052000000000000005
753	5926	0.051500000000000004
754	64764	0.051000000000000004
755	55367	0.051000000000000004
756	79763	0.0505
757	84926	0.05
758	2254	0.05
759	10300	0.0495
760	3554	0.049
761	84981	0.0485
762	7360	0.048
763	7534	0.0475
764	113115	0.047
765	9863	0.047
766	83461	0.046
767	7867	0.046
768	10207	0.046
769	55219	0.0455
770	5909	0.0455
771	4056	0.045
772	84717	0.0445
773	84279	0.044
774	10287	0.044
775	669	0.0435
776	5618	0.0435
777	79963	0.043
778	10617	0.043
779	81858	0.042499999999999996
780	4486	0.042499999999999996
781	29082	0.042499999999999996
782	6048	0.041999999999999996
783	55816	0.041999999999999996
784	1655	0.041499999999999995
785	2188	0.041499999999999995
786	5140	0.041499999999999995
787	285527	0.040999999999999995
788	6868	0.040999999999999995
789	26993	0.0405
790	84221	0.04
791	2048	0.04
792	11194	0.0395
793	8318	0.039
794	4294	0.039
795	79842	0.0385
796	162655	0.038
797	2247	0.0375
798	57799	0.037
799	3656	0.037
800	11057	0.0365
801	10963	0.036
802	3596	0.036
803	85235	0.0335
804	9230	0.0325
805	3561	0.0315
806	8431	0.031
807	8334	0.027000000000000003
808	6300	0.0235
809	5058	0.0225
810	8330	0.020999999999999998
811	5170	0.020499999999999997
812	7056	0.02
813	660	0.0185
814	8329	0.018
815	9302	0.017499999999999998
816	9303	0.017
817	8341	0.015
818	8338	0.011
819	8340	0.0095
820	10188	0.009
821	113246	0.008
822	150	0.008
823	619498	0.0075
824	5566	0.006500000000000001
825	79022	0.0055
826	8342	0.0055
827	8331	0.005
828	4171	0.0045
829	6416	0.004
830	8353	0.004
831	3690	0.004
832	345757	0.0035000000000000005
833	5300	0.0035000000000000005
834	3021	0.0035000000000000005
835	112616	0.003
836	5609	0.003
837	8370	0.003
838	8349	0.0025
839	695	0.0025
840	1058	0.002
841	6776	0.002
842	653604	0.0015
843	8360	0.001
844	5159	0.001
845	1785	0.001
846	8417	0.0005
847	317772	0.0005
848	4067	0.0005
