rank	node	rank_score
1	5970	180.1
2	1238	178.19850000000002
3	6352	178.099
4	5971	177.99949999999998
5	4790	176.6975
6	51554	175.997
7	3576	174.69650000000001
8	5196	173.796
9	6357	172.8955
10	4321	171.595
11	1234	171.498
12	10344	170.1945
13	1232	169.294
14	30009	168.3935
15	6370	165.493
16	6387	165.39249999999998
17	6373	164.19099999999997
18	2920	163.892
19	7130	163.79149999999998
20	3627	162.19
21	3659	162.0905
22	6772	161.789
23	6366	161.4885
24	6778	161.488
25	1803	161.0895
26	1462	157.2865
27	4318	156.18699999999998
28	3725	155.686
29	6372	155.4875
30	6364	153.2855
31	6774	152.78400000000002
32	1051	151.4845
33	4312	151.08499999999998
34	2033	151.08350000000002
35	330	150.483
36	3456	146.68099999999998
37	7852	146.571
38	3660	146.174
39	3663	145.982
40	10379	145.2825
41	3665	144.1815
42	1387	142.8805
43	3593	142.48
44	5966	141.67950000000002
45	3592	140.679
46	3662	139.178
47	604	139.0785
48	3394	137.977
49	6348	136.8775
50	4772	136.17649999999998
51	4773	135.276
52	282618	133.87550000000002
53	4261	133.17350000000002
54	3661	132.275
55	6773	130.37449999999998
56	4791	128.8725
57	282617	128.773
58	2625	128.368
59	6667	127.07000000000001
60	3558	122.569
61	6688	121.7665
62	861	121.46849999999999
63	1499	119.7695
64	2908	119.66599999999998
65	3065	119.5675
66	9612	119.47049999999999
67	3586	117.6655
68	5371	116.96700000000001
69	50943	112.5605
70	554226	109.36500000000001
71	5594	109.16
72	5468	109.05900000000001
73	7157	107.5595
74	8841	106.958
75	727758	106.36399999999999
76	5914	104.65650000000001
77	8648	104.056
78	367	101.05199999999999
79	5467	100.753
80	10499	99.6525
81	8202	99.554
82	4792	99.0575
83	3066	98.8615
84	9611	98.8535
85	6256	98.75450000000001
86	23633	97.1515
87	7421	95.651
88	2113	94.9555
89	3836	94.15
90	5241	91.8495
91	5595	90.4485
92	255403	90.062
93	1390	89.7635
94	1500	89.149
95	9576	89.046
96	152687	88.861
97	4088	88.548
98	6497	88.5475
99	2353	87.763
100	1385	87.5625
101	421	84.84700000000001
102	5599	83.6455
103	6597	82.6585
104	5910	82.64500000000001
105	5925	81.8445
106	150709	81.7415
107	2099	79.8505
108	3164	79.4385
109	3091	78.0395
110	8502	77.944
111	1501	77.439
112	25852	76.343
113	3872	75.838
114	3455	75.741
115	3552	75.2435
116	5465	74.6375
117	219681	74.1405
118	4929	72.74
119	9252	70.1365
120	3841	69.637
121	93436	69.6345
122	4306	69.23400000000001
123	3556	66.731
124	672	65.7465
125	5318	64.93350000000001
126	11187	64.836
127	64399	63.73299999999999
128	4843	62.635000000000005
129	7128	62.44200000000001
130	3588	61.93150000000001
131	50616	61.532
132	841	61.442499999999995
133	55156	61.432500000000005
134	4293	59.529999999999994
135	2494	58.727
136	2624	58.157
137	7066	56.727999999999994
138	1942	56.5305
139	5916	55.1275
140	79637	53.4285
141	51561	50.6155
142	2044	50.0175
143	9970	47.423500000000004
144	11221	45.3295
145	10892	44.819
146	1432	44.3355
147	9547	43.573
148	6775	43.0705
149	3667	42.729
150	1147	42.072
151	79155	41.7715
152	6868	40.114999999999995
153	3717	39.025
154	5602	38.518
155	8569	37.326499999999996
156	50846	35.51649999999999
157	6446	35.025999999999996
158	7341	35.0205
159	6714	34.924
160	8856	34.9215
161	6776	34.655
162	8850	34.058
163	7189	33.6195
164	5527	33.113
165	4089	33.0105
166	408	31.2185
167	7161	31.021000000000004
168	22943	29.9255
169	5601	29.412
170	5294	25.911
171	1487	23.7315
172	4193	23.6135
173	5777	23.023000000000003
174	1436	22.822499999999998
175	55620	22.5245
176	3554	22.417
177	10524	22.214
178	4851	22.0145
179	6654	20.222
180	3561	20.016
181	5795	18.919999999999998
182	5295	18.308500000000002
183	6464	18.009999999999998
184	1457	17.0125
185	182	15.8115
186	6416	15.317000000000002
187	3572	15.306999999999999
188	3932	15.1095
189	940	14.807999999999998
190	9261	14.123000000000001
191	3559	13.769
192	5600	13.0245
193	4794	12.964500000000001
194	1852	12.324000000000002
195	1859	11.718
196	6850	11.506499999999999
197	5979	11.1015
198	5296	10.905
199	688	10.858
200	8021	10.822
201	5747	10.0045
202	2057	9.506
203	7409	8.605500000000001
204	3656	8.5115
205	114609	8.511
206	1399	8.404
207	4056	7.6175
208	3718	7.2090000000000005
209	867	6.903499999999999
210	868	6.002
211	5781	5.5024999999999995
212	3937	5.403499999999999
213	5788	5.3075
214	3643	4.503
215	7098	4.3085
216	1956	4.3004999999999995
217	5588	3.9090000000000003
218	2533	3.8085
219	6452	3.105
220	4921	2.8165
221	7535	2.8055
222	3815	2.8009999999999997
223	2648	2.516
224	4205	1.709
225	27	1.504
226	5829	1.41
227	1445	1.306
228	83737	1.204
229	3480	1.1075
230	25	1.1025
231	2322	1.1025
232	10298	0.6035
233	2885	0.602
234	7010	0.507
235	2534	0.3005
236	2064	0.101
237	6358	0.08499999999999999
238	3439	0.0715
239	3448	0.071
240	9636	0.0705
241	595	0.053500000000000006
242	9572	0.03
243	10461	0.0235
244	5610	0.023
245	6885	0.022
246	7867	0.018
247	919	0.0125
248	3484	0.01
249	916	0.0085
250	9046	0.006500000000000001
251	2321	0.006500000000000001
