rank	node	rank_score
1	150	180.1
2	5295	179.1995
3	1387	178.099
4	367	177.5985
5	646643	176.498
6	55351	175.5975
7	169436	174.597
8	3326	163.09300000000002
9	140469	161.39249999999998
10	157285	159.98899999999998
11	340156	159.0895
12	8814	157.2865
13	2624	157.0885
14	22858	156.38600000000002
15	65975	154.09650000000002
16	2113	153.48499999999999
17	50943	152.2815
18	375449	151.18400000000003
19	79858	148.9855
20	81788	148.982
21	1326	143.57750000000001
22	282974	138.0905
23	5608	137.177
24	140901	136.872
25	11140	136.47150000000002
26	23012	135.171
27	5607	134.976
28	53944	134.89600000000002
29	56164	132.4955
30	5593	131.6945
31	4904	131.395
32	57172	128.294
33	6794	127.86949999999999
34	9833	127.5805
35	56924	127.39349999999999
36	26750	125.9915
37	10110	125.09200000000001
38	10000	125.0685
39	9064	123.37049999999999
40	5606	122.0605
41	730211	121.67
42	2289	120.46700000000001
43	51347	119.6875
44	85481	119.56800000000001
45	23604	119.28450000000001
46	3320	119.2655
47	149420	118.4665
48	344387	118.36749999999999
49	389840	118.18699999999998
50	10645	117.08800000000001
51	207	115.55999999999999
52	4750	115.08
53	54986	112.481
54	22848	112.1795
55	9448	112.17849999999999
56	4217	111.85900000000001
57	57396	111.37899999999999
58	63978	110.27799999999999
59	57118	108.77649999999998
60	415116	108.59099999999998
61	91754	108.39000000000001
62	1021	107.7595
63	5128	106.775
64	23387	106.5755
65	4117	105.97049999999999
66	10602	105.1745
67	79705	104.474
68	341676	103.88250000000001
69	84441	103.273
70	1456	102.78299999999999
71	6446	100.723
72	284086	99.4835
73	5566	98.556
74	8428	96.769
75	5894	95.7505
76	6885	95.366
77	369	92.648
78	140609	89.6735
79	1969	89.2525
80	673	88.84
81	2623	88.4585
82	29949	88.372
83	1019	87.161
84	2064	86.9555
85	9891	86.55799999999999
86	8621	82.065
87	3327	81.6645
88	11183	81.07000000000001
89	6795	80.8635
90	728642	80.764
91	664618	79.9625
92	8491	79.7695
93	5562	79.457
94	2932	79.4355
95	1022	79.062
96	65061	78.963
97	26524	78.252
98	894	78.1535
99	10273	77.137
100	3323	76.3615
101	84254	76.1575
102	5156	75.553
103	7157	74.4405
104	4771	74.251
105	1030	74.05
106	2911	73.9515
107	2264	72.549
108	5604	72.436
109	11014	71.9495
110	1499	71.935
111	8678	71.2485
112	11186	71.14750000000001
113	814	71.0725
114	5058	71.054
115	4194	70.546
116	84662	70.447
117	8463	69.245
118	5170	68.925
119	7015	68.44449999999999
120	4233	68.3465
121	3082	68.24549999999999
122	51343	67.7435
123	405	66.944
124	4296	66.0565
125	1432	65.93350000000001
126	898	65.54249999999999
127	3091	65.3415
128	1500	64.53150000000001
129	5567	63.855
130	1029	63.54200000000001
131	960	62.74300000000001
132	1031	61.940999999999995
133	1020	61.6365
134	4215	60.565999999999995
135	4609	59.8395
136	8502	59.7285
137	23624	59.539
138	5594	58.028
139	6790	57.838499999999996
140	283455	57.434000000000005
141	3551	55.830999999999996
142	25852	55.427
143	9344	54.467499999999994
144	7248	54.132999999999996
145	219681	53.6235
146	421	52.4255
147	5599	50.2265
148	867	50.222500000000004
149	7534	50.1325
150	9576	49.7245
151	5603	49.4645
152	3841	48.42100000000001
153	10971	47.8215
154	5910	47.8195
155	4193	47.532
156	5979	47.524
157	5581	46.731
158	6714	45.8185
159	5747	45.730000000000004
160	3667	44.911
