rank	node	rank_score
1	5970	180.1
2	6352	179.1995
3	5971	176.592
4	4790	175.6935
5	30009	173.299
6	6772	173.29850000000002
7	3576	173.0915
8	3725	171.4895
9	1238	170.596
10	1499	168.789
11	1234	167.897
12	6373	167.493
13	6387	166.9945
14	10344	166.6975
15	1232	165.598
16	6357	165.59650000000002
17	3627	165.4925
18	3659	165.3905
19	7130	165.291
20	6355	164.8955
21	6774	164.3885
22	51554	163.495
23	6778	162.49
24	1803	158.185
25	4318	157.587
26	2920	157.586
27	2033	154.5865
28	4321	153.4855
29	3665	151.984
30	604	151.1845
31	10379	151.1835
32	3663	150.783
33	3456	150.1825
34	7124	149.88150000000002
35	1387	148.482
36	330	147.8805
37	3661	146.281
38	5966	145.28
39	6370	144.294
40	3592	144.0795
41	3593	143.279
42	1051	141.9785
43	1147	140.776
44	3662	140.378
45	6366	139.68800000000002
46	1462	139.4875
47	6348	139.3775
48	3394	136.877
49	282618	136.17649999999998
50	3565	136.1745
51	4772	135.975
52	4773	135.474
53	7189	134.87550000000002
54	2625	133.2735
55	4791	131.673
56	9641	130.67249999999999
57	282617	129.572
58	7128	128.2715
59	79155	127.971
60	9612	126.87049999999999
61	6667	126.37
62	861	125.4695
63	3558	124.66900000000001
64	7852	123.0675
65	50943	122.76849999999999
66	3065	120.7665
67	23633	120.367
68	7157	119.36599999999999
69	4792	117.96549999999999
70	3586	115.968
71	5467	115.9645
72	9576	114.56500000000001
73	5468	114.564
74	1500	111.2635
75	2908	111.1605
76	8648	109.6615
77	7421	109.16300000000001
78	3836	108.4625
79	150709	108.46100000000001
80	5594	107.85900000000001
81	3552	106.862
82	10499	106.7585
83	4088	104.75999999999999
84	1501	103.9595
85	3872	101.35799999999999
86	93436	98.856
87	5910	98.154
88	5241	97.8575
89	3455	97.2565
90	3556	96.5545
91	2113	96.0535
92	219681	95.35499999999999
93	421	94.457
94	8502	94.251
95	3717	94.05550000000001
96	25852	92.8505
97	3588	88.9515
98	4306	87.049
99	55156	86.35249999999999
100	841	86.352
101	11187	86.3485
102	51561	85.65
103	3841	85.646
104	64399	84.248
105	114609	83.74549999999999
106	5318	83.5475
107	6256	83.34049999999999
108	3656	82.745
109	7066	82.247
110	50616	82.04650000000001
111	5777	80.753
112	3164	80.64
113	5595	78.9385
114	367	78.9355
115	10892	78.4495
116	5599	77.039
117	4929	76.84200000000001
118	3091	74.634
119	4293	73.7435
120	55620	73.44449999999999
121	79637	73.44300000000001
122	5465	73.137
123	7098	71.1425
124	6868	70.438
125	6885	69.5395
126	3667	65.1375
127	1942	63.6345
128	2044	62.635000000000005
129	9252	61.236000000000004
130	5294	56.2365
131	6714	54.73350000000001
132	5610	52.928
133	5295	51.8275
134	3561	50.744
135	3718	46.641
136	6654	44.925
137	50846	44.8415
138	6464	44.1225
139	5602	42.9315
140	7409	42.418
141	2690	42.2245
142	5588	42.019
143	11221	41.4305
144	1436	40.123000000000005
145	408	39.5325
146	940	39.416
147	7010	37.922000000000004
148	867	37.820499999999996
149	868	37.4185
150	2057	37.12
151	5296	36.7155
152	4843	36.533
153	8569	36.527
154	5979	36.2255
155	2533	35.9195
156	5781	35.9165
157	3937	35.5175
158	3643	35.5125
159	6850	35.415
160	1432	34.8285
161	6416	34.631
162	3932	34.317
163	9970	32.03
164	2624	32.021
165	1956	32.0145
166	2494	31.532
167	1399	31.214
168	5601	30.726
169	5747	29.9135
170	5829	26.413
171	8841	25.964999999999996
172	7535	25.811500000000002
173	2321	25.802
174	5527	25.7295
175	4921	25.621500000000005
176	6452	24.810499999999998
177	3815	24.511000000000003
178	6497	23.6305
179	3480	21.812
180	1445	20.709
181	27	20.6095
182	2099	20.503
183	2885	19.21
184	2322	18.607999999999997
185	10298	17.807499999999997
186	2185	16.6055
187	9046	16.2015
188	2064	15.6065
189	2065	14.906
190	4261	13.6665
191	4056	13.434999999999999
192	1316	12.9635
193	2534	12.905000000000001
194	1398	11.7025
195	83737	11.4085
196	25	11.4035
197	5600	10.8255
198	6776	10.007
199	919	10.0045
200	5925	9.623
201	916	9.604
202	3549	9.3465
203	7867	9.3225
204	5609	9.124
205	1950	9.009
206	5795	6.304
207	5788	6.028499999999999
208	1852	5.325
209	4690	5.101
210	4294	4.4235
211	2213	4.4005
212	2066	3.8004999999999995
213	4851	3.629
214	11122	3.001
215	5753	2.0045
216	4233	1.8050000000000002
217	3702	1.206
218	8651	1.0055
219	5770	0.6025
220	3791	0.2015
221	3660	0.0745
222	4794	0.06999999999999999
223	6775	0.0675
224	6688	0.0675
225	29110	0.0645
226	3654	0.064
227	9611	0.063
228	5371	0.0625
229	5914	0.05550000000000001
230	5916	0.0315
231	6446	0.026500000000000003
232	4193	0.0225
233	7161	0.0185
234	4915	0.0005
