rank	node	rank_score
1	7316	177.09949999999998
2	1499	176.9
3	5970	168.5815
4	6774	167.29850000000002
5	6667	165.292
6	2099	159.777
7	5599	156.293
8	3841	155.1925
9	5925	153.391
10	4193	153.0975
11	5894	149.19400000000002
12	2033	148.8865
13	3091	145.0935
14	367	142.3955
15	207	139.398
16	3320	135.996
17	5371	130.283
18	3065	127.0835
19	672	126.8845
20	405	126.2905
21	5566	117.881
22	1432	114.57849999999999
23	2113	113.785
24	3872	111.48899999999999
25	26524	109.199
26	8502	107.673
27	1387	105.975
28	7341	104.0895
29	1500	104.076
30	5594	103.6825
31	7161	102.2885
32	8841	100.982
33	6497	100.884
34	1501	100.588
35	1969	98.0395
36	2624	97.74249999999999
37	9576	96.4855
38	150709	95.97999999999999
39	25852	95.471
40	6201	94.7915
41	6714	93.79650000000001
42	8648	93.6695
43	5468	93.179
44	3836	92.9705
45	5241	92.663
46	4088	89.986
47	673	88.9015
48	7867	88.37
49	11009	87.9875
50	421	87.5745
51	55156	87.56649999999999
52	23624	86.5505
53	9612	86.2655
54	79637	85.56
55	23633	85.3625
56	5527	85.06800000000001
57	5795	83.2755
58	219681	83.0645
59	2908	82.66499999999999
60	5910	81.5675
61	93436	80.874
62	7421	79.664
63	5604	79.155
64	5318	78.9585
65	6256	78.457
66	10499	77.4715
67	5467	77.15950000000001
68	292	76.28999999999999
69	5058	75.34349999999999
70	11187	73.6605
71	3717	71.55550000000001
72	5578	71.2215
73	9261	71.127
74	6654	69.845
75	3480	69.7405
76	50943	69.362
77	5606	68.0795
78	5979	67.6485
79	3667	67.38050000000001
80	4843	67.366
81	6794	66.67999999999999
82	1942	66.402
83	6772	66.269
84	6464	64.053
85	408	63.834500000000006
86	8856	63.5535
87	2309	63.0735
88	5465	63.059000000000005
89	2044	62.072500000000005
90	3082	61.872
91	5747	61.148
92	2932	60.653999999999996
93	7046	60.428999999999995
94	4792	60.138
95	5295	59.53099999999999
96	5515	59.25
97	3643	59.1475
98	2260	58.657999999999994
99	4904	58.6115
100	11122	58.109
101	25	58.0465
102	6868	57.172000000000004
103	3551	54.497
104	4306	53.8615
105	5829	53.841499999999996
106	369	53.55550000000001
107	1021	53.286
108	1030	52.976
109	7066	52.25750000000001
110	5296	52.034000000000006
111	4771	51.167500000000004
112	5770	51.156
113	4921	50.652
114	10461	50.5685
115	5156	50.121500000000005
116	54828	49.9435
117	894	49.5785
118	2264	49.5685
119	11014	48.971500000000006
120	596	48.378
121	8678	48.368
