#rank	DIAMOnD_node	p_hyper
1	9606.ENSP00000478570	8.804323935224717e-63
2	9606.ENSP00000325120	3.874678583769172e-61
3	9606.ENSP00000437955	6.0201992851473894e-61
4	9606.ENSP00000219070	6.527877208908809e-61
5	9606.ENSP00000405330	5.913081918169894e-61
6	9606.ENSP00000229239	3.270514837035014e-61
7	9606.ENSP00000349960	1.4330827986154764e-61
8	9606.ENSP00000451828	2.990249926036627e-59
9	9606.ENSP00000288135	1.5430268871888465e-59
10	9606.ENSP00000311032	9.787167229707524e-60
11	9606.ENSP00000263923	2.0591014456932944e-60
12	9606.ENSP00000361405	1.472831712818212e-60
13	9606.ENSP00000260356	4.495137484847376e-61
14	9606.ENSP00000339328	6.236123811943061e-62
15	9606.ENSP00000231004	1.99414860158391e-61
16	9606.ENSP00000361021	2.266305604416791e-61
17	9606.ENSP00000324404	3.526332767103102e-62
18	9606.ENSP00000308938	1.1321560620294732e-62
19	9606.ENSP00000426809	2.016833016231393e-63
20	9606.ENSP00000357705	3.845249210851119e-64
21	9606.ENSP00000302665	2.257936954423562e-64
22	9606.ENSP00000381070	5.998370601437908e-65
23	9606.ENSP00000391826	1.4488870774797678e-65
24	9606.ENSP00000349547	2.6211903042631186e-66
25	9606.ENSP00000309572	1.9353391285259847e-66
26	9606.ENSP00000265171	9.086361628861431e-67
27	9606.ENSP00000330237	2.6258846273521384e-67
28	9606.ENSP00000263735	4.62273986790294e-68
29	9606.ENSP00000385451	2.708020376695664e-68
30	9606.ENSP00000221992	3.794964739257442e-69
31	9606.ENSP00000446007	1.6046337043790566e-69
32	9606.ENSP00000322788	3.1092489105220026e-70
33	9606.ENSP00000418960	1.2444033630352481e-70
34	9606.ENSP00000355124	2.276583263241723e-71
35	9606.ENSP00000452780	9.883402988633174e-72
36	9606.ENSP00000378517	2.1017674025566788e-72
37	9606.ENSP00000363822	1.112364093670188e-72
38	9606.ENSP00000379683	1.730280766359347e-73
39	9606.ENSP00000299855	3.080606106789548e-74
40	9606.ENSP00000379140	2.9758619238281335e-74
41	9606.ENSP00000358022	7.794218912912042e-75
42	9606.ENSP00000386884	1.880412204888547e-75
43	9606.ENSP00000297785	5.157459564776122e-76
44	9606.ENSP00000222390	1.7528525271190744e-76
45	9606.ENSP00000221930	4.208536112813142e-77
46	9606.ENSP00000373487	6.011959158433886e-78
47	9606.ENSP00000233809	2.588164804037369e-78
48	9606.ENSP00000218388	1.5251261989210213e-78
49	9606.ENSP00000314151	4.627018050995735e-79
50	9606.ENSP00000268035	1.674563739394783e-79
51	9606.ENSP00000412237	5.8612151611275955e-80
52	9606.ENSP00000260302	1.4183543275984626e-80
53	9606.ENSP00000354487	5.836423032164129e-81
54	9606.ENSP00000480043	8.681844426448235e-82
55	9606.ENSP00000367608	8.225949333394907e-82
56	9606.ENSP00000356954	1.967123063649665e-82
57	9606.ENSP00000483985	1.6046400456286224e-82
58	9606.ENSP00000360216	2.857236143876069e-83
59	9606.ENSP00000282397	5.9559226375213085e-84
60	9606.ENSP00000262768	2.027144814360413e-84
61	9606.ENSP00000276431	3.436637696246171e-85
62	9606.ENSP00000258149	4.3889561607709514e-85
63	9606.ENSP00000264498	1.6433559817152912e-85
64	9606.ENSP00000327513	3.5012310135617956e-86
65	9606.ENSP00000252809	4.213769441714064e-87
66	9606.ENSP00000225831	1.7180802529881787e-87
67	9606.ENSP00000229135	3.9104344270012476e-88
68	9606.ENSP00000310036	6.748997062793865e-88
69	9606.ENSP00000356694	8.310560597891828e-89
70	9606.ENSP00000379110	2.2358168432076957e-89
71	9606.ENSP00000249075	2.555923804790914e-90
72	9606.ENSP00000457421	7.250585230511262e-91
73	9606.ENSP00000343925	1.1821238833228109e-91
74	9606.ENSP00000267843	3.97914581674348e-92
75	9606.ENSP00000261799	1.1036318424151748e-92
76	9606.ENSP00000312987	1.213074034599008e-92
77	9606.ENSP00000225474	2.9157373694136075e-93
78	9606.ENSP00000296871	6.172999623930418e-94
79	9606.ENSP00000355896	1.9285527930444748e-94
80	9606.ENSP00000308208	1.0211324666429388e-94
81	9606.ENSP00000264832	2.9650518257757006e-95
82	9606.ENSP00000332973	7.652193423788122e-96
83	9606.ENSP00000428340	9.303100794815382e-97
84	9606.ENSP00000441765	8.594931123482121e-98
85	9606.ENSP00000322390	5.9543194297314e-98
86	9606.ENSP00000167586	1.3052044362337921e-98
87	9606.ENSP00000263339	5.055704572788201e-99
88	9606.ENSP00000228280	1.1124621583615593e-99
89	9606.ENSP00000363081	2.480348890925209e-100
90	9606.ENSP00000264036	3.6412311836207044e-101
91	9606.ENSP00000225964	1.4695141003273655e-101
92	9606.ENSP00000261937	4.7462421481107815e-102
93	9606.ENSP00000386559	3.712620644351829e-102
94	9606.ENSP00000346839	9.408844007087315e-103
95	9606.ENSP00000329243	1.8394139341829293e-103
96	9606.ENSP00000380034	1.2259913511084598e-103
97	9606.ENSP00000346032	2.896620599121192e-104
98	9606.ENSP00000368683	9.202709200647601e-105
99	9606.ENSP00000314897	9.851932763571602e-106
100	9606.ENSP00000381775	1.5398747000204304e-106
101	9606.ENSP00000370989	2.3257718880544584e-107
102	9606.ENSP00000398736	2.4845625053634543e-108
103	9606.ENSP00000294728	1.823375061644903e-108
104	9606.ENSP00000351905	4.790768198194323e-109
105	9606.ENSP00000297904	2.9335982352468164e-109
106	9606.ENSP00000294312	2.5686913908755092e-110
107	9606.ENSP00000346508	1.9799197570032815e-110
108	9606.ENSP00000362299	1.007321439016487e-110
109	9606.ENSP00000262160	2.591315869258132e-110
