rank	node	rank_score
1	9606.ENSP00000347942	180.1
2	9606.ENSP00000228872	178.99949999999998
3	9606.ENSP00000323588	177.799
4	9606.ENSP00000351015	176.998
5	9606.ENSP00000344666	176.19850000000002
6	9606.ENSP00000332353	175.2955
7	9606.ENSP00000331327	174.9975
8	9606.ENSP00000256646	173.19650000000001
9	9606.ENSP00000341551	171.897
10	9606.ENSP00000263334	170.696
11	9606.ENSP00000354487	170.294
12	9606.ENSP00000365851	169.493
13	9606.ENSP00000473391	169.29500000000002
14	9606.ENSP00000357206	168.89249999999998
15	9606.ENSP00000369497	168.1935
16	9606.ENSP00000391826	167.9945
17	9606.ENSP00000276925	167.192
18	9606.ENSP00000410294	164.0915
19	9606.ENSP00000426809	163.8905
20	9606.ENSP00000454157	160.1895
21	9606.ENSP00000325120	158.09099999999998
22	9606.ENSP00000242261	156.0855
23	9606.ENSP00000363804	155.786
24	9606.ENSP00000261799	153.288
25	9606.ENSP00000380034	152.685
26	9606.ENSP00000257290	151.9885
27	9606.ENSP00000261254	151.984
28	9606.ENSP00000295600	150.882
29	9606.ENSP00000393312	150.3835
30	9606.ENSP00000297261	149.587
31	9606.ENSP00000381070	144.779
32	9606.ENSP00000267101	144.7775
33	9606.ENSP00000254958	142.983
34	9606.ENSP00000345681	140.9845
35	9606.ENSP00000244745	140.6815
36	9606.ENSP00000228682	140.2765
37	9606.ENSP00000231004	139.3805
38	9606.ENSP00000265441	137.5865
39	9606.ENSP00000168712	136.4875
40	9606.ENSP00000264634	133.281
41	9606.ENSP00000244050	132.07350000000002
42	9606.ENSP00000263388	128.77550000000002
43	9606.ENSP00000262160	127.4615
44	9606.ENSP00000293549	126.27449999999999
45	9606.ENSP00000284523	125.2705
46	9606.ENSP00000262320	122.572
47	9606.ENSP00000302625	118.877
48	9606.ENSP00000266674	118.874
49	9606.ENSP00000245479	116.176
50	9606.ENSP00000229307	115.14949999999999
51	9606.ENSP00000375921	114.97849999999998
52	9606.ENSP00000355718	106.564
53	9606.ENSP00000290167	106.271
54	9606.ENSP00000264498	105.9505
55	9606.ENSP00000363081	104.96900000000001
56	9606.ENSP00000258149	104.88899999999998
57	9606.ENSP00000263923	104.45349999999999
58	9606.ENSP00000332973	104.353
59	9606.ENSP00000334122	103.79
60	9606.ENSP00000288135	103.14650000000002
61	9606.ENSP00000321835	102.3795
62	9606.ENSP00000346879	102.08
63	9606.ENSP00000368104	101.973
64	9606.ENSP00000259915	101.9625
65	9606.ENSP00000358698	101.67150000000001
66	9606.ENSP00000355896	100.161
67	9606.ENSP00000257566	98.678
68	9606.ENSP00000322390	97.35499999999999
69	9606.ENSP00000339824	97.051
70	9606.ENSP00000249075	96.5645
71	9606.ENSP00000263735	95.37
72	9606.ENSP00000245451	90.8655
73	9606.ENSP00000227507	88.824
74	9606.ENSP00000379140	88.643
75	9606.ENSP00000441954	87.95599999999999
76	9606.ENSP00000310036	87.937
77	9606.ENSP00000266744	87.08250000000001
78	9606.ENSP00000295731	85.659
79	9606.ENSP00000390436	84.9605
80	9606.ENSP00000264664	84.56949999999999
81	9606.ENSP00000328181	84.263
82	9606.ENSP00000380093	84.06649999999999
83	9606.ENSP00000325526	83.86800000000001
84	9606.ENSP00000269141	83.336
85	9606.ENSP00000360493	83.241
86	9606.ENSP00000225512	82.758
87	9606.ENSP00000386884	82.24600000000001
88	9606.ENSP00000365280	81.532
89	9606.ENSP00000267843	81.362
90	9606.ENSP00000364524	80.954
91	9606.ENSP00000285018	80.75699999999999
92	9606.ENSP00000294312	77.66749999999999
93	9606.ENSP00000379258	77.54549999999999
94	9606.ENSP00000342307	76.5725
95	9606.ENSP00000265165	74.6375
96	9606.ENSP00000361266	74.275
97	9606.ENSP00000292408	73.3585
98	9606.ENSP00000361107	73.2635
99	9606.ENSP00000371790	73.0595
100	9606.ENSP00000345571	72.59049999999999
101	9606.ENSP00000398632	72.0355
102	9606.ENSP00000341032	71.75750000000001
103	9606.ENSP00000338272	70.4365
104	9606.ENSP00000380379	69.5565
105	9606.ENSP00000267163	69.28
106	9606.ENSP00000233948	69.265
107	9606.ENSP00000297316	68.3555
108	9606.ENSP00000301061	68.152
109	9606.ENSP00000220772	68.144
110	9606.ENSP00000400341	68.048
111	9606.ENSP00000370408	67.26599999999999
112	9606.ENSP00000359319	67.167
113	9606.ENSP00000027335	67.135
114	9606.ENSP00000328169	66.5395
115	9606.ENSP00000262158	64.13250000000001
116	9606.ENSP00000302665	63.629
117	9606.ENSP00000321797	61.56
118	9606.ENSP00000364133	59.8285
119	9606.ENSP00000272164	58.55
120	9606.ENSP00000269216	57.4405
121	9606.ENSP00000228280	57.007999999999996
122	9606.ENSP00000379204	56.745000000000005
123	9606.ENSP00000483985	56.56849999999999
124	9606.ENSP00000356954	55.927499999999995
125	9606.ENSP00000228837	55.554500000000004
126	9606.ENSP00000219070	55.1075
127	9606.ENSP00000290015	54.4525
128	9606.ENSP00000320147	53.7855
129	9606.ENSP00000258411	53.5515
130	9606.ENSP00000324404	53.3865
131	9606.ENSP00000334458	52.830999999999996
132	9606.ENSP00000482581	52.043499999999995
133	9606.ENSP00000351273	51.89149999999999
134	9606.ENSP00000311697	51.6485
135	9606.ENSP00000274625	51.449
136	9606.ENSP00000268035	50.707
137	9606.ENSP00000340677	50.447500000000005
138	9606.ENSP00000370989	50.084
139	9606.ENSP00000457421	49.92100000000001
140	9606.ENSP00000238682	49.834
141	9606.ENSP00000264709	49.2845
142	9606.ENSP00000426653	48.947
143	9606.ENSP00000309913	48.542500000000004
144	9606.ENSP00000351905	47.815
145	9606.ENSP00000358022	47.78
146	9606.ENSP00000257904	47.089999999999996
147	9606.ENSP00000274063	47.0445
148	9606.ENSP00000413720	46.778499999999994
149	9606.ENSP00000250003	46.6335
150	9606.ENSP00000222462	46.542
151	9606.ENSP00000312987	46.5215
152	9606.ENSP00000262904	46.382
153	9606.ENSP00000404100	46.138999999999996
154	9606.ENSP00000265734	45.972
155	9606.ENSP00000368880	45.0745
156	9606.ENSP00000221930	44.7185
157	9606.ENSP00000376436	44.2795
158	9606.ENSP00000293328	44.274
159	9606.ENSP00000384849	42.9735
160	9606.ENSP00000478570	42.419
161	9606.ENSP00000180166	42.138
162	9606.ENSP00000266991	42.0415
163	9606.ENSP00000376943	41.4705
164	9606.ENSP00000247182	40.9385
165	9606.ENSP00000341208	40.871500000000005
166	9606.ENSP00000369375	40.525999999999996
167	9606.ENSP00000286201	40.339999999999996
168	9606.ENSP00000362082	39.1725
169	9606.ENSP00000352516	38.0625
170	9606.ENSP00000371067	37.763
171	9606.ENSP00000327758	37.5345
172	9606.ENSP00000296145	36.132999999999996
173	9606.ENSP00000234091	35.614
174	9606.ENSP00000385824	35.565
175	9606.ENSP00000437621	35.261
176	9606.ENSP00000343925	34.7605
177	9606.ENSP00000262643	34.362
178	9606.ENSP00000372170	33.3305
179	9606.ENSP00000360216	32.854
180	9606.ENSP00000294304	32.327
181	9606.ENSP00000239243	32.13
182	9606.ENSP00000237612	32.052
183	9606.ENSP00000295113	31.227999999999998
184	9606.ENSP00000261769	31.115499999999997
185	9606.ENSP00000356953	30.2505
186	9606.ENSP00000283147	29.7255
187	9606.ENSP00000418960	29.658499999999997
188	9606.ENSP00000379138	29.244
189	9606.ENSP00000345206	29.009500000000003
190	9606.ENSP00000326371	28.7295
191	9606.ENSP00000478319	28.6265
192	9606.ENSP00000277541	28.516499999999997
193	9606.ENSP00000296511	28.049500000000002
194	9606.ENSP00000304169	27.8245
195	9606.ENSP00000328547	27.449
196	9606.ENSP00000282397	27.401999999999997
197	9606.ENSP00000363822	27.346500000000002
198	9606.ENSP00000287139	27.1315
199	9606.ENSP00000288840	26.025
200	9606.ENSP00000369154	24.7235
201	9606.ENSP00000401907	24.122999999999998
202	9606.ENSP00000427514	23.8405
203	9606.ENSP00000441765	23.822499999999998
204	9606.ENSP00000228644	23.122
205	9606.ENSP00000256759	22.02
206	9606.ENSP00000346508	21.420499999999997
207	9606.ENSP00000399324	21.1135
208	9606.ENSP00000222598	19.316
209	9606.ENSP00000263640	18.617
