rank	node	rank_score
1	9606.ENSP00000337691	180.1
2	9606.ENSP00000262948	179.09949999999998
3	9606.ENSP00000339179	176.0985
4	9606.ENSP00000302486	175.398
5	9606.ENSP00000211287	173.599
6	9606.ENSP00000344220	172.49650000000003
7	9606.ENSP00000215659	171.49200000000002
8	9606.ENSP00000466477	171.196
9	9606.ENSP00000178640	170.9945
10	9606.ENSP00000420849	170.794
11	9606.ENSP00000362702	170.6975
12	9606.ENSP00000363389	169.49349999999998
13	9606.ENSP00000362634	167.59300000000002
14	9606.ENSP00000276616	166.5925
15	9606.ENSP00000381535	166.59099999999998
16	9606.ENSP00000310722	165.9915
17	9606.ENSP00000298630	165.2955
18	9606.ENSP00000382544	163.0885
19	9606.ENSP00000356070	162.895
20	9606.ENSP00000375081	162.29000000000002
21	9606.ENSP00000256460	161.7895
22	9606.ENSP00000274643	160.6905
23	9606.ENSP00000333685	160.38899999999998
24	9606.ENSP00000291041	159.4865
25	9606.ENSP00000314067	159.18800000000002
26	9606.ENSP00000394560	156.1875
27	9606.ENSP00000396467	156.087
28	9606.ENSP00000278568	151.3845
29	9606.ENSP00000400312	151.17950000000002
30	9606.ENSP00000340608	149.48600000000002
31	9606.ENSP00000263056	149.385
32	9606.ENSP00000390651	148.882
33	9606.ENSP00000263955	148.581
34	9606.ENSP00000368080	148.08350000000002
35	9606.ENSP00000355966	147.978
36	9606.ENSP00000429022	147.68400000000003
37	9606.ENSP00000379842	146.783
38	9606.ENSP00000484443	145.6825
39	9606.ENSP00000356355	143.4855
40	9606.ENSP00000352157	143.179
41	9606.ENSP00000311713	142.9815
42	9606.ENSP00000468348	142.4805
43	9606.ENSP00000345083	142.38
44	9606.ENSP00000311005	142.297
45	9606.ENSP00000365692	140.677
46	9606.ENSP00000365730	139.67849999999999
47	9606.ENSP00000325748	138.57750000000001
48	9606.ENSP00000379176	138.4765
49	9606.ENSP00000282908	138.37449999999998
50	9606.ENSP00000338673	137.875
51	9606.ENSP00000348278	136.576
52	9606.ENSP00000261891	136.0755
