#rank	DIAMOnD_node	p_hyper
1	9606.ENSP00000275493	3.808634452082605e-38
2	9606.ENSP00000342235	8.45432456384832e-36
3	9606.ENSP00000269571	7.612756767992965e-36
4	9606.ENSP00000309572	9.001777674962964e-36
5	9606.ENSP00000451828	3.432208304758902e-35
6	9606.ENSP00000418915	1.9262976137355378e-35
7	9606.ENSP00000418960	3.613170177159667e-34
8	9606.ENSP00000407586	9.42605610772271e-34
9	9606.ENSP00000295897	4.882620185942778e-34
10	9606.ENSP00000478570	3.3267195145115e-34
11	9606.ENSP00000288135	6.804475459858614e-34
12	9606.ENSP00000265171	5.005410004989982e-34
13	9606.ENSP00000317272	3.6686211664509985e-34
14	9606.ENSP00000302111	1.395877519726464e-34
15	9606.ENSP00000277541	1.6235631393731785e-34
16	9606.ENSP00000261769	1.3108667499905562e-34
17	9606.ENSP00000278616	1.534947164685102e-34
18	9606.ENSP00000426809	7.71549767921792e-35
19	9606.ENSP00000332353	4.605622492497053e-35
20	9606.ENSP00000231790	3.112985360369494e-35
21	9606.ENSP00000257430	1.397022364710681e-35
22	9606.ENSP00000373700	1.3897195758166957e-35
23	9606.ENSP00000349547	7.969729407602281e-36
24	9606.ENSP00000422591	2.40048399851681e-36
25	9606.ENSP00000263923	1.340936905877128e-36
26	9606.ENSP00000410294	8.701712218655922e-37
27	9606.ENSP00000262320	4.174311927527139e-37
28	9606.ENSP00000220772	1.08864126591047e-37
29	9606.ENSP00000263735	3.982063495986777e-38
30	9606.ENSP00000398632	3.197372297888385e-38
31	9606.ENSP00000457421	1.9975295869957005e-38
32	9606.ENSP00000393312	6.900309203902006e-39
33	9606.ENSP00000256646	3.3787974333875333e-39
34	9606.ENSP00000257290	4.473005356478956e-39
35	9606.ENSP00000355896	1.2955846445747445e-39
36	9606.ENSP00000268613	5.506656494428578e-40
37	9606.ENSP00000264634	2.7121369607454385e-40
38	9606.ENSP00000265441	1.4188956012639195e-40
39	9606.ENSP00000027335	5.276900680963851e-41
40	9606.ENSP00000281043	1.6808903944507558e-41
41	9606.ENSP00000264498	8.212314185158882e-42
42	9606.ENSP00000263388	3.367334364374066e-42
43	9606.ENSP00000261799	1.742392317065733e-42
44	9606.ENSP00000267101	5.223919165926501e-43
45	9606.ENSP00000285018	1.1638370928618067e-43
46	9606.ENSP00000391826	7.96535864766893e-44
47	9606.ENSP00000222390	3.32003465891011e-44
48	9606.ENSP00000356899	1.1693518922786243e-44
49	9606.ENSP00000269141	4.917569884887054e-45
50	9606.ENSP00000268603	3.602039882026576e-45
51	9606.ENSP00000331327	1.0717949720898448e-45
52	9606.ENSP00000480132	7.418392202534702e-46
53	9606.ENSP00000325120	2.304041443527709e-46
54	9606.ENSP00000483985	4.719806601549985e-47
55	9606.ENSP00000221992	4.691259163176855e-47
56	9606.ENSP00000302665	1.7847849448343433e-47
57	9606.ENSP00000355124	7.2760146300892e-48
58	9606.ENSP00000405330	5.880437446462342e-48
59	9606.ENSP00000228872	1.7571155348050646e-48
60	9606.ENSP00000354487	5.73125204782628e-49
61	9606.ENSP00000292408	2.8547237313941703e-49
62	9606.ENSP00000369497	7.803584966510625e-50
63	9606.ENSP00000242261	1.7988048175721698e-50
64	9606.ENSP00000361405	1.819937396173219e-50
65	9606.ENSP00000484824	4.1821061342084884e-51
66	9606.ENSP00000363081	1.631402065516487e-51
67	9606.ENSP00000369375	8.42390196974709e-52
68	9606.ENSP00000341032	8.80860968149881e-52
69	9606.ENSP00000254958	2.5706993227137392e-52
70	9606.ENSP00000358698	5.174419733264112e-53
71	9606.ENSP00000284523	2.2300880710512e-53
72	9606.ENSP00000332164	8.844916267578439e-54
73	9606.ENSP00000380034	4.3045403411931115e-54
74	9606.ENSP00000312987	1.867256947588398e-54
75	9606.ENSP00000260227	5.262200328471889e-55
76	9606.ENSP00000386896	1.7096254144098198e-55
77	9606.ENSP00000261349	3.9253181037000266e-56
78	9606.ENSP00000282397	3.5656587826996842e-56
79	9606.ENSP00000290015	9.943378280380388e-57
80	9606.ENSP00000473391	2.741809477063553e-57
81	9606.ENSP00000245479	9.860661076788924e-58
82	9606.ENSP00000221930	2.8532968693153705e-58
83	9606.ENSP00000322390	8.849836655019235e-59
84	9606.ENSP00000225512	1.948262742161226e-59
85	9606.ENSP00000357206	1.0403019056430875e-59
86	9606.ENSP00000454157	2.6616297251197303e-60
87	9606.ENSP00000379138	1.2377294136863158e-60
88	9606.ENSP00000297785	3.609498232112831e-61
89	9606.ENSP00000379140	9.357742064497538e-62
90	9606.ENSP00000290167	2.1482591002247155e-62
91	9606.ENSP00000297316	1.002279232397136e-62
92	9606.ENSP00000380379	2.689560286743657e-63
93	9606.ENSP00000379204	6.291041053452918e-64
94	9606.ENSP00000264664	1.6611046213598295e-64
95	9606.ENSP00000267843	1.050579644205627e-64
96	9606.ENSP00000310036	2.82612182930981e-65
97	9606.ENSP00000233948	5.237360262383849e-66
