#rank	DIAMOnD_node	p_hyper
1	9606.ENSP00000261707	3.0001873781692917e-56
2	9606.ENSP00000437737	4.140795409542779e-52
3	9606.ENSP00000270349	2.5120462747996252e-51
4	9606.ENSP00000376776	2.052499858083212e-50
5	9606.ENSP00000356205	9.63174415844364e-51
6	9606.ENSP00000370571	1.5707208311392532e-51
7	9606.ENSP00000337949	3.626718972824398e-52
8	9606.ENSP00000354511	4.0676803903892282e-53
9	9606.ENSP00000298472	5.202774036049853e-54
10	9606.ENSP00000316244	5.5103590441369895e-55
11	9606.ENSP00000321106	6.204860121327961e-55
12	9606.ENSP00000347754	4.085372632758758e-56
13	9606.ENSP00000250018	2.978553506147967e-57
14	9606.ENSP00000276198	2.5180423736012606e-58
15	9606.ENSP00000379818	1.2130236441688073e-58
16	9606.ENSP00000358513	2.664608093194624e-59
17	9606.ENSP00000477455	1.5429083024984567e-59
18	9606.ENSP00000407546	9.06888260259473e-61
19	9606.ENSP00000378492	3.50185514338645e-60
20	9606.ENSP00000280155	1.838074917108289e-61
21	9606.ENSP00000293330	6.773240944914587e-61
22	9606.ENSP00000265643	1.9598699715381752e-60
23	9606.ENSP00000366233	1.6804335423281775e-59
24	9606.ENSP00000356213	3.8404150298109026e-60
25	9606.ENSP00000459962	5.437187264362529e-61
26	9606.ENSP00000461007	3.938078147941146e-62
27	9606.ENSP00000340943	3.5821659654671217e-63
28	9606.ENSP00000363748	1.568160377554857e-64
29	9606.ENSP00000258400	3.152686286173771e-64
30	9606.ENSP00000380247	1.960027603433037e-65
31	9606.ENSP00000256010	1.1838044173806133e-66
32	9606.ENSP00000331746	1.960400062896656e-67
33	9606.ENSP00000324248	2.7756407972239092e-68
34	9606.ENSP00000381333	3.5789722766945e-69
35	9606.ENSP00000303522	3.9777257175065295e-69
36	9606.ENSP00000234961	3.2829769660421667e-69
37	9606.ENSP00000324270	1.361993016587885e-69
38	9606.ENSP00000306138	2.4346163565351153e-70
39	9606.ENSP00000428994	1.3249845123541979e-70
40	9606.ENSP00000350928	5.22988112837115e-71
41	9606.ENSP00000344173	4.0075593460016107e-72
42	9606.ENSP00000340684	3.919265106126771e-73
43	9606.ENSP00000306129	3.189581016692818e-73
44	9606.ENSP00000354896	5.3384746642461164e-74
45	9606.ENSP00000299178	5.068052931831351e-74
46	9606.ENSP00000354652	3.1068619939478687e-75
47	9606.ENSP00000263160	8.387537308457467e-74
48	9606.ENSP00000409378	1.1413425618991837e-74
49	9606.ENSP00000176183	9.140457520530142e-74
50	9606.ENSP00000440556	1.362967851283666e-73
51	9606.ENSP00000399745	1.4108996617816194e-74
52	9606.ENSP00000357461	1.6245812698872915e-75
53	9606.ENSP00000332591	6.913769597646083e-76
54	9606.ENSP00000350348	4.961044860474871e-76
55	9606.ENSP00000355316	7.731578394075312e-77
56	9606.ENSP00000386069	5.32696027763748e-78
57	9606.ENSP00000260191	1.184108893466015e-78
58	9606.ENSP00000368766	8.914436379575236e-78
59	9606.ENSP00000358301	1.6009892048166524e-78
60	9606.ENSP00000329093	3.8372799126108844e-78
61	9606.ENSP00000277120	1.5138468771587956e-78
62	9606.ENSP00000305372	2.760108361212668e-79
63	9606.ENSP00000385026	4.308419091738772e-80
64	9606.ENSP00000296526	3.0139252573672496e-80
65	9606.ENSP00000480012	5.936899082035388e-81
66	9606.ENSP00000358525	3.142150825584562e-81
67	9606.ENSP00000367309	6.894729113647556e-82
68	9606.ENSP00000254079	4.5633044214511376e-82
69	9606.ENSP00000355155	1.971901689762474e-82
70	9606.ENSP00000421828	1.805296313001595e-82
71	9606.ENSP00000393097	7.66273449350177e-83
72	9606.ENSP00000255380	3.171677039009953e-82
73	9606.ENSP00000360608	2.3261879675546486e-82
74	9606.ENSP00000306490	7.277566943366354e-83
75	9606.ENSP00000216200	2.05770644125374e-83
76	9606.ENSP00000263269	2.6576815225292515e-84
77	9606.ENSP00000278379	1.5433922919412196e-84
78	9606.ENSP00000262209	8.380721834240453e-85
79	9606.ENSP00000308725	1.6661480028590046e-85
80	9606.ENSP00000481554	7.562291253573078e-85
81	9606.ENSP00000363229	1.2231242599262425e-85
82	9606.ENSP00000289957	1.4144504761839926e-86
83	9606.ENSP00000217420	1.6703254593744838e-86
84	9606.ENSP00000259455	4.814139579963377e-87
85	9606.ENSP00000403644	4.6224642880644594e-88
86	9606.ENSP00000254976	8.273793027746604e-88
87	9606.ENSP00000397026	1.705732625536383e-88
88	9606.ENSP00000296777	3.162480089301871e-89
89	9606.ENSP00000262895	2.3248548057094246e-89
90	9606.ENSP00000387699	8.570323862850393e-90
91	9606.ENSP00000369960	4.424771759926886e-91
92	9606.ENSP00000282499	8.373044063214918e-90
93	9606.ENSP00000335544	2.1499183652837423e-90
94	9606.ENSP00000397181	3.1682968508530954e-91
95	9606.ENSP00000477437	2.0528200994185748e-92
96	9606.ENSP00000274368	6.833941114163466e-92
97	9606.ENSP00000316909	1.361679629014904e-92
98	9606.ENSP00000293190	1.284589864590286e-92
99	9606.ENSP00000274547	1.0255257959191144e-92
100	9606.ENSP00000263233	3.620399205654734e-93
