#rank	DIAMOnD_node	p_hyper
1	9606.ENSP00000227507	3.3378085699521297e-53
2	9606.ENSP00000349960	2.1146018560593018e-50
3	9606.ENSP00000356438	6.856094571542476e-51
4	9606.ENSP00000229239	6.834565604535147e-50
5	9606.ENSP00000325120	4.132837119023144e-49
6	9606.ENSP00000478570	4.132423204871905e-49
7	9606.ENSP00000296511	1.3584666463440487e-49
8	9606.ENSP00000275493	4.557679049558711e-50
9	9606.ENSP00000451828	4.628440997210112e-50
10	9606.ENSP00000405330	2.1821440203231205e-50
11	9606.ENSP00000219070	9.906053515409727e-51
12	9606.ENSP00000264657	1.083093281014318e-49
13	9606.ENSP00000288135	3.290213034636846e-50
14	9606.ENSP00000339328	7.95996633529389e-51
15	9606.ENSP00000263923	4.2129913925553234e-51
16	9606.ENSP00000260227	3.1783931217578197e-51
17	9606.ENSP00000437955	1.2047070807970196e-51
18	9606.ENSP00000221992	1.2152563457925526e-52
19	9606.ENSP00000260356	6.107435943465435e-53
20	9606.ENSP00000355124	1.0599820872523953e-53
21	9606.ENSP00000418960	5.053292669402847e-53
22	9606.ENSP00000357705	3.8777296155294787e-53
23	9606.ENSP00000452780	1.0563122467115576e-53
24	9606.ENSP00000263735	2.064490441923509e-54
25	9606.ENSP00000385451	3.2547445753703662e-55
26	9606.ENSP00000228872	2.527442109262451e-55
27	9606.ENSP00000361405	1.2473856583351503e-55
28	9606.ENSP00000308938	3.691958609953584e-56
29	9606.ENSP00000324404	1.4013153088626085e-56
30	9606.ENSP00000309572	3.460128837928778e-57
31	9606.ENSP00000330237	6.558174954800241e-58
32	9606.ENSP00000379683	1.058118224273057e-58
33	9606.ENSP00000378517	1.9601489427887375e-59
34	9606.ENSP00000426809	4.180329468339819e-60
35	9606.ENSP00000373487	8.899709033184457e-61
36	9606.ENSP00000446007	1.899317428027453e-61
37	9606.ENSP00000381070	4.353822710724818e-62
38	9606.ENSP00000322788	2.7455477887587242e-62
39	9606.ENSP00000314151	9.233007959669182e-63
40	9606.ENSP00000233809	2.907817223222399e-63
41	9606.ENSP00000391826	6.393048813541841e-64
42	9606.ENSP00000363822	1.5147435264846365e-64
43	9606.ENSP00000412237	8.505610552943654e-65
44	9606.ENSP00000299855	3.5262922009884416e-65
45	9606.ENSP00000252809	1.4388803548964631e-65
46	9606.ENSP00000218388	3.1254778589267994e-66
47	9606.ENSP00000329243	8.210936141796078e-67
48	9606.ENSP00000367608	1.8895379413247415e-67
49	9606.ENSP00000231004	3.639088976571323e-68
50	9606.ENSP00000360216	6.007358033219264e-68
51	9606.ENSP00000258149	1.6350577240787437e-68
52	9606.ENSP00000386884	6.180684755488749e-69
53	9606.ENSP00000311032	3.407866190515772e-69
54	9606.ENSP00000302665	7.607347587799753e-70
55	9606.ENSP00000282397	1.2888376140939697e-70
56	9606.ENSP00000222390	3.8370021784670004e-71
57	9606.ENSP00000276431	4.751463219550026e-72
58	9606.ENSP00000480043	6.868007165681523e-73
59	9606.ENSP00000262768	7.700662817207185e-73
60	9606.ENSP00000268035	2.503095310745892e-73
61	9606.ENSP00000221930	4.7456593806801416e-74
62	9606.ENSP00000379140	7.853116863902492e-75
63	9606.ENSP00000358022	1.363711953953636e-75
64	9606.ENSP00000229135	3.1508023862674096e-76
65	9606.ENSP00000225831	5.154511852580347e-76
66	9606.ENSP00000260302	1.2304494109380043e-76
67	9606.ENSP00000310036	2.5890372966596705e-77
68	9606.ENSP00000483985	7.817270027928313e-78
69	9606.ENSP00000261799	3.48227885186383e-78
70	9606.ENSP00000167586	4.9127478129808426e-79
71	9606.ENSP00000261937	3.080435178313671e-79
72	9606.ENSP00000354487	8.879627776749149e-80
73	9606.ENSP00000356694	1.8884482222324475e-80
74	9606.ENSP00000308208	3.790899705046533e-81
75	9606.ENSP00000327513	5.960886797789236e-82
76	9606.ENSP00000379110	7.427650490562391e-83
77	9606.ENSP00000267843	1.0144999658811022e-83
78	9606.ENSP00000356954	4.040219696050316e-84
79	9606.ENSP00000225474	5.9487745873235e-85
80	9606.ENSP00000322390	1.3220163674065947e-85
81	9606.ENSP00000428340	2.8880357118589253e-86
82	9606.ENSP00000228280	4.968482411952024e-87
83	9606.ENSP00000296871	2.682138010097476e-87
84	9606.ENSP00000317272	5.415157032180481e-88
85	9606.ENSP00000457421	1.0027172237884301e-88
86	9606.ENSP00000249075	1.172113088177754e-89
87	9606.ENSP00000386559	5.791451859967585e-90
88	9606.ENSP00000264498	1.2696656671914708e-90
89	9606.ENSP00000297904	1.7612840630570934e-90
90	9606.ENSP00000370989	3.924506314166045e-91
91	9606.ENSP00000314897	1.2327218797812525e-91
92	9606.ENSP00000264832	3.89653639520884e-92
93	9606.ENSP00000264036	4.196180903884864e-93
94	9606.ENSP00000230990	2.0522046665553667e-93
95	9606.ENSP00000363081	2.772662132475131e-94
96	9606.ENSP00000263339	3.8478006611518284e-95
97	9606.ENSP00000441765	3.5338324311668023e-96
98	9606.ENSP00000355896	1.5446520554083116e-96
99	9606.ENSP00000370542	5.501243449674275e-97
100	9606.ENSP00000294489	1.6172573402704073e-97
101	9606.ENSP00000368683	4.18434522183258e-98
102	9606.ENSP00000381775	4.523056842275782e-98
103	9606.ENSP00000451040	7.604558098898039e-99
104	9606.ENSP00000264563	6.268279562238422e-100
105	9606.ENSP00000294312	1.1373536178634008e-100
106	9606.ENSP00000311127	1.0980626294994608e-101
107	9606.ENSP00000346508	1.567527418978318e-102
108	9606.ENSP00000244869	2.4033951614696495e-102
109	9606.ENSP00000330382	1.8134226482450276e-101
110	9606.ENSP00000398736	1.960593249514254e-102
111	9606.ENSP00000296027	1.9484275750663412e-103
112	9606.ENSP00000319635	6.047834027998047e-104
113	9606.ENSP00000294728	2.0971534557588277e-104
114	9606.ENSP00000474412	5.006016675437839e-105
115	9606.ENSP00000369375	9.31095024530196e-106
116	9606.ENSP00000241261	4.1366328254219816e-106
117	9606.ENSP00000334145	2.4820355879177167e-106
118	9606.ENSP00000351807	2.0973154648079845e-105
119	9606.ENSP00000220809	5.086391693183817e-106
120	9606.ENSP00000362299	8.149414031917375e-107
121	9606.ENSP00000265171	3.64257947958901e-107
122	9606.ENSP00000380034	5.7360703600856735e-108
123	9606.ENSP00000215743	5.8420756028631e-109
124	9606.ENSP00000297350	2.486788777336592e-109
125	9606.ENSP00000168712	3.2437290525110055e-110
126	9606.ENSP00000238682	1.0910449591242266e-110
127	9606.ENSP00000422464	1.3355420125071512e-111
128	9606.ENSP00000225964	4.402632894853923e-112
129	9606.ENSP00000351905	1.181171415628513e-112
130	9606.ENSP00000254958	1.602613909797045e-112
131	9606.ENSP00000265441	3.081983530449974e-113
132	9606.ENSP00000226218	4.312322883574297e-114
133	9606.ENSP00000379350	1.5291361832232713e-114
134	9606.ENSP00000172229	7.645300304248887e-115
135	9606.ENSP00000277541	1.8014515311192434e-115
136	9606.ENSP00000226730	3.293076991369677e-116
137	9606.ENSP00000231449	5.930753570934055e-117
138	9606.ENSP00000252723	1.1828842542938888e-117
139	9606.ENSP00000341189	1.6013990053827924e-118
140	9606.ENSP00000347665	2.3768351936781615e-119
141	9606.ENSP00000284240	3.83841201256463e-120
142	9606.ENSP00000262160	1.2117214588445941e-120
143	9606.ENSP00000312652	1.0116386874025098e-120
144	9606.ENSP00000357206	2.4479845695557795e-121
145	9606.ENSP00000344115	6.233414728981565e-122
146	9606.ENSP00000480791	8.911685672272505e-123
147	9606.ENSP00000331736	2.7103475175467605e-123
148	9606.ENSP00000339191	7.963028884212491e-124
149	9606.ENSP00000458585	9.62877775431417e-125
150	9606.ENSP00000305651	1.3362987214603338e-125
151	9606.ENSP00000336762	1.988575075462407e-125
152	9606.ENSP00000304915	9.388289146046416e-126
153	9606.ENSP00000228837	1.4515716451524783e-126
154	9606.ENSP00000471477	3.855932818380339e-127
155	9606.ENSP00000236826	3.172910077015062e-128
156	9606.ENSP00000371790	1.4132263091668844e-128
157	9606.ENSP00000275525	2.925754668236177e-129
158	9606.ENSP00000332973	1.9529481403391758e-129
159	9606.ENSP00000344192	1.6534819087020643e-129
160	9606.ENSP00000219271	8.617349986171758e-130
161	9606.ENSP00000346839	1.1768719859676588e-129
162	9606.ENSP00000427279	2.5038918038352267e-130
163	9606.ENSP00000362108	2.8384088029989467e-131
164	9606.ENSP00000369071	1.890080008461515e-131
165	9606.ENSP00000265077	4.4032455104142236e-132
166	9606.ENSP00000239938	3.919553790866327e-132
167	9606.ENSP00000357255	2.162630511398172e-132
168	9606.ENSP00000231061	2.479055109783088e-133
169	9606.ENSP00000264634	1.2417942994150263e-133
170	9606.ENSP00000296585	1.1265885077428935e-134
171	9606.ENSP00000261023	1.0161876407751348e-134
172	9606.ENSP00000306245	2.1670461648889873e-135
173	9606.ENSP00000250092	4.648426754622471e-136
174	9606.ENSP00000162749	6.8510455344892e-137
175	9606.ENSP00000296870	1.1551088664575672e-137
176	9606.ENSP00000360493	2.13245479921489e-138
177	9606.ENSP00000452786	8.458737066608264e-139
178	9606.ENSP00000355330	7.21635402611628e-139
179	9606.ENSP00000262158	2.6462807412672247e-139
180	9606.ENSP00000280357	2.0812376920794892e-139
181	9606.ENSP00000297494	3.4411459546611636e-140
182	9606.ENSP00000358525	3.0497766205015352e-140
183	9606.ENSP00000477908	3.356353921220613e-141
184	9606.ENSP00000260229	3.1379766984883475e-141
185	9606.ENSP00000441691	5.0721974544091685e-142
186	9606.ENSP00000347379	9.48516465824687e-143
187	9606.ENSP00000011653	8.987953249950711e-143
188	9606.ENSP00000364133	2.6286108359631903e-143
189	9606.ENSP00000361021	1.483261513159133e-143
190	9606.ENSP00000006053	1.5018295897971608e-144
191	9606.ENSP00000305422	7.807023399788617e-145
192	9606.ENSP00000305988	3.468372523594218e-144
193	9606.ENSP00000286301	1.305535093003088e-144
194	9606.ENSP00000027335	2.9503867961416187e-145
195	9606.ENSP00000257770	4.689697242092731e-146
196	9606.ENSP00000346032	1.2375248656530928e-146
197	9606.ENSP00000354394	1.2584524949072307e-146
198	9606.ENSP00000298556	2.4312417943335831e-147
199	9606.ENSP00000282091	8.632617840038533e-148
200	9606.ENSP00000411355	2.2532527114849376e-148
