rank	node	rank_score
1	9606.ENSP00000276449	179.7
2	9606.ENSP00000268053	179.599
3	9606.ENSP00000358421	178.19850000000002
4	9606.ENSP00000325120	177.3995
5	9606.ENSP00000356162	176.598
6	9606.ENSP00000368253	174.9975
7	9606.ENSP00000294954	174.897
8	9606.ENSP00000221496	173.49650000000003
9	9606.ENSP00000276414	172.89600000000002
10	9606.ENSP00000369017	172.0955
11	9606.ENSP00000384708	171.695
12	9606.ENSP00000362690	170.09449999999998
13	9606.ENSP00000466799	169.394
14	9606.ENSP00000369816	167.0915
15	9606.ENSP00000226413	166.1925
16	9606.ENSP00000384092	164.493
17	9606.ENSP00000243786	164.392
18	9606.ENSP00000355995	162.59099999999998
19	9606.ENSP00000325822	161.8935
20	9606.ENSP00000364412	161.79000000000002
21	9606.ENSP00000367942	161.7875
22	9606.ENSP00000256759	160.6835
23	9606.ENSP00000252677	159.385
24	9606.ENSP00000445122	159.1895
25	9606.ENSP00000333188	157.1865
26	9606.ENSP00000292427	156.5905
27	9606.ENSP00000316786	155.7885
28	9606.ENSP00000477587	155.28699999999998
29	9606.ENSP00000482704	154.388
30	9606.ENSP00000295228	154.0825
31	9606.ENSP00000257863	153.28400000000002
32	9606.ENSP00000274192	152.98600000000002
33	9606.ENSP00000371711	152.5845
34	9606.ENSP00000242208	152.382
35	9606.ENSP00000408860	151.0855
36	9606.ENSP00000302665	150.283
37	9606.ENSP00000290167	147.6815
38	9606.ENSP00000333097	146.1805
39	9606.ENSP00000245479	145.581
40	9606.ENSP00000331327	143.68
41	9606.ENSP00000334458	142.9795
42	9606.ENSP00000380281	142.97750000000002
43	9606.ENSP00000391826	141.778
44	9606.ENSP00000333821	141.579
45	9606.ENSP00000261693	140.98899999999998
46	9606.ENSP00000266991	140.87849999999997
47	9606.ENSP00000234371	140.074
48	9606.ENSP00000226444	139.3765
49	9606.ENSP00000380432	137.876
50	9606.ENSP00000264228	136.477
51	9606.ENSP00000231509	135.77550000000002
52	9606.ENSP00000275525	133.872
53	9606.ENSP00000222002	133.475
54	9606.ENSP00000483110	133.17350000000002
55	9606.ENSP00000268035	133.0745
56	9606.ENSP00000276571	132.273
57	9606.ENSP00000482954	132.27249999999998
58	9606.ENSP00000337915	127.57150000000001
59	9606.ENSP00000440864	127.1695
60	9606.ENSP00000350815	126.5705
61	9606.ENSP00000478561	126.07000000000001
62	9606.ENSP00000369050	125.87100000000001
63	9606.ENSP00000217386	125.569
64	9606.ENSP00000272190	123.6685
65	9606.ENSP00000356438	122.468
66	9606.ENSP00000287820	120.1665
67	9606.ENSP00000447173	112.4595
68	9606.ENSP00000228606	111.16
69	9606.ENSP00000389814	103.667
70	9606.ENSP00000369927	94.167
71	9606.ENSP00000379563	93.9675
72	9606.ENSP00000385523	93.647
73	9606.ENSP00000258415	92.466
74	9606.ENSP00000257555	92.34549999999999
75	9606.ENSP00000447149	83.259
76	9606.ENSP00000301645	78.8605
77	9606.ENSP00000199936	78.46549999999999
78	9606.ENSP00000222982	77.765
79	9606.ENSP00000217971	77.4645
80	9606.ENSP00000324270	73.964
81	9606.ENSP00000324648	68.9585
82	9606.ENSP00000360372	67.85650000000001
83	9606.ENSP00000201586	67.662
84	9606.ENSP00000254521	67.3615
85	9606.ENSP00000369814	66.863
86	9606.ENSP00000480571	66.85799999999999
