rank	node	rank_score
1	9606.ENSP00000314151	179.7995
2	9606.ENSP00000325120	176.196
3	9606.ENSP00000260227	168.9925
4	9606.ENSP00000370473	166.3985
5	9606.ENSP00000244050	163.192
6	9606.ENSP00000343925	158.399
7	9606.ENSP00000349547	157.9
8	9606.ENSP00000221992	154.99349999999998
9	9606.ENSP00000288135	152.1855
10	9606.ENSP00000478570	143.629
11	9606.ENSP00000219070	141.8905
12	9606.ENSP00000322788	133.294
13	9606.ENSP00000426809	132.685
14	9606.ENSP00000263735	129.9915
15	9606.ENSP00000356438	127.1845
16	9606.ENSP00000484824	124.5875
17	9606.ENSP00000398632	124.16199999999999
18	9606.ENSP00000372221	123.49300000000001
19	9606.ENSP00000355124	123.38050000000001
20	9606.ENSP00000329243	116.77000000000001
21	9606.ENSP00000299855	116.68400000000001
22	9606.ENSP00000357705	116.28699999999999
23	9606.ENSP00000379097	115.577
24	9606.ENSP00000405330	112.601
25	9606.ENSP00000363822	110.27649999999998
26	9606.ENSP00000354487	109.77550000000001
27	9606.ENSP00000227507	107.0205
28	9606.ENSP00000391826	106.7885
29	9606.ENSP00000266085	106.5945
30	9606.ENSP00000222390	103.68199999999999
31	9606.ENSP00000267843	102.57249999999999
32	9606.ENSP00000373487	102.08250000000001
33	9606.ENSP00000361850	101.49
34	9606.ENSP00000221930	100.9835
35	9606.ENSP00000223095	100.07950000000001
36	9606.ENSP00000242261	99.6775
37	9606.ENSP00000381070	99.378
38	9606.ENSP00000483985	98.9745
39	9606.ENSP00000218388	96.688
40	9606.ENSP00000378517	95.463
41	9606.ENSP00000339328	94.58099999999999
42	9606.ENSP00000361405	94.5475
43	9606.ENSP00000269141	89.8665
44	9606.ENSP00000306512	88.34549999999999
45	9606.ENSP00000310036	87.267
46	9606.ENSP00000355896	85.865
47	9606.ENSP00000449404	85.5675
48	9606.ENSP00000264036	85.3595
49	9606.ENSP00000167586	84.924
50	9606.ENSP00000233809	84.8815
51	9606.ENSP00000386884	84.872
52	9606.ENSP00000308208	84.7705
53	9606.ENSP00000379138	84.6735
54	9606.ENSP00000264634	82.3715
55	9606.ENSP00000480043	82.274
56	9606.ENSP00000379110	81.873
57	9606.ENSP00000262768	81.689
58	9606.ENSP00000341551	80.1585
59	9606.ENSP00000441765	79.966
60	9606.ENSP00000294489	79.627
61	9606.ENSP00000231004	79.268
62	9606.ENSP00000331358	78.798
63	9606.ENSP00000380034	77.769
64	9606.ENSP00000260302	76.9625
65	9606.ENSP00000228872	76.397
66	9606.ENSP00000267101	76.376
67	9606.ENSP00000362299	76.0505
68	9606.ENSP00000384849	75.386
69	9606.ENSP00000305988	74.53450000000001
70	9606.ENSP00000370542	73.6655
71	9606.ENSP00000261769	73.113
72	9606.ENSP00000252242	72.89099999999999
73	9606.ENSP00000385451	72.7865
74	9606.ENSP00000379140	72.5645
75	9606.ENSP00000356954	72.455
76	9606.ENSP00000457421	71.65299999999999
77	9606.ENSP00000027335	71.32849999999999
78	9606.ENSP00000309572	70.18299999999999
79	9606.ENSP00000386896	69.0605
80	9606.ENSP00000362108	68.681
81	9606.ENSP00000260356	68.479
82	9606.ENSP00000369071	68.34349999999999
83	9606.ENSP00000282397	67.771
84	9606.ENSP00000369375	66.8575
