rank	node	rank_score
1	9606.ENSP00000337691	180.1
2	9606.ENSP00000166244	176.898
3	9606.ENSP00000262948	176.799
4	9606.ENSP00000383234	174.79850000000002
5	9606.ENSP00000311005	174.6995
6	9606.ENSP00000304283	173.89600000000002
7	9606.ENSP00000215659	172.4925
8	9606.ENSP00000362222	169.69650000000001
9	9606.ENSP00000211287	167.89000000000001
10	9606.ENSP00000155926	167.5955
11	9606.ENSP00000178640	167.394
12	9606.ENSP00000302486	165.79149999999998
13	9606.ENSP00000362139	165.4905
14	9606.ENSP00000420849	165.1885
15	9606.ENSP00000261845	165.0975
16	9606.ENSP00000270112	163.7935
17	9606.ENSP00000333685	163.6815
18	9606.ENSP00000281092	163.392
19	9606.ENSP00000312150	160.6945
20	9606.ENSP00000382544	156.7845
21	9606.ENSP00000370912	156.097
22	9606.ENSP00000296474	153.6805
23	9606.ENSP00000331504	152.385
24	9606.ENSP00000339179	151.882
25	9606.ENSP00000362634	151.57999999999998
26	9606.ENSP00000442460	148.3765
27	9606.ENSP00000350224	145.987
28	9606.ENSP00000466477	145.277
29	9606.ENSP00000433427	144.692
30	9606.ENSP00000375081	144.076
31	9606.ENSP00000332118	141.8835
32	9606.ENSP00000364860	139.689
33	9606.ENSP00000217188	137.0785
34	9606.ENSP00000363571	136.4865
35	9606.ENSP00000337451	135.278
36	9606.ENSP00000264316	135.095
37	9606.ENSP00000397050	134.4895
38	9606.ENSP00000171887	133.693
39	9606.ENSP00000365692	133.074
40	9606.ENSP00000362608	131.872
41	9606.ENSP00000358309	130.783
42	9606.ENSP00000301037	129.27100000000002
43	9606.ENSP00000363763	126.96
44	9606.ENSP00000275815	126.561
45	9606.ENSP00000327255	125.59099999999998
46	9606.ENSP00000281821	124.55850000000001
47	9606.ENSP00000301178	123.8655
48	9606.ENSP00000381097	123.157
49	9606.ENSP00000348461	122.70349999999999
50	9606.ENSP00000331748	121.4435
51	9606.ENSP00000350896	120.85650000000001
52	9606.ENSP00000217233	120.2665
53	9606.ENSP00000480763	120.054
54	9606.ENSP00000337797	119.1685
55	9606.ENSP00000373700	118.06700000000001
56	9606.ENSP00000229795	117.36449999999999
57	9606.ENSP00000373702	115.3875
58	9606.ENSP00000353824	115.36399999999999
59	9606.ENSP00000215832	114.9635
60	9606.ENSP00000309548	112.98800000000001
61	9606.ENSP00000319756	112.39500000000001
62	9606.ENSP00000351209	111.6425
63	9606.ENSP00000314499	111.069
64	9606.ENSP00000317272	108.5595
65	9606.ENSP00000259089	108.542
66	9606.ENSP00000312143	108.1905
67	9606.ENSP00000308576	105.3845
68	9606.ENSP00000351475	104.8625
69	9606.ENSP00000417659	103.58600000000001
70	9606.ENSP00000220507	101.17999999999999
71	9606.ENSP00000462468	101.144
