rank	node	rank_score
1	9606.ENSP00000386647	179.8
2	9606.ENSP00000324775	178.29850000000002
3	9606.ENSP00000304783	177.599
4	9606.ENSP00000358430	176.998
5	9606.ENSP00000387100	175.29749999999999
6	9606.ENSP00000382670	174.7965
7	9606.ENSP00000348521	174.6995
8	9606.ENSP00000353346	173.497
9	9606.ENSP00000401513	173.39600000000002
10	9606.ENSP00000297784	171.0955
11	9606.ENSP00000300591	171.095
12	9606.ENSP00000373610	168.894
13	9606.ENSP00000291532	166.6915
14	9606.ENSP00000384312	166.592
15	9606.ENSP00000386331	165.7825
16	9606.ENSP00000323264	165.3905
17	9606.ENSP00000345667	164.89249999999998
18	9606.ENSP00000329158	164.7945
19	9606.ENSP00000265715	164.5935
20	9606.ENSP00000339587	163.891
21	9606.ENSP00000230732	162.09300000000002
22	9606.ENSP00000382323	161.9885
23	9606.ENSP00000367214	160.789
24	9606.ENSP00000466561	159.5895
25	9606.ENSP00000477949	159.388
26	9606.ENSP00000319254	159.18699999999998
27	9606.ENSP00000400895	157.09
28	9606.ENSP00000381768	157.0875
29	9606.ENSP00000376543	155.7865
30	9606.ENSP00000005226	155.686
31	9606.ENSP00000262916	153.5855
32	9606.ENSP00000305742	152.98499999999999
33	9606.ENSP00000354623	151.7845
34	9606.ENSP00000368808	151.484
35	9606.ENSP00000480489	149.3835
36	9606.ENSP00000205890	149.283
37	9606.ENSP00000362296	148.0815
38	9606.ENSP00000363840	146.982
39	9606.ENSP00000351732	145.68099999999998
40	9606.ENSP00000226760	145.1805
41	9606.ENSP00000283228	144.48
42	9606.ENSP00000358994	143.0795
43	9606.ENSP00000379862	141.579
44	9606.ENSP00000384582	141.0785
45	9606.ENSP00000385510	140.377
46	9606.ENSP00000294288	139.878
47	9606.ENSP00000265944	139.57750000000001
48	9606.ENSP00000482885	137.7765
49	9606.ENSP00000360312	136.676
50	9606.ENSP00000480279	136.0755
51	9606.ENSP00000250699	135.175
52	9606.ENSP00000258930	134.1745
53	9606.ENSP00000251808	132.77249999999998
54	9606.ENSP00000424711	131.4735
55	9606.ENSP00000410083	131.374
56	9606.ENSP00000302216	130.073
57	9606.ENSP00000393392	130.07150000000001
58	9606.ENSP00000305941	129.772
59	9606.ENSP00000470298	128.071
60	9606.ENSP00000482957	127.37
61	9606.ENSP00000435585	126.0705
62	9606.ENSP00000432770	125.06949999999999
63	9606.ENSP00000242104	123.96900000000001
64	9606.ENSP00000381565	123.1685
65	9606.ENSP00000337255	123.06800000000001
66	9606.ENSP00000376250	121.5675
67	9606.ENSP00000321987	120.667
68	9606.ENSP00000484343	119.7665
69	9606.ENSP00000262873	118.86599999999999
70	9606.ENSP00000367950	117.96549999999999
71	9606.ENSP00000334665	116.965
72	9606.ENSP00000316909	116.2645
73	9606.ENSP00000281172	115.0635
74	9606.ENSP00000185206	113.86300000000001
75	9606.ENSP00000223208	113.46399999999998
76	9606.ENSP00000219599	112.5625
77	9606.ENSP00000312663	111.9615
78	9606.ENSP00000375849	111.16199999999999
79	9606.ENSP00000303908	109.561
80	9606.ENSP00000288235	108.3605
81	9606.ENSP00000353414	108.05900000000001
82	9606.ENSP00000352834	107.7595
83	9606.ENSP00000339115	106.05850000000001
84	9606.ENSP00000386213	105.458
85	9606.ENSP00000384136	104.75999999999999
86	9606.ENSP00000257627	103.5575
87	9606.ENSP00000386840	101.857
88	9606.ENSP00000439182	101.2535
89	9606.ENSP00000371798	100.854
90	9606.ENSP00000423366	99.15299999999999
91	9606.ENSP00000458162	98.55199999999999
92	9606.ENSP00000290332	98.0565
