rank	node	rank_score
1	9606.ENSP00000261707	179.9
2	9606.ENSP00000437737	179.3995
3	9606.ENSP00000414303	177.699
4	9606.ENSP00000278379	177.0985
5	9606.ENSP00000379818	176.6975
6	9606.ENSP00000370571	176.298
7	9606.ENSP00000298472	174.19650000000001
8	9606.ENSP00000477455	174.097
9	9606.ENSP00000354859	172.39600000000002
10	9606.ENSP00000270349	171.895
11	9606.ENSP00000354511	171.0955
12	9606.ENSP00000376776	169.6945
13	9606.ENSP00000321106	169.494
14	9606.ENSP00000356205	168.8935
15	9606.ENSP00000356213	167.7925
16	9606.ENSP00000377353	166.693
17	9606.ENSP00000347754	165.292
18	9606.ENSP00000337949	164.5915
19	9606.ENSP00000276198	164.59099999999998
20	9606.ENSP00000250018	162.49
21	9606.ENSP00000265643	162.4895
22	9606.ENSP00000379472	161.0905
23	9606.ENSP00000337103	160.38899999999998
24	9606.ENSP00000280155	158.7875
25	9606.ENSP00000336630	158.488
26	9606.ENSP00000459962	157.487
27	9606.ENSP00000293330	156.9885
28	9606.ENSP00000461007	155.9865
29	9606.ENSP00000331746	154.786
30	9606.ENSP00000428994	153.4845
31	9606.ENSP00000256010	153.3855
32	9606.ENSP00000324248	151.385
33	9606.ENSP00000378492	151.2835
34	9606.ENSP00000366233	150.683
35	9606.ENSP00000380247	150.484
36	9606.ENSP00000303522	147.48250000000002
37	9606.ENSP00000258400	147.28199999999998
38	9606.ENSP00000350928	146.0815
39	9606.ENSP00000340943	145.781
40	9606.ENSP00000306138	145.6805
41	9606.ENSP00000373169	144.7795
42	9606.ENSP00000381333	144.079
43	9606.ENSP00000234961	142.48
44	9606.ENSP00000354652	140.87849999999997
45	9606.ENSP00000354896	139.8775
46	9606.ENSP00000324270	139.678
47	9606.ENSP00000263160	139.677
48	9606.ENSP00000363748	137.175
49	9606.ENSP00000306129	136.576
50	9606.ENSP00000344173	134.97449999999998
51	9606.ENSP00000296526	134.474
52	9606.ENSP00000262209	132.6755
53	9606.ENSP00000340684	132.571
54	9606.ENSP00000440556	132.07350000000002
55	9606.ENSP00000299178	131.57150000000001
56	9606.ENSP00000480012	131.27249999999998
57	9606.ENSP00000254079	129.672
58	9606.ENSP00000409378	128.573
59	9606.ENSP00000355316	126.9695
60	9606.ENSP00000176183	124.67
61	9606.ENSP00000357461	124.5685
62	9606.ENSP00000358301	123.66900000000001
63	9606.ENSP00000332591	122.56649999999999
64	9606.ENSP00000399745	122.168
65	9606.ENSP00000350348	121.46700000000001
66	9606.ENSP00000355155	120.4675
67	9606.ENSP00000360608	120.26599999999999
68	9606.ENSP00000386069	119.46549999999999
69	9606.ENSP00000367309	117.56500000000001
70	9606.ENSP00000277120	117.36399999999999
71	9606.ENSP00000260191	116.4635
72	9606.ENSP00000393097	114.7645
73	9606.ENSP00000385026	114.0625
74	9606.ENSP00000421828	112.0615
75	9606.ENSP00000308725	111.56199999999998
76	9606.ENSP00000255380	110.36100000000002
77	9606.ENSP00000254976	110.06300000000002
78	9606.ENSP00000217420	109.16
79	9606.ENSP00000263269	108.1605
80	9606.ENSP00000296777	106.3575
81	9606.ENSP00000342560	106.258
82	9606.ENSP00000259455	105.85900000000001
83	9606.ENSP00000368766	105.65950000000001
84	9606.ENSP00000481554	104.9585
85	9606.ENSP00000305372	103.955
86	9606.ENSP00000363229	103.157
87	9606.ENSP00000335544	102.65599999999999
88	9606.ENSP00000387699	101.9705
89	9606.ENSP00000282499	101.8555
90	9606.ENSP00000262895	98.7565
91	9606.ENSP00000483721	97.3545
92	9606.ENSP00000477437	95.95349999999999
93	9606.ENSP00000287766	95.25399999999999
94	9606.ENSP00000293190	93.6525
95	9606.ENSP00000274547	91.9475
96	9606.ENSP00000353362	91.65299999999999
97	9606.ENSP00000263233	90.25
98	9606.ENSP00000397181	89.9515
99	9606.ENSP00000397026	89.6495
100	9606.ENSP00000423917	89.4505
101	9606.ENSP00000267377	88.938
102	9606.ENSP00000289957	86.941
103	9606.ENSP00000329093	86.54549999999999
104	9606.ENSP00000295454	86.348
105	9606.ENSP00000265113	86.149
106	9606.ENSP00000360423	85.851
107	9606.ENSP00000410732	84.546
108	9606.ENSP00000287907	83.647
109	9606.ENSP00000295987	83.0485
110	9606.ENSP00000392423	82.3465
111	9606.ENSP00000336764	82.152
112	9606.ENSP00000403644	81.74
113	9606.ENSP00000463653	80.5445
114	9606.ENSP00000316909	80.245
115	9606.ENSP00000299565	78.5405
116	9606.ENSP00000303540	77.644
117	9606.ENSP00000264318	77.343
118	9606.ENSP00000435648	76.84349999999999
119	9606.ENSP00000266376	76.54249999999999
120	9606.ENSP00000411593	72.94200000000001
121	9606.ENSP00000382428	70.5415
122	9606.ENSP00000367848	70.039
123	9606.ENSP00000369960	69.3395
124	9606.ENSP00000274368	69.0385
125	9606.ENSP00000362183	68.5375
126	9606.ENSP00000479113	68.337
127	9606.ENSP00000377372	68.2355
128	9606.ENSP00000372750	67.6365
129	9606.ENSP00000261751	64.836
130	9606.ENSP00000274545	62.0345
131	9606.ENSP00000264428	61.435
132	9606.ENSP00000384387	61.2765
133	9606.ENSP00000303686	60.334
134	9606.ENSP00000265431	59.7325
135	9606.ENSP00000385142	59.533500000000004
136	9606.ENSP00000359337	59.132999999999996
137	9606.ENSP00000295452	57.1315
138	9606.ENSP00000231188	56.032
139	9606.ENSP00000346534	55.53099999999999
140	9606.ENSP00000297323	53.73
141	9606.ENSP00000261205	52.428
142	9606.ENSP00000334382	52.33050000000001
143	9606.ENSP00000352011	52.3285
144	9606.ENSP00000286628	51.32950000000001
145	9606.ENSP00000295101	51.32899999999999
146	9606.ENSP00000307508	49.527499999999996
147	9606.ENSP00000357067	46.926
148	9606.ENSP00000254488	44.925
149	9606.ENSP00000234389	44.0255
150	9606.ENSP00000468500	43.922000000000004
151	9606.ENSP00000434364	43.3245
152	9606.ENSP00000263431	42.323
153	9606.ENSP00000333496	41.1225
154	9606.ENSP00000381412	40.721500000000006
155	9606.ENSP00000307766	40.721000000000004
156	9606.ENSP00000364586	40.7205
157	9606.ENSP00000262494	40.0235
158	9606.ENSP00000286355	37.2195
159	9606.ENSP00000451648	35.718
160	9606.ENSP00000218075	34.817
161	9606.ENSP00000225823	34.7185
162	9606.ENSP00000357068	33.6175
163	9606.ENSP00000406986	32.819
164	9606.ENSP00000372654	30.116499999999995
165	9606.ENSP00000291700	29.913
166	9606.ENSP00000371985	29.814999999999998
167	9606.ENSP00000356236	28.915999999999997
168	9606.ENSP00000430676	27.915499999999998
169	9606.ENSP00000354207	27.913999999999998
170	9606.ENSP00000265459	27.2135
171	9606.ENSP00000301908	25.926499999999997
172	9606.ENSP00000353508	25.412
173	9606.ENSP00000400258	23.7115
174	9606.ENSP00000303325	22.624000000000002
175	9606.ENSP00000373648	21.41
176	9606.ENSP00000356545	21.1125
177	9606.ENSP00000480573	21.035500000000003
178	9606.ENSP00000351591	20.7085
179	9606.ENSP00000255224	20.411
180	9606.ENSP00000362444	20.3105
181	9606.ENSP00000286548	19.119999999999997
182	9606.ENSP00000418994	18.4095
183	9606.ENSP00000352162	18.409
184	9606.ENSP00000352035	17.807
185	9606.ENSP00000299727	17.027
186	9606.ENSP00000482169	15.407499999999999
187	9606.ENSP00000265969	13.907999999999998
188	9606.ENSP00000358730	13.769499999999999
189	9606.ENSP00000282020	12.905000000000001
190	9606.ENSP00000255008	12.5145
191	9606.ENSP00000300105	11.9045
192	9606.ENSP00000354778	11.903
193	9606.ENSP00000297142	11.806000000000001
194	9606.ENSP00000358142	11.605500000000001
195	9606.ENSP00000005284	10.1065
196	9606.ENSP00000236877	10.004
197	9606.ENSP00000308057	9.003499999999999
198	9606.ENSP00000355593	7.225
199	9606.ENSP00000380271	6.3015
200	9606.ENSP00000429243	5.9025
201	9606.ENSP00000366288	5.101999999999999
202	9606.ENSP00000368244	5.0009999999999994
203	9606.ENSP00000216492	2.402
204	9606.ENSP00000349336	2.2015000000000002
205	9606.ENSP00000379098	0.8009999999999999
206	9606.ENSP00000328511	0.6005
207	9606.ENSP00000405388	0.6005
208	9606.ENSP00000330148	0.301
209	9606.ENSP00000294117	0.3005
210	9606.ENSP00000351342	0.20049999999999998
