rank	node	rank_score
1	9606.ENSP00000265715	179.09949999999998
2	9606.ENSP00000386647	177.399
3	9606.ENSP00000324775	176.5975
4	9606.ENSP00000401513	174.797
5	9606.ENSP00000300591	173.2945
6	9606.ENSP00000302216	172.598
7	9606.ENSP00000358430	172.095
8	9606.ENSP00000297784	171.496
9	9606.ENSP00000353346	170.99650000000003
10	9606.ENSP00000387100	169.99200000000002
11	9606.ENSP00000382670	169.193
12	9606.ENSP00000373610	167.8935
13	9606.ENSP00000329158	167.394
14	9606.ENSP00000348521	165.49099999999999
15	9606.ENSP00000230732	163.89249999999998
16	9606.ENSP00000384312	163.0905
17	9606.ENSP00000205890	162.6915
18	9606.ENSP00000381768	161.98899999999998
19	9606.ENSP00000386331	161.9
20	9606.ENSP00000250699	161.8955
21	9606.ENSP00000367214	161.7895
22	9606.ENSP00000382323	161.49
23	9606.ENSP00000345667	159.788
24	9606.ENSP00000400895	159.6885
25	9606.ENSP00000291532	159.2875
26	9606.ENSP00000323264	158.887
27	9606.ENSP00000362464	158.4865
28	9606.ENSP00000382090	156.58499999999998
29	9606.ENSP00000339587	156.3855
30	9606.ENSP00000376543	155.586
31	9606.ENSP00000466561	154.1845
32	9606.ENSP00000477949	152.3835
33	9606.ENSP00000319254	150.483
34	9606.ENSP00000005226	149.482
35	9606.ENSP00000367059	149.1825
36	9606.ENSP00000305742	148.38400000000001
37	9606.ENSP00000368808	147.5785
38	9606.ENSP00000262916	147.081
39	9606.ENSP00000354623	146.78050000000002
40	9606.ENSP00000480489	145.579
41	9606.ENSP00000363840	144.4815
42	9606.ENSP00000362296	143.8795
43	9606.ENSP00000351732	142.48
44	9606.ENSP00000283228	140.778
45	9606.ENSP00000385510	139.2775
46	9606.ENSP00000226760	138.77550000000002
47	9606.ENSP00000265944	137.576
48	9606.ENSP00000358994	137.575
49	9606.ENSP00000379862	135.6745
50	9606.ENSP00000482885	135.2765
51	9606.ENSP00000384582	135.174
52	9606.ENSP00000480279	134.3735
53	9606.ENSP00000294288	133.573
54	9606.ENSP00000251808	131.4725
55	9606.ENSP00000304286	130.9985
56	9606.ENSP00000360312	130.777
57	9606.ENSP00000258930	130.572
58	9606.ENSP00000305941	127.57000000000001
59	9606.ENSP00000393392	127.47150000000002
60	9606.ENSP00000424711	127.46900000000001
61	9606.ENSP00000410083	127.2695
62	9606.ENSP00000432770	124.87100000000001
63	9606.ENSP00000470298	124.67049999999999
64	9606.ENSP00000482957	123.96849999999999
65	9606.ENSP00000435585	122.86800000000001
66	9606.ENSP00000381565	121.5675
67	9606.ENSP00000337255	120.2665
68	9606.ENSP00000376250	119.56599999999999
69	9606.ENSP00000242104	119.367
70	9606.ENSP00000484343	118.1655
71	9606.ENSP00000321987	117.1645
72	9606.ENSP00000262873	116.06500000000001
73	9606.ENSP00000367950	115.26399999999998
74	9606.ENSP00000334665	115.1635
75	9606.ENSP00000223208	112.9625
76	9606.ENSP00000375849	111.26199999999999
77	9606.ENSP00000316909	111.16100000000002
78	9606.ENSP00000185206	111.06300000000002
79	9606.ENSP00000219599	110.9615
80	9606.ENSP00000312663	109.35999999999999
81	9606.ENSP00000281172	109.26050000000001
82	9606.ENSP00000247182	108.63600000000001
83	9606.ENSP00000303908	107.15950000000001
84	9606.ENSP00000384136	105.6585
85	9606.ENSP00000288235	105.25900000000001
86	9606.ENSP00000352834	105.05799999999999
87	9606.ENSP00000339115	103.25699999999999
88	9606.ENSP00000386213	102.5565
89	9606.ENSP00000353414	102.25750000000001
90	9606.ENSP00000257627	100.256
91	9606.ENSP00000371798	99.255
92	9606.ENSP00000439182	98.65450000000001
93	9606.ENSP00000386840	97.75550000000001
94	9606.ENSP00000423366	97.354
95	9606.ENSP00000458162	96.3535
96	9606.ENSP00000342626	94.5515
97	9606.ENSP00000336831	94.353
98	9606.ENSP00000290332	94.252
99	9606.ENSP00000347324	92.55
100	9606.ENSP00000438262	92.0495
101	9606.ENSP00000422488	91.5525
102	9606.ENSP00000155840	91.051
103	9606.ENSP00000357068	89.5505
104	9606.ENSP00000302120	86.549
105	9606.ENSP00000269878	86.5475
106	9606.ENSP00000408005	85.4455
107	9606.ENSP00000371180	85.1485
108	9606.ENSP00000216181	83.647
109	9606.ENSP00000352413	83.54650000000001
110	9606.ENSP00000480750	83.348
111	9606.ENSP00000421377	82.24600000000001
112	9606.ENSP00000343339	79.54400000000001
113	9606.ENSP00000307508	79.043
114	9606.ENSP00000286628	79.04249999999999
115	9606.ENSP00000421280	76.84200000000001
116	9606.ENSP00000415090	75.8445
117	9606.ENSP00000265431	75.8415
118	9606.ENSP00000027335	74.64349999999999
119	9606.ENSP00000424565	73.041
120	9606.ENSP00000311825	71.84049999999999
121	9606.ENSP00000351118	69.9375
122	9606.ENSP00000356042	69.838
123	9606.ENSP00000421191	69.74
124	9606.ENSP00000308772	69.539
125	9606.ENSP00000324960	69.23949999999999
126	9606.ENSP00000353408	69.0385
127	9606.ENSP00000330808	68.545
128	9606.ENSP00000262613	66.837
129	9606.ENSP00000334714	63.335
130	9606.ENSP00000371331	61.734500000000004
131	9606.ENSP00000464317	60.032500000000006
132	9606.ENSP00000230361	59.834
133	9606.ENSP00000348821	59.8335
134	9606.ENSP00000354488	58.632999999999996
135	9606.ENSP00000290378	56.931999999999995
136	9606.ENSP00000386041	56.73
137	9606.ENSP00000377784	55.93150000000001
138	9606.ENSP00000278317	54.83050000000001
139	9606.ENSP00000236918	54.03099999999999
140	9606.ENSP00000288861	53.028999999999996
141	9606.ENSP00000467176	51.9285
142	9606.ENSP00000445306	51.6365
143	9606.ENSP00000347507	51.0295
144	9606.ENSP00000341838	50.528
145	9606.ENSP00000273353	49.025999999999996
146	9606.ENSP00000455507	48.2275
147	9606.ENSP00000346964	47.9265
148	9606.ENSP00000353452	45.2255
149	9606.ENSP00000226193	44.527
150	9606.ENSP00000325239	44.525
151	9606.ENSP00000307280	44.3245
152	9606.ENSP00000352608	43.0235
153	9606.ENSP00000419081	43.023
154	9606.ENSP00000383023	42.024
155	9606.ENSP00000311684	41.1225
156	9606.ENSP00000404570	38.822
157	9606.ENSP00000217652	38.721500000000006
158	9606.ENSP00000471457	37.621
159	9606.ENSP00000223167	35.1185
160	9606.ENSP00000272732	34.819
161	9606.ENSP00000463559	34.616
162	9606.ENSP00000361636	34.42
163	9606.ENSP00000226207	34.1195
