rank	node	num_occ
1	YAP1	10
2	MIF	10
3	PGK1	10
4	ALDOA	10
5	MCM2	10
6	HNRNPA1	10
7	PRPF8	10
8	MYC	10
9	DDX39B	10
10	NTRK1	10
11	KIAA1429	10
12	PKM	10
13	LDHA	10
14	CDK2	10
15	PIH1D1	10
16	PRDX6	10
17	PRDX2	10
18	PLEKHA4	10
19	CFL1	10
20	UBE2M	10
21	YWHAZ	10
22	METTL14	10
23	AAR2	10
24	YWHAQ	10
25	HSP90AB1	10
26	SAMSN1	10
27	ESR1	9
28	PPIB	9
29	TKT	9
30	HSPE1	9
31	MSN	9
32	EFTUD2	9
33	USP17L	9
34	AKR1B1	9
35	GLO1	9
36	U2AF2	9
37	FABP5	9
38	PARK7	9
39	PRDX1	9
40	HSPA9	9
41	JUP	9
42	MDH1	9
43	FUS	9
44	HSP90AA1	9
45	YWHAE	9
46	FN1	9
47	PHB	9
48	RECQL4	9
49	TRIM25	8
50	DUT	8
51	CTNNB1	8
52	CKB	8
53	HSD17B10	8
54	MTHFD1	8
55	GOT2	8
56	CYLD	8
57	RPL12	8
58	CAP1	8
59	PCBP1	8
60	AGR2	8
61	FANCD2	8
62	PINK1	8
63	PHLDB1	8
64	ATP5A1	8
65	FASN	8
66	HSPA5	8
67	PCMT1	8
68	PEBP1	7
69	ENO3	7
70	SOD1	7
71	SNORD12B	7
72	RNVU1-6	7
73	CALR	7
74	BIRC3	7
75	COTL1	7
76	HUWE1	7
77	CFTR	7
78	GPI	7
79	P4HB	7
80	NAA40	7
81	RNPEP	7
82	AHCY	7
83	PPA1	7
84	TFCP2	7
85	AARS	7
86	RBM39	7
87	AKR1B15	7
88	EEF1G	7
89	PARK2	7
90	TXN	7
91	NPM1	7
92	ITGA4	7
93	EIF4A1	7
94	MCM5	7
95	HSP90AB2P	7
96	TARDBP	7
97	PDIA3	6
98	SHOC2	6
99	SUMO2	6
100	GPX4	6
101	SPR	6
102	CCDC38	6
103	HSP90B1	6
104	ACO2	6
105	ENO2	6
106	IAH1	6
107	HNRNPK	6
108	TAGLN3	6
109	VCP	6
110	UFL1	6
111	AKT1	6
112	GPX2	6
113	MAP2K5	6
114	SPIRE1	6
115	LDHB	6
116	PHGDH	6
117	EEF2	6
118	PGM2	6
119	BGLT3	6
120	FECD3	6
121	HEXIM1	6
122	NME1	6
123	EEF1B2	6
124	IL18BP	6
125	PPT1	6
126	VCAM1	6
127	EEF1A1	6
128	HDAC5	6
129	BRD4	6
130	GAS5	5
131	PTMS	5
132	ANP32A	5
133	PHOSPHO1	5
134	TAGLN2	5
135	NME1-NME2	5
136	ALDOC	5
137	PSMA3	5
138	SMG1P2	5
139	NACA	5
140	TALDO1	5
141	XRCC6	5
142	MYL6	5
143	CUL7	5
144	PCBP2	5
145	SERPINB6	5
146	MAT2A	5
147	HSPA4	5
148	ARAF	5
149	BRAF	5
150	G6PD	5
151	ZNF839	5
152	GGCT	5
153	FBXO22	5
154	EGFR	5
155	TUBB4B	5
156	HSPD1	5
157	GTSF1	5
158	ISOC2	5
159	HLA-DRB4	5
160	SDHA	5
161	BRCA1	5
162	DDX5	5
163	HNRNPD	5
164	TUBB	5
165	RAPGEF6	4
166	CRIP1	4
167	SOX4	4
168	LOC101930400	4
169	PTMA	4
170	STMN1	4
171	AFD1	4
172	PMP2	4
173	TPM3	4
174	FKBP2	4
175	STIP1	4
176	CKMT1A	4
177	PFN1	4
178	PRDX5	4
179	ASS1	4
180	LDHAL6A	4
181	HSPH1	4
182	ACLY	4
183	MYH9	4
184	GLOD4	4
185	HINT1	4
186	DSTN	4
187	FABP7	4
188	FKBP1A	4
189	HEPH	4
190	C4B	4
191	IQGAP1	4
192	DSG1	4
193	C1orf68	4
194	IGF1R	4
195	MAP3K2	4
196	CAD	4
197	SLC25A5	4
198	FGD6	4
199	DSP	4
200	KRT17	4
201	KANK1	4
