rank	node	rank_score
1	MYC	192.3
2	RASSF1	189.5
3	HGF	186.5
4	CDKN2B	183.4
5	TERT	182.4
6	FGFR4	182.2
7	MAP2K5	180.3
8	CDK6	178.2
9	GLIS2	176.6
10	GRM1	175.5
11	TP53	174.5
12	MAP2K3	172.2
13	MAP2K6	167.9
14	TEAD2	166.9
15	STK11	161.2
16	GLIS1	160.8
17	CDKN2C	159.1
18	RAF1	156.8
19	KAT2A	155.0
20	ABCB5	154.7
21	AKT1	154.2
22	KDELR2	153.0
23	CCND2	152.3
24	ARNT	152.3
25	BECN1	148.4
26	LATS2	148.0
27	NFIC	147.1
28	SOX3	145.0
29	CD44	143.8
30	TTYH2	143.1
31	KIAA1429	141.8
32	AURKA	141.7
33	EPHA2	141.2
34	CCNE1	138.9
35	CBLC	137.7
36	YWHAZ	137.6
37	PDGFRA	137.0
38	CDK4	136.6
39	FZR1	136.4
40	NF2	136.4
41	ARAF	135.9
42	RELA	135.1
43	HSP90AA1	130.8
44	SOX4	130.2
45	MAP3K5	129.3
46	MDM4	128.3
47	HIF1A	126.0
48	EGFR	125.8
49	TRIM25	124.3
50	TSC1	122.7
51	ESR1	122.6
52	GPX2	118.5
53	MAP3K2	115.4
54	MAP2K1	113.2
55	CDC37	111.2
56	MAPK14	106.3
57	LINC00094	103.4
58	KRAS	101.8
59	NAT2	99.2
60	PML	97.1
61	HSPA1A	97.0
62	IGF1R	97.0
63	PLA2G4A	96.2
64	WHSC1L1	94.9
65	HSPA4	94.7
66	CTNNB1	92.9
67	MAPK1	92.4
68	IRS1	92.0
69	DACH1	89.1
70	ABL1	87.9
71	SP1	87.4
72	MT1G	87.0
73	HSP90AB1	87.0
74	MAP3K3	86.4
75	ABL2	86.1
76	MAPK3	85.2
77	FOXO3	84.4
78	NUTM2G	84.0
79	F2RL3	83.1
80	FBXO8	82.7
81	MDM2	81.3
82	YWHAQ	80.4
83	SRC	79.0
84	SLC7A4	78.1
85	MTRNR2L8	76.9
86	IGHV1-2	76.7
87	MATK	75.6
88	MIATNB	74.3
89	PTPN11	73.4
90	STUB1	72.7
91	PIK3R1	72.7
92	PSMC3IP	72.3
93	HSPA5	72.0
94	MAPK8	71.8
95	HIF3A	71.6
96	HSPA8	67.2
97	IRS2	67.2
98	CDKN1C	66.7
99	HSPB1	66.3
100	ZNF814	66.0
101	PIK3CA	65.8
102	CDK1	65.8
103	RHOBTB2	65.4
104	RB1	65.0
105	C15orf38-AP3S2	60.9
106	AR	60.8
107	CDKN1B	60.2
108	TUBB	60.2
109	YWHAG	58.3
110	YWHAE	57.4
111	HSPA6	57.2
112	RPRML	57.0
113	SAMSN1	56.8
114	FNIP2	56.5
115	CYLC2	56.5
116	RIN2	56.3
117	TNS3	55.3
118	ANKRD18CP	55.0
119	BRCA1	54.9
120	NTRK1	52.6
121	YWHAB	52.5
122	SPEG	52.4
123	GAS5	52.2
124	JAK2	51.7
125	TNS1	51.0
126	FES	50.8
127	CDCA7	50.6
128	MAPK7	49.5
129	AKT1S1	49.0
130	CDKN1A	47.3
131	PLCE1	47.2
132	PTK2	46.6
133	PMS2P9	45.9
134	STK4	45.3
135	FAM53B	44.6
136	SOCS1	44.1
137	HSPA9	44.1
138	GNB2L1	43.8
139	SMAD3	42.0
140	PLEKHA4	40.8
141	SOCS3	40.8
142	CBL	40.2
143	E2F1	39.5
144	RBL1	39.5
145	GRB10	39.3
146	PKM	39.2
147	SWT1	38.7
148	RBL2	38.4
149	CAD	38.0
150	BRD4	38.0
151	FKBP5	37.8
152	PLEK2	37.7
153	CUL4A	37.5
154	EP300	37.4
155	JAK1	37.2
156	PLCG2	37.1
157	SH2D2A	36.8
158	HDAC6	36.6
159	APP	36.6
160	SMARCA4	36.3
161	FOXO1	36.2
162	LINC00342	36.2
163	NKX1-1	35.8
164	ZNF573	35.1
165	SPIRE1	34.5
166	RPTOR	34.4
167	GUSBP1	34.2
168	ERBB4	34.0
169	DMTF1	33.5
170	USP31	33.3
171	RNVU1-10	33.1
172	ALDOA	32.9
173	GPER1	32.9
174	RP1L1	32.7
175	PRKCZ	32.7
176	ERBB3	32.7
177	MST1R	32.3
178	CSK	32.2
179	IKBKB	32.1
180	CDK2	31.9
181	TRIM28	31.9
182	ANKRD36C	31.6
183	GSK3B	31.5
184	DAB2IP	31.4
185	WT1	31.3
186	RPL24P4	31.1
187	RPS6KB1	31.0
188	GAPDH	30.8
189	PRKCE	30.2
190	GAB1	30.1
191	WDR47	29.9
192	ZNF839	29.9
193	BLID	29.9
194	SNHG12	29.7
195	CREBBP	29.5
196	GAB2	29.1
197	STAT1	28.8
198	HES5	28.5
199	TP73	28.4
200	MUC4	28.3
201	SH2B1	28.2
202	HSH2D	27.9
203	PAK2	27.7
204	SHC1	27.6
205	FER	27.4
206	PLCG1	27.3
207	FNIP1	27.2
208	CEBPB	27.1
209	HDAC1	27.0
210	SHC4	26.9
211	BTRC	26.8
212	SIM1	26.8
213	YAP1	26.0
214	DNAJA1	25.4
215	SHB	24.8
216	FBXW7	24.7
217	NCOR2	24.7
218	E2F4	24.7
219	TP63	24.3
220	RASA1	24.3
221	CCNA2	24.2
222	JUP	24.2
223	CRK	23.8
224	FOXM1	23.2
225	VCP	23.1
226	PTK6	23.1
227	KIT	23.0
228	RRM2	22.6
229	DDB1	22.0
230	PLAGL1	21.8
231	GRB2	21.8
232	YWHAH	21.7
233	CCND1	21.6
234	SYK	21.5
235	MAPT	21.3
236	NCOA3	21.2
237	ITK	21.2
238	SNORA18	21.1
239	PDE7B	20.5
240	NEDD4	20.3
241	TUBB4B	20.2
242	NPM1	20.0
243	EPHA5	19.8
244	DNAJA2	19.6
245	ELAVL1	19.4
246	GPR149	19.4
247	UBC	19.2
248	PIK3R2	19.2
249	ATP10D	19.2
250	FBXO22	19.1
251	ZNF510	19.0
252	PFKFB3	19.0
253	MTCO2P1	19.0
254	SGK1	18.9
255	MXD4	18.9
256	SNTB1	18.8
257	SHOC2	18.8
258	HLA-DRB4	18.5
259	MAP2K4	18.5
260	TFDP1	18.5
261	MST1	18.5
262	REM1	18.3
263	COL9A3	18.3
264	ADIPOR1	18.2
265	ALK	18.2
266	TDG	18.1
267	SEMA3F	18.1
268	IRS4	18.0
269	SMG1P3	17.9
270	SIRT1	17.8
271	RASA4B	17.8
272	PGK1	17.6
273	FOXO4	17.6
274	OR4X1	17.6
275	ANKS1B	17.4
276	KAT2B	17.2
277	GMNC	17.1
278	FRAT2	17.0
279	MRAS	16.9
280	JUN	16.7
281	HDAC3	16.7
282	SMG1P2	16.4
283	INSR	16.4
284	TGFB1	16.3
285	SH2B3	16.1
286	NF1	16.0
287	RRAS2	16.0
288	ITCH	15.9
289	SKP2	15.8
290	PTEN	15.8
291	LCK	15.8
292	CDC25A	15.7
293	PHOX2A	15.7
294	USP28	15.6
295	KCNQ4	15.6
296	CHUK	15.5
297	EGR1	15.4
298	STAP1	15.4
299	NOX5	15.3
300	CCNA1	15.3
301	HRAS	15.3
302	RPS6KA1	15.3
303	MPZL2	15.2
304	BAD	15.0
305	STAB2	14.9
306	MAFK	14.9
307	LYN	14.9
308	GMNN	14.8
309	GLUD1P3	14.7
310	RN7SL3	14.5
311	ZAP70	14.3
312	RN5S1@	14.3
313	PRDM2	14.2
314	HSPH1	14.2
315	TUBG1	14.2
316	BAG2	14.1
317	PDGFRB	14.1
318	RBBP9	14.1
319	CSF2RB	14.0
320	SLA2	13.8
321	SLC7A11	13.6
322	GPR15	13.6
323	PLCB2	13.5
324	NFYB	13.4
325	CCDC180	13.2
326	HSP90AB2P	13.2
327	RASSF5	13.2
328	TRIM32	13.2
329	TNK1	13.1
330	TBX21	13.0
331	BCR	13.0
332	THRSP	13.0
333	HSP90AB3P	13.0
334	CDK3	12.9
335	RPS6KA3	12.9
336	LOC613037	12.8
337	ESR2	12.8
338	FGFR1	12.8
339	PPARGC1A	12.7
340	PIK3C2B	12.7
341	PHB	12.7
342	BCL2L1	12.6
343	CDK5	12.5
344	E2F5	12.5
345	CHFR	12.4
346	HSD11B2	12.3
347	PEBP4	12.3
348	EFTUD2	12.1
349	RHBDF1	12.0
350	FYN	12.0
351	EIF2AK1	11.9
352	CCND3	11.8
353	CKS2	11.5
354	VDR	11.4
355	CSF3R	11.3
356	PTGES3	11.3
357	PDLIM2	11.3
358	KLF2	11.1
359	ATF3	11.1
360	SH2D1B	11.1
361	MCM2	11.0
362	MBP	10.8
363	RN7SL4P	10.7
364	PPFIA1	10.6
365	CDK13	10.6
366	XPO1	10.4
367	NLRP12	10.4
368	AMHR2	10.4
369	TFDP2	10.3
370	GDI2P1	10.2
371	SPDYA	10.2
372	LINC01194	10.2
373	HCP5	10.1
374	CCNO	10.1
375	CAMP	10.1
376	ABCF2	10.0
377	ZHX2	10.0
378	KIAA0319	10.0
379	PSKH2	10.0
380	SOCS6	9.9
381	MAPK8IP3	9.9
382	CYP17A1	9.8
383	PPID	9.7
384	HDAC2	9.7
385	SPDYE7P	9.7
386	ZMIZ1	9.6
387	NCOA1	9.5
388	VAV1	9.5
389	FLT3	9.4
390	HUWE1	9.3
391	TEC	9.3
392	CASP3	9.3
393	UBE2I	9.3
394	PARP1	9.1
395	FAM163A	9.1
396	CELF6	9.1
397	ETS1	9.0
398	CCNB1	8.8
399	CUL1	8.8
400	MAP3K11	8.8
401	PRKDC	8.7
402	BCL2	8.7
403	DIS3L2	8.7
404	PSMC5	8.6
405	CCNE2	8.6
406	DNMT1	8.6
407	CKS1B	8.5
408	POLA1	8.4
409	SPATA13	8.3
410	EPOR	8.2
411	PTK2B	8.2
412	SIK3	8.2
413	UHRF2	8.2
414	AHR	8.1
415	TUBA1A	8.1
416	ATP5A1	8.1
417	GHR	8.1
418	BCL3	8.0
419	FOS	8.0
420	IQGAP1	8.0
421	SHD	7.9
422	RSG1	7.9
423	CDT1	7.8
424	WWTR1	7.8
425	E2F3	7.7
426	COPS5	7.6
427	STIP1	7.5
428	PGR	7.5
429	RUNX2	7.4
430	SOCS5	7.4
431	CSAD	7.4
432	SMARCC1	7.3
433	RNR1	7.3
434	FGD6	7.3
435	KDM2A	7.2
436	CEBPA	7.2
437	LRRK2	7.2
438	CDK7	7.2
439	METTL3	7.1
440	TFAP2C	7.1
441	ARHGAP32	7.1
442	ERCC2	7.1
443	FOXO6	7.1
444	VHL	7.0
445	PRPF8	7.0
446	ERRFI1	7.0
447	SP3	6.9
