rank	node	rank_score
1	FZR1	187.7
2	CDK2	186.7
3	VCP	176.1
4	BRCA1	175.1
5	MDM2	171.2
6	GSK3B	171.1
7	GNB2L1	169.9
8	EEF2	169.0
9	CDC27	168.8
10	XRCC6	167.8
11	MCM7	165.6
12	PCNA	164.7
13	HSP90AA1	164.7
14	AKT1	162.5
15	HSP90AB1	161.5
16	CFL1	158.0
17	EP300	157.5
18	ANXA2	156.7
19	FN1	155.2
20	JUP	155.2
21	PARK2	154.6
22	MCM5	153.8
23	CCNA2	151.9
24	PPP1CA	151.7
25	NPM1	150.9
26	FUS	150.8
27	DDX5	150.4
28	MYL6	150.0
29	HSPH1	148.5
30	ALDOA	146.7
31	BRD4	145.8
32	MCM6	145.7
33	YWHAQ	145.0
34	DDX17	141.1
35	MYH10	141.0
36	HSPA8	139.0
37	HIST1H4A	138.9
38	HNRNPK	138.5
39	HDAC1	136.5
40	SUMO2	136.3
41	MCM3	135.2
42	PPP1CC	133.6
43	HDAC2	132.8
44	RPS3	130.9
45	DHX9	127.3
46	CUL1	125.5
47	ATP5A1	124.2
48	CDKN1A	123.1
49	TRIM28	123.1
50	EGLN3	123.0
51	XRCC5	123.0
52	DSG1	122.5
53	HNRNPA1	122.2
54	RPS4X	121.1
55	PCBP1	120.5
56	BIRC3	120.4
57	PRPF8	120.4
58	LDHA	119.9
59	MAPK1	118.0
60	HUWE1	116.8
61	MSN	116.6
62	EFTUD2	115.9
63	RPL12	114.7
64	SPTBN1	114.6
65	WDR5	114.2
66	HNRNPA2B1	111.3
67	DDX39B	109.2
68	EIF4A1	109.1
69	HDAC6	107.7
70	SP1	104.7
71	UBE2M	104.7
72	HRNR	102.6
73	TP73	101.8
74	PLEKHA4	100.0
75	HNRNPU	99.5
76	RUVBL1	99.4
77	HIF1A	99.2
78	BUB3	99.1
79	NTRK1	97.8
80	MCM4	97.6
81	RPL23	96.9
82	PPIA	96.8
83	NAP1L1	94.0
84	RPS27	94.0
85	NCL	93.4
86	RPS23	92.8
87	CREBBP	92.0
88	HNRNPM	91.1
89	SIRT1	91.0
90	DSP	90.9
91	RFC1	90.7
92	EEF1A1	90.3
93	AAR2	90.0
94	CDKN1C	89.8
95	SMARCA4	89.2
96	TARDBP	88.8
97	YWHAZ	88.0
98	PHGDH	87.4
99	RPL10A	86.3
100	RBM39	85.4
101	RUVBL2	84.7
102	RPS18	84.5
103	RPA1	84.2
104	RPS5	83.2
105	KHSRP	81.8
106	CUL4A	81.6
107	RPS15A	80.4
108	SMARCA2	80.2
109	CDC5L	79.6
110	RPL5	78.9
111	CHD3	75.5
112	MYH9	75.0
113	PIH1D1	74.3
114	RPL9	74.1
115	METTL14	73.3
116	HSPA4	72.8
117	PA2G4	72.6
118	UBC	72.3
119	FBXW7	71.8
120	KAT2B	70.6
121	TKT	70.5
122	CDK6	70.4
123	TUBB	68.4
124	CDK9	66.8
125	FLG2	65.8
126	STAU1	65.6
127	PRKDC	63.9
128	CHEK1	63.1
129	RPS11	62.7
130	RPS25	61.3
131	RPS17	61.1
132	HNRNPD	60.0
133	RPL24	59.5
134	RPL21	59.3
135	U2AF2	58.9
136	PABPC1	58.4
137	AHSA1	57.8
138	PPP1CB	57.5
139	DHX15	57.3
140	BTF3	57.2
141	RPS16	57.1
142	HSP90AB2P	56.3
143	AGR2	55.2
144	SQSTM1	54.7
145	TOP1	54.5
146	RPL38	53.9
147	SLC25A5	53.9
148	CHD4	52.9
149	HNRNPF	52.1
150	RPS26	50.9
151	MYO1B	50.3
152	RPS12	49.8
153	WWP2	49.7
154	ARAF	49.7
155	RPS3A	49.0
156	RPL7	48.1
157	RPLP2	47.1
158	NUMA1	46.6
159	SKP1	46.4
160	FOXO3	46.2
161	KRT17	45.7
162	GRWD1	45.4
163	RPA2	45.4
164	SFPQ	44.5
165	RPL18	44.2
166	ARNT	43.3
167	MSH6	43.2
168	PML	42.3
169	PINK1	42.1
170	NAA40	41.8
171	RPS2	41.6
172	RPS20	41.0
173	RPL27	40.3
174	RPL6	40.0
175	PCBP2	39.5
176	CUL2	39.5
177	DDB1	39.3
178	CAND1	38.9
179	HEXIM1	38.8
180	INCENP	38.6
181	ILF3	38.3
182	RECQL4	37.2
183	HDAC5	36.9
184	RPS9	36.1
185	MATR3	35.9
186	CUL7	35.9
187	RPL22	35.5
188	RPL27A	35.3
189	PGAM1	34.7
190	NR2C2	33.6
191	CIT	33.3
192	RPS8	32.4
193	MAPK14	32.0
194	CSE1L	31.9
195	PTBP1	31.8
196	NDN	31.8
197	RPS13	31.7
198	DUX4	31.5
199	CSNK1A1	31.2
200	RPL11	31.1
201	RPSA	31.0
202	CAD	30.5
203	FLNA	30.3
204	FAF1	30.1
205	RPLP1	29.8
206	RPL34	29.8
207	RPL18A	29.4
208	KIAA1429	29.3
209	RPS7	29.2
210	ILF2	28.6
211	RPS28	28.2
212	HIST1H3A	27.9
213	MIF	27.9
214	RELA	27.9
215	ZC3H18	27.4
216	PARP1	27.2
217	SNRNP200	26.3
218	TMPO	26.0
219	TCP1	25.7
220	RPL23A	25.6
221	RPL3	25.6
222	RPL37A	24.8
223	H2AFX	24.5
224	HMGB1	24.0
225	P4HB	23.0
226	MEPCE	22.9
227	RPLP0	22.5
228	RPS15	22.3
229	MAP2K3	22.1
230	CUL3	21.8
231	RPL35	21.6
232	RPS21	20.9
233	G3BP1	20.5
234	HIST1H2BB	20.5
235	SNAI1	20.3
236	EWSR1	20.1
237	NACA	19.9
238	RPL31	19.8
239	VRK1	19.7
240	ACTC1	19.5
241	USP11	19.3
242	CDC73	19.0
243	DDX3X	18.9
244	RPL29	18.8
245	TPM3	18.8
246	RPL10L	18.5
247	CKS2	18.4
248	RPL36	18.4
249	ATXN3	17.9
250	CASC5	17.9
251	ASF1A	17.7
252	PGAM5	17.3
253	TRIM37	17.0
254	PABPC4	16.8
255	PPIB	16.7
256	RPL7A	16.6
257	EEF1A1P5	16.4
258	CIC	16.2
259	CALM1	16.1
260	RPS27L	16.0
261	RPS14	16.0
262	PDCD6	15.6
263	RIOK1	15.2
264	RPL8	15.1
265	UFL1	14.8
266	PIAS1	14.8
267	FLII	14.7
268	ITGA4	14.6
269	RPL13A	14.6
270	H3F3A	14.6
271	RPS27A	14.4
272	ANXA1	14.2
273	RPL15	14.0
274	RPL14	13.9
275	STAT3	13.9
276	CCT8	13.6
277	PTMA	13.3
278	YBX1	13.2
279	SMARCA5	13.0
280	NFX1	12.4
281	SND1	12.2
282	CCT2	12.0
283	RIN3	11.9
284	RPLP0P6	11.6
285	ATP5B	11.4
286	RPL30	11.4
287	UBE2I	10.7
288	SYNCRIP	10.6
289	PAGE4	10.5
290	PHB2	10.5
291	RPL17	10.2
292	SNRPD1	10.1
293	EPRS	10.0
294	DDX1	9.8
295	TUBB4B	9.8
296	SNRNP70	9.1
297	GNL3	9.1
298	DIMT1	9.0
299	RPL4	8.9
300	RANBP2	8.8
301	SPOP	8.6
302	KPNB1	8.6
303	HNRNPA0	8.5
304	HNRNPC	8.3
305	DNMT1	8.1
306	RPL35A	8.0
307	YWHAE	7.8
308	HNRNPR	7.4
309	RPL28	7.4
310	SMC3	7.3
311	RPL13	7.1
312	PSMA3	6.7
313	UBL4A	6.7
314	REST	6.1
315	RPS19	6.1
316	DDRGK1	5.9
317	PPT1	5.7
318	NOP2	5.4
319	RPL32	5.2
320	CUL4B	5.0
321	ITFG1	4.6
322	LARP7	4.3
323	TFCP2	4.3
324	HSP90B1	4.2
325	HNRNPA3	4.1
326	ARIH2	4.0
327	TUBG1	4.0
328	FBL	3.9
329	HSD17B10	3.9
330	CCT4	3.6
331	RPS6KB2	3.5
332	TRIP4	3.4
333	DDX21	3.2
334	LOC101929876	3.0
335	CHMP4C	2.9
336	CUL5	2.8
337	RC3H1	2.7
338	ALYREF	2.6
339	NOP56	2.5
340	RPL10	2.4
341	PAN2	2.1
342	RBM45	2.1
343	RPS10	1.9
344	NUDCD2	1.9
345	SRRM2	1.7
346	RPL19	1.7
347	VHL	1.5
348	CCT3	1.5
349	OBSL1	1.3
350	EEF1G	1.1
351	CCT5	1.0
352	BRIX1	0.8
353	CCDC8	0.5
354	RAN	0.4
355	RPS24	0.4
356	RPL26	0.4
357	RSL1D1	0.2
358	EIF6	0.1
359	CLTC	0.1
