rank	node	rank_score
1	5408	180.1
2	8513	179.1995
3	5407	178.299
4	9388	177.3985
5	5406	176.498
6	11343	175.5975
7	1208	174.697
8	2713	173.7965
9	2712	172.89600000000002
10	2710	171.9955
11	57678	171.095
12	965	150.0925
13	4035	130.6945
14	338	123.7895
15	811	118.39200000000001
16	2157	113.39099999999999
17	7450	95.97749999999999
18	2158	94.6905
19	4325	93.994
20	2923	84.58500000000001
21	821	83.69
22	3949	83.5755
23	57519	74.694
24	55755	74.2935
25	64714	73.7915
26	3134	65.988
27	3133	65.5875
28	6892	65.187
29	3135	64.7865
30	567	64.386
31	9601	64.378
32	6890	63.9855
33	7184	63.9765
34	6891	63.484500000000004
35	4547	63.376
36	3105	63.084
37	7038	63.0745
38	10859	62.6835
39	11093	62.677
40	3309	62.475
41	10525	62.474000000000004
42	2243	62.275999999999996
43	3107	62.182500000000005
44	10288	61.782
45	3106	61.28099999999999
46	5328	61.244499999999995
47	5054	61.2435
48	912	61.083000000000006
49	925	61.081500000000005
50	5327	61.04600000000001
51	3359	60.773
52	3824	59.980500000000006
53	6513	58.778999999999996
54	1315	58.17999999999999
55	2335	58.177499999999995
56	4036	58.14300000000001
57	22820	57.979499999999994
58	6955	57.9735
59	5329	57.7325
60	915	57.072500000000005
61	4324	56.19349999999999
62	8029	56.035000000000004
63	9567	55.89300000000001
64	2147	55.355
65	26958	54.971500000000006
66	5034	54.867
67	22818	54.571000000000005
68	3822	54.4785
69	51226	54.170500000000004
70	6532	53.989
71	372	53.77
72	926	53.372
73	51272	53.369499999999995
74	11316	52.96900000000001
75	9276	52.56849999999999
76	7018	52.5595
77	1314	51.968
78	5340	51.9465
79	5104	51.653
80	22908	51.567499999999995
81	4544	50.76649999999999
82	3827	50.6505
83	4543	50.366
84	30001	50.265499999999996
85	7057	49.8425
86	710	49.745
87	1991	49.140499999999996
88	2160	48.3525
89	351	48.0095
90	5345	46.4385
91	7356	45.925
92	1511	45.8415
93	5354	45.7885
94	2150	45.527
95	2149	45.241
96	3674	44.4545
97	2244	43.935500000000005
98	7253	43.364999999999995
99	799	43.064499999999995
100	2811	42.15
101	7448	41.9335
102	7436	41.585
103	5269	41.044
104	3690	40.931
105	5624	40.8395
106	2266	40.8315
107	2159	40.445499999999996
108	2153	40.239999999999995
109	3685	40.0345
110	4811	39.729
111	5627	39.6555
112	7056	39.439
113	3077	39.263999999999996
114	3821	38.5635
115	5653	38.4015
116	5275	37.9375
117	948	37.8185
118	344	37.293
119	961	37.227999999999994
120	3172	37.0925
121	4326	36.891999999999996
122	2812	36.6275
123	3688	36.6205
124	335	36.591499999999996
125	7026	36.590999999999994
126	928	36.4215
127	345	36.290499999999994
128	2162	36.2305
129	7025	36.089999999999996
130	1565	35.8895
