rank	node	rank_score
1	HTR1D	179.299
2	UGT3A2	178.8
3	PIGB	177.4985
4	CYB5R1	177.2995
5	AGPAT2	176.698
6	ST3GAL6	175.4975
7	CHRNB2	173.796
8	TUSC3	172.4955
9	TMEM70	95.997
10	GLT8D2	95.79400000000001
11	ACAA2	76.4965
12	HINT2	73.2945
13	PARK7	73.2895
14	FAHD2A	70.877
15	PDP1	69.6935
16	ACO2	69.593
17	GRHPR	68.49249999999999
18	CHRNE	67.288
19	CLIC4	67.19149999999999
20	FAM69A	67.1775
21	NENF	66.789
22	POMT1	66.6905
23	MPST	66.284
24	SOD1	65.88300000000001
25	MPPE1	65.478
26	PRDX6	64.9905
27	ALDH4A1	64.2745
28	LACTB2	64.0845
29	GCSH	63.690999999999995
30	ENO1	63.2805
31	PRDX5	63.268499999999996
32	HTR3C	62.886
33	GSTP1	62.885000000000005
34	NDUFAB1	62.489999999999995
35	SPR	62.477999999999994
36	CMPK1	62.386
37	PGLS	62.092
38	CLIC1	61.7885
39	GLRX5	61.57899999999999
40	AK3	61.462
41	HDHD3	61.088
42	PGM1	60.9865
43	TPI1	60.98350000000001
44	C21orf33	60.9785
45	HINT1	60.476
46	DDAH1	60.3875
47	FDX1	60.2855
48	AK2	60.0655
49	ARCN1	59.487
50	FXN	59.475
51	POMT2	59.39
52	TBCA	58.974000000000004
53	UCHL1	58.28099999999999
54	PTRHD1	58.1605
55	GPI	57.98199999999999
56	GLOD4	57.981500000000004
57	LAP3	57.9735
58	CRYZ	57.973
59	GJA4	57.895
60	P2RX2	57.295500000000004
61	FDX1L	57.282500000000006
62	C1QL1	56.994499999999995
63	COX17	56.56
64	MTPN	55.572500000000005
65	TXNDC12	55.467
66	PMPCA	55.1715
67	PRDX2	53.76800000000001
68	GUK1	53.669000000000004
69	HFE	53.4145
70	FEN1	53.08
71	COA7	52.772000000000006
72	ADPRHL2	52.679500000000004
73	NIT2	52.57000000000001
74	THEM4	52.471000000000004
75	ACOT1	52.44449999999999
76	ETHE1	52.27049999999999
77	TXN	51.164
78	HADH	50.964999999999996
79	AK4	50.161500000000004
80	GSTO1	49.8695
81	RAB11FIP5	49.4675
82	ALG9	48.8865
83	C1orf198	48.7665
84	CTSB	48.766
85	PSAP	48.5635
86	DDAH2	48.3755
87	MSRB3	48.0625
88	PPA2	47.9645
89	HTR3A	47.791999999999994
90	SRI	47.763
91	NUDT19	44.253499999999995
92	CS	42.155
93	CNNM1	41.6885
94	PMPCB	41.558499999999995
95	SUCLG1	41.059000000000005
96	ADA	40.5775
97	TXNL1	40.2765
98	SUCLG2	39.957
99	LMF2	39.685
100	MDH2	39.652499999999996
101	CLPP	39.554
102	DLG4	38.195
103	ISOC2	37.9945
104	CRHR1	37.9935
105	GLB1L2	37.7935
106	SHANK1	37.693
107	BAI2	37.4925
108	ST14	37.393
109	TSFM	37.2515
110	FUT1	37.1925
111	ADPGK	37.1915
112	AARS2	36.5505
113	C1GALT1C1	36.4905
114	ST3GAL4	36.253499999999995
115	COX4I1	36.25
116	SCGB2A2	36.150999999999996
117	B4GALT7	36.090999999999994
118	TPST2	35.766
119	PDK1	35.751999999999995
120	C1orf54	35.436
121	CSGALNACT2	35.35850000000001
122	MANEAL	35.258
123	ETFB	34.949
124	PXYLP1	34.946000000000005
125	DPY19L4	34.89149999999999
126	SUCLA2	34.751
127	CLEC12B	34.6825
128	TRMT61B	34.4495
129	MTIF2	34.3485
130	POLDIP2	34.253
131	MTRF1L	34.248000000000005
132	LRP12	34.237
133	UGT8	34.159000000000006
134	SIDT2	34.0895
135	TXN2	33.952999999999996
136	GIMAP8	33.952
137	HPN	33.79
138	NCEH1	33.784000000000006
139	ST6GALNAC3	33.78
140	GP1BB	33.5755
141	ZACN	32.881
142	TRAP1	32.542
143	NXPE3	32.534000000000006
144	PDHA1	32.4465
145	NFS1	32.1475
146	SPPL2B	31.9875
147	GCNT1	31.940999999999995
148	GALNT7	31.782
149	CHRND	31.687
150	PDPR	31.6455
151	TTYH1	31.590999999999998
152	PLTP	31.444
153	TMEM106A	31.441499999999998
154	TMEM39A	31.3815
155	FASTKD5	31.344
156	PDGFRA	31.332
157	PIGO	31.084000000000003
158	C6orf203	30.945
159	SCN4A	30.875
160	KDELC2	30.859500000000004
161	EPHB4	30.787
162	TMEM219	30.776999999999997
163	ETFA	30.543
164	KLRC2	30.479499999999994
165	TMPRSS13	30.3885
166	GABRE	30.3745
167	PPA1	30.357999999999997
168	GFM1	30.3425
169	UPK1A	30.282
170	FUT8	30.177
171	SLC47A1	30.0805
172	CCS	30.057499999999997
173	ANXA5	30.0565
174	TACO1	29.945999999999998
175	MGAT1	29.5765
176	CCPG1	29.4805
177	FAM189B	29.474
178	TMTC3	29.473000000000003
179	GPR114	29.384500000000003
180	ACAD9	29.2435
181	ACSF2	29.156
182	ERMP1	29.0725
183	TMED6	28.926499999999997
184	NETO2	28.908000000000005
185	FZD2	28.878499999999995
186	IMPAD1	28.643
187	ABCA3	28.580000000000002
188	TMPRSS12	28.379
189	VWA8	28.3405
190	AUH	28.1415
191	LYRM4	27.940999999999995
192	LARS2	27.939999999999998
193	LPPR3	27.883499999999998
194	SEC11C	27.6855
195	LRRC55	27.665499999999998
196	MAN1A1	27.6325
197	CHST12	27.335500000000003
198	IBA57	27.047000000000004
199	PTCH1	26.940499999999997
200	GABRA3	26.885
201	GLRB	26.5065
202	NKAIN1	26.476499999999998
203	CLRN2	26.470499999999998
204	MRPS26	26.4395
205	HS6ST2	26.128499999999995
206	VARS2	25.939
207	SSBP1	25.938499999999998
208	CARS2	25.934000000000005
209	CEACAM8	25.7305
210	LEMD2	25.497999999999998
211	TMEM179B	25.4735
212	MTRF1	25.1355
213	TMEM59	25.1265
214	LRRC8A	25.076
215	TBRG4	24.738
216	ATP11C	24.669999999999998
217	LRFN3	24.637
218	TRUB2	24.336000000000002
219	MAN2A1	24.2015
220	NRN1	24.022
221	ISCA2	23.961000000000002
222	MGAT5	23.801
223	MTERF3	23.7345
224	PPIF	23.528
225	MRPS36	23.437
226	TMEM59L	23.349
227	METTL17	23.3325
228	ECEL1	22.9375
229	GAA	22.606
230	C17orf80	22.436500000000002
231	ACOT2	22.035
232	MAN2A2	21.9315
233	ICT1	21.8335
234	FASTKD2	21.633
235	BTN2A2	21.0645
236	HLA-DRA	21.033499999999997
237	CNTNAP3	20.630000000000003
238	SFTPC	20.622
239	GMPS	20.555500000000002
240	POMGNT2	20.5275
241	APOA1BP	20.3545
242	ECHS1	20.3375
243	MRRF	20.3315
244	MMAB	20.032
245	ALDH7A1	19.8435
246	NDUFA6	19.731
247	HSPE1	19.35
248	ITGA7	19.232999999999997
249	ASIC4	19.204
250	ENTPD6	19.139
251	HYAL2	19.134999999999998
252	SLIRP	19.0305
253	GYLTL1B	19.018
254	NDUFAF2	18.9285
255	PSCA	18.9175
256	CHRNB3	18.894
257	PTK2B	18.893
258	TFAM	18.830000000000002
259	NAAA	18.807499999999997
260	ELOVL1	18.796
261	GRAMD1A	18.767000000000003
262	KCNJ8	18.748
263	PRG2	18.715
264	LGALS3	18.692
265	MCOLN3	18.649
266	MSRB2	18.4915
267	TST	18.3935
268	PKM	18.2905
269	PLD6	18.2825
270	METTL15	18.128999999999998
271	MBTPS1	18.0035
272	PPIA	17.9885
273	DSTN	17.893
274	EMR4P	17.826999999999998
275	CFL1	17.7895
276	GLS	17.6255
277	CFL2	17.587
278	TAZ	17.5045
279	EXTL2	17.486
280	CRIP1	17.484
281	ADAM10	17.4115
282	FABP3	17.2875
283	GRSF1	17.2275
284	RFNG	17.191
285	PON2	17.0425
286	LYPLAL1	16.9865
287	INHBA	16.8855
288	SUMF2	16.782
289	LRPPRC	16.625999999999998
290	BTNL2	16.5245
291	MRM1	16.327
292	TTC17	16.2365
293	ATPAF1	16.1245
294	QRSL1	16.122999999999998
295	GPIHBP1	16.1025
296	GALNT4	16.0815
297	COA4	16.051499999999997
298	SDF2L1	16.0125
299	TMEM132A	16.006999999999998
300	B3GNT2	15.912
301	FAM213A	15.876499999999998
302	NDST1	15.1775
303	OGDH	15.129500000000002
304	CCL3	15.075999999999999
305	GATB	15.021
306	NDUFV2	14.926499999999999
307	CNTNAP3B	14.9055
308	CHID1	14.875499999999999
309	ICAM4	14.7785
310	C3orf58	14.572
311	DPM2	14.462
312	GPC4	14.256499999999999
313	PLXNA1	14.213999999999999
314	KLRC1	14.1705
315	STS	14.151499999999999
316	SULF1	14.074000000000002
317	LONP1	13.9225
318	ZDHHC9	13.865
319	GPR21	13.769499999999999
320	SLC29A1	13.668000000000001
321	POGLUT1	13.661000000000001
322	SLC12A9	13.571000000000002
323	CHSY3	13.5585
