rank	node	rank_score
1	4092	180.1
2	55914	179.1995
3	9372	177.999
4	4087	177.0985
5	7042	175.998
6	9392	175.0975
7	7046	174.197
8	91	173.2965
9	23551	171.9955
10	658	171.195
11	23682	171.096
12	51285	169.59449999999998
13	4086	168.394
14	8878	168.0935
15	57154	165.893
16	4091	164.6925
17	64750	163.792
18	10273	162.5915
19	90	162.589
20	117583	161.9895
21	860	161.69099999999997
22	121268	160.988
23	51176	160.7905
24	84085	160.5885
25	58473	159.4865
26	29984	158.487
27	5058	156.5875
28	9459	156.19
29	57381	152.286
30	659	151.5845
31	655	151.484
32	2022	150.4835
33	55827	149.98499999999999
34	93	149.183
35	864	148.3855
36	8200	148.2825
37	92	147.382
38	654	146.0815
39	25884	144.781
40	3624	143.8795
41	3626	142.97899999999998
42	4090	142.78050000000002
43	392255	142.48
44	3625	142.0785
45	3547	140.778
46	94	139.2775
47	83871	138.6745
48	58533	138.077
49	7049	137.17649999999998
50	7043	136.276
51	7040	135.27550000000002
52	11167	134.375
53	140901	133.274
54	29068	131.773
55	25928	131.07350000000002
56	57111	129.57150000000001
57	28512	129.172
58	163	128.17249999999999
59	3623	127.87100000000001
60	130399	126.87049999999999
61	2290	126.668
62	10220	125.67
63	7554	124.06949999999999
64	11171	123.569
65	8312	121.86749999999999
66	1855	121.76700000000001
67	79674	121.46849999999999
68	4303	120.3655
69	1601	120.2665
70	51588	118.36449999999999
71	51560	117.46399999999998
72	2309	115.857
73	64718	115.66599999999998
74	10140	114.66100000000002
75	55761	112.56500000000001
76	81788	112.4605
77	2331	110.46300000000001
78	10413	110.3585
79	168667	109.1625
80	2033	108.556
81	2308	106.85799999999999
82	163126	106.8545
83	79753	105.1555
84	861	103.954
85	6497	101.562
86	2737	101.2615
87	1387	101.1535
88	367	99.652
89	28996	98.553
90	10691	97.8505
91	2274	96.1515
92	5371	95.351
93	1616	93.3485
94	7161	91.449
95	6996	91.15
96	7157	89.14750000000001
97	2099	88.747
98	3065	87.94800000000001
99	4193	86.8465
100	54440	84.86
101	51701	84.5525
102	672	82.34349999999999
103	8202	78.244
104	9611	77.3445
105	8841	72.34049999999999
106	6597	72.143
107	3172	71.74549999999999
108	6667	67.8395
109	6599	67.04249999999999
110	7421	65.74
111	4762	64.85249999999999
112	1051	64.345
113	3066	62.838499999999996
114	23181	61.0635
115	6601	59.840999999999994
116	4194	58.346000000000004
117	6598	55.739
118	5925	53.0135
119	25942	51.938
120	57492	51.64149999999999
121	6595	50.8365
122	51592	50.642
123	8928	48.759
124	6602	47.3355
125	8850	47.015
126	6603	46.436
127	8289	46.337
128	6605	45.634
129	8554	45.1465
130	6908	44.727
131	3621	41.734500000000004
132	6604	41.1325
133	5928	41.032
134	86	40.6335
135	51742	40.535000000000004
136	8819	38.531
137	5931	37.6295
138	10401	37.148
139	6880	36.5265
140	8932	36.43
141	6872	36.223
142	5977	36.0315
143	9219	35.5305
144	57459	35.028499999999994
145	1487	34.5375
146	1108	34.428999999999995
147	6774	34.338499999999996
148	53615	33.628
149	10284	33.027499999999996
150	4152	32.1455
151	10499	30.842000000000002
152	1024	30.418
153	8189	29.825
154	595	29.630000000000003
155	3725	29.440999999999995
156	2959	29.02
157	3091	28.939999999999998
158	53981	28.7245
159	23028	28.325499999999998
160	1107	28.226
161	4297	28.124000000000002
162	6878	27.9235
163	6883	26.222
164	7341	25.944
165	5929	25.922500000000003
166	3622	25.601
167	7316	25.539499999999997
168	9612	24.826999999999998
169	5901	24.7215
170	7155	24.433
171	2908	24.136000000000003
172	11091	24.021
173	54760	23.6185
174	7704	23.426
175	8467	23.3205
176	7738	23.1595
177	5914	23.1265
178	8648	22.7335
179	573	22.325
180	1050	21.345
181	8945	20.557
182	9343	20.219
183	8626	19.046
184	208	18.546
185	7050	17.6495
186	4609	17.6055
187	23186	17.4195
188	9412	17.417
189	10589	17.1175
190	2962	16.9155
191	2960	16.4165
192	4204	16.413
193	7329	16.3445
194	54815	15.913999999999998
195	2965	15.216
196	7750	14.711000000000002
197	892	14.514500000000002
198	9112	13.709999999999999
199	23309	13.610500000000002
200	9203	12.5095
201	51317	11.809000000000001
202	85509	11.708
203	10468	11.5565
204	22800	11.2575
205	23199	11.2085
206	8243	10.8035
207	2969	10.5075
208	5594	10.239
209	2967	10.2125
210	3360	9.907
211	5430	9.512
212	2071	9.4115
213	10362	9.1065
214	1457	9.023
215	1386	8.443000000000001
216	5595	8.437000000000001
217	5599	7.9365
218	23054	7.5280000000000005
219	2113	7.435
220	4435	7.2405
221	6256	7.129
222	1432	6.935499999999999
223	5468	6.827500000000001
224	57504	6.706
225	1022	6.703
226	2353	6.6315
227	602	6.6285
228	5970	6.1225000000000005
229	10274	6.1049999999999995
230	2002	5.731
231	11177	5.7045
232	5600	5.6240000000000006
233	5601	5.3305
234	10735	5.304
235	9031	4.802
236	3297	4.7235
237	2114	4.6295
238	6304	4.6015
239	2623	4.515
240	5465	4.021
241	5885	3.603
242	9252	3.522
243	9126	3.2024999999999997
244	2932	2.7215
245	9759	2.3145
246	6886	1.6035
247	64426	1.4004999999999999
248	7067	0.9029999999999999
249	25855	0.9019999999999999
250	79595	0.701
251	5926	0.5005
252	1459	0.41200000000000003
253	84312	0.101
254	5378	0.099
255	22909	0.0985
256	63976	0.056999999999999995
257	145258	0.056499999999999995
258	54778	0.05500000000000001
259	11073	0.053500000000000006
260	1452	0.0485
261	1111	0.0465
262	472	0.046
263	10000	0.0455
264	545	0.044
265	4683	0.0435
266	9656	0.043
267	11200	0.042499999999999996
268	10111	0.041999999999999996
269	55655	0.041499999999999995
270	4361	0.040999999999999995
271	10114	0.0405
