rank	node	rank_score
1	51561	180.1
2	3594	179.1995
3	3595	178.299
4	3592	177.3985
5	3804	176.498
6	8302	175.5975
7	10870	174.697
8	22914	173.7965
9	79465	172.89600000000002
10	80329	171.9955
11	80328	171.095
12	353091	170.1945
13	4277	169.294
14	7305	168.3935
15	3807	167.493
16	100132285	166.5925
17	6775	165.592
18	3717	144.186
19	3559	127.99099999999999
20	3458	124.6845
21	3459	124.0855
22	3460	108.085
23	7124	106.38899999999998
24	9919	105.64949999999999
25	4055	87.6875
26	4050	87.588
27	7132	87.3885
28	8740	86.387
29	329	85.8865
30	330	85.1855
31	56616	84.686
32	8717	84.3845
33	7187	84.285
34	5970	83.5635
35	7186	83.184
36	8737	83.18350000000001
37	4790	82.866
38	26133	82.38300000000001
39	9020	81.17699999999999
40	113457	80.37899999999999
41	7185	79.981
42	3305	79.27799999999999
43	8767	78.7785
44	8517	78.774
45	7278	78.5775
46	10382	77.576
47	3551	76.8725
48	1147	75.872
49	71	75.6745
50	5971	74.9675
51	8915	74.8715
52	6885	74.171
53	3313	72.8705
54	10010	72.77000000000001
55	1997	72.6905
56	805	72.673
57	1326	72.5735
58	7133	71.6765
59	808	70.7695
60	29110	70.6685
61	841	70.5505
62	4792	70.46900000000001
63	4791	69.967
64	3312	69.264
65	203068	68.56800000000001
66	4793	67.7655
67	7189	67.4755
68	4794	67.4665
69	3303	66.365
70	3309	66.262
71	3320	66.1605
72	1213	65.6645
73	7188	65.582
74	958	64.48150000000001
75	23118	64.163
76	10913	63.875
77	3310	63.75750000000001
78	92609	63.161500000000004
79	801	62.461
80	9532	62.2625
81	790	62.0595
82	11035	61.559000000000005
83	4215	60.96
84	3301	59.85850000000001
85	4214	59.55799999999999
86	3326	58.456999999999994
87	347733	58.25599999999999
88	10454	57.65650000000001
89	7314	56.95550000000001
90	7316	55.95399999999999
91	9641	55.654500000000006
92	708	55.653499999999994
93	220717	55.55499999999999
94	3809	54.991499999999995
95	2969	54.447
96	409	54.152499999999996
97	3558	54.089999999999996
98	50943	53.7895
99	6233	53.751999999999995
100	8607	53.553
101	4772	53.288
102	7311	53.150999999999996
103	5292	52.9875
104	4646	52.6515
105	1654	51.048500000000004
106	2734	50.949
107	11140	50.65
108	6156	49.748000000000005
109	5134	49.7445
110	6207	49.2475
111	408	49.046
112	1917	48.746500000000005
113	6128	47.6455
114	6232	46.845
115	10128	46.144
116	4637	42.8435
117	9349	37.6335
118	10856	37.534000000000006
119	6205	37.1325
120	6202	36.533
121	5521	36.343
122	292	36.3315
123	3806	35.888999999999996
124	10788	35.7425
125	6204	35.53
126	9462	35.342
127	3932	35.165
128	3560	35.0865
129	8454	34.8415
130	10849	34.741
131	6191	34.731
132	6774	34.6835
133	4869	34.532
134	3718	34.3825
135	4528	34.2405
136	150684	34.235
137	6777	34.182
138	6776	33.9805
139	51082	33.839999999999996
140	5771	33.78
141	6772	33.584
142	64425	33.539
143	3716	33.381
144	84172	33.3395
145	23291	33.338499999999996
146	7852	33.1815
147	4628	32.9345
148	6189	32.829
149	1234	32.6795
150	55250	32.678999999999995
151	3561	32.6785
152	3575	32.678
153	5437	32.438
154	6130	32.2295
155	6773	32.177499999999995
156	6223	32.128
157	6500	31.9375
158	2690	31.877
159	9021	31.6715
160	5441	31.537
161	5781	31.1755
162	5777	31.075
163	25885	31.036
164	3838	30.8365
165	2185	30.669
166	6146	30.6265
167	6222	30.528499999999998
168	6464	30.4735
169	4163	30.335500000000003
170	6229	30.325
171	7297	29.9745
172	7846	29.926
173	5159	29.676
174	6850	29.665499999999998
175	1439	29.660500000000003
176	5295	29.2725
177	2057	29.1675
178	4067	29.162
179	1441	29.125
180	5156	29.074
181	867	28.565999999999995
182	3815	28.4615
183	6188	28.430500000000002
184	3454	28.316999999999997
185	10603	28.261000000000003
186	6206	28.023000000000003
187	6141	27.924
188	498	27.921000000000003
189	1399	27.866499999999995
190	3572	27.773000000000003
191	5788	27.7625
192	3643	27.471000000000004
193	6135	27.3245
194	6203	27.1235
195	8660	26.972
196	5747	26.9685
197	8651	26.5765
198	3480	26.569499999999998
199	6217	26.427
200	3667	26.27
201	1956	26.063499999999998
202	7409	25.8645
203	6208	25.5275
204	1398	25.464
205	2064	25.463
206	2534	25.46
207	6176	25.3205
208	5921	25.0595
209	5335	24.659
210	7535	24.5565
211	3921	24.5215
212	2065	24.457
213	4904	24.322
214	9846	24.157999999999998
215	6129	24.1255
216	2885	23.956
217	1933	23.819499999999998
218	613	23.758499999999998
219	6714	23.557499999999997
220	10202	23.519
221	5770	23.268
222	6461	23.2555
223	4914	22.951999999999998
224	7417	22.817500000000003
225	4691	22.32
226	27040	22.254
227	7419	22.217000000000002
228	3937	22.155
229	6654	22.153
230	5336	22.052500000000002
231	5296	21.847
232	55824	21.7545
233	10480	21.7165
234	8664	21.316
235	2549	21.2515
236	3055	21.248
237	5795	21.051
238	2889	21.0475
239	6181	20.9225
240	10056	20.9155
241	1445	20.5505
242	1436	20.444
243	5829	20.35
244	9564	20.2485
245	1796	20.049
246	302	19.918
247	27335	19.9145
248	25	19.8495
249	10657	19.643
250	11184	19.3535
251	3635	19.3445
252	4233	19.044999999999998
253	7006	18.945999999999998
254	5782	18.9455
255	8668	18.913999999999998
256	27	18.8465
257	6175	18.8185
258	8344	18.813499999999998
259	7416	18.415
260	5800	18.3435
261	309	18.113
262	29760	17.942500000000003
263	3802	17.7885
264	3702	17.742
265	2023	17.6125
