rank	node	rank_score
1	5582	179.0
2	2932	177.998
3	5590	165.89000000000001
4	207	156.768
5	5584	153.7895
6	5578	147.6835
7	4900	147.1875
8	65108	142.5825
9	6714	141.3455
10	5580	140.6615
11	5579	140.369
12	5581	138.9765
13	3667	137.083
14	5770	134.2575
15	688	134.15699999999998
16	120	133.567
17	60312	133.0585
18	5587	132.27100000000002
19	7534	131.48899999999998
20	5588	130.263
21	5583	129.856
22	4137	129.613
23	5894	128.873
24	6199	128.34300000000002
25	4627	126.2885
26	2705	126.245
27	3315	124.85799999999999
28	5734	122.55900000000001
29	4233	122.436
30	150	121.9565
31	9338	119.92550000000001
32	624	118.3375
33	8682	117.8415
34	1956	117.76050000000001
35	55107	117.49949999999998
36	433	117.155
37	3875	116.476
38	3749	115.3315
39	84552	115.194
40	2931	111.81700000000001
41	3643	110.65050000000001
42	5879	110.5015
43	6198	108.106
44	10000	105.751
45	5788	105.2345
46	2904	104.74099999999999
47	7316	104.3595
48	208	104.1475
49	1103	103.24600000000001
50	5170	102.94200000000001
51	5782	102.235
52	7504	101.753
53	26353	101.2495
54	56288	100.2985
55	2902	99.261
56	572	98.4715
57	3150	98.45450000000001
58	5341	97.9515
59	11258	97.89750000000001
60	84612	97.3955
61	50855	96.0915
62	673	95.56649999999999
63	1267	94.75
64	9266	94.5625
65	2011	94.088
66	3996	93.79249999999999
67	7533	93.187
68	57787	90.692
69	5066	90.56
70	917	89.047
71	2915	88.9555
72	56990	88.09
73	960	86.424
74	846	84.7405
75	2911	82.2525
76	5594	82.019
77	1601	80.329
78	334	80.0435
79	7532	79.8845
80	7531	79.385
81	7529	78.7805
82	6103	78.299
83	10540	78.197
84	2887	77.423
85	7037	76.5335
86	91942	76.39500000000001
87	6953	75.7905
88	3993	75.593
89	6876	75.4325
90	2243	75.0215
91	4486	74.0365
92	4140	72.5855
93	4689	72.462
94	56882	71.389
95	4001	69.03999999999999
96	4000	68.93299999999999
97	3480	68.24249999999999
98	4139	66.779
99	5243	66.6185
100	1080	65.6045
101	5568	63.320499999999996
102	2560	63.111000000000004
103	9891	60.577999999999996
104	60598	60.275
105	25780	60.163
106	4780	59.722500000000004
107	636	57.996500000000005
108	119	57.60850000000001
109	51164	57.596000000000004
110	9181	56.181999999999995
111	301	56.0305
112	5566	55.515499999999996
113	23236	55.261
114	3706	55.124
115	5595	54.633500000000005
116	7431	54.1485
117	10298	53.8655
118	10971	53.772000000000006
119	5335	53.50750000000001
120	11033	53.3575
121	2885	52.979
122	118	52.30650000000001
123	4985	51.749
124	154	51.2245
125	5781	51.0055
126	2893	50.814
127	5567	50.714999999999996
128	51305	49.1745
129	2810	48.774
130	2769	48.435500000000005
