rank	node	rank_score
1	GPM6A	179.7
2	DGUOK	179.59949999999998
3	NUFIP1	178.299
4	DNAAF2	176.798
5	CALB2	176.69850000000002
6	HPCAL4	175.9975
7	GRIA2	174.297
8	HAX1	171.2945
9	SNCB	169.7965
10	SYN1	169.69549999999998
11	SNCA	169.39600000000002
12	AMPH	169.095
13	ARMC1	168.1935
14	SYN2	167.594
15	VSNL1	166.993
16	NCALD	165.792
17	GNG2	164.8915
18	SYT1	164.7885
19	NAPB	164.488
20	ATP4A	162.589
21	MAPT	162.4925
22	RAB3A	161.7905
23	CNTN1	160.39000000000001
24	GPM6B	159.28400000000002
25	STX1A	159.083
26	CAMK2A	158.99099999999999
27	HPCA	157.2895
28	RRP7A	156.087
29	DPYSL3	155.7865
30	DPYSL5	155.1875
31	DPYSL2	153.98600000000002
32	CDCA8	153.3845
33	DPYSL4	152.9855
34	CRMP1	151.98499999999999
35	DPYS	148.8835
36	CALM1	148.18
37	BIN1	147.8805
38	SNAP91	147.382
39	HIST1H2BL	146.0825
40	VAMP2	144.8795
41	CAMK2B	144.17849999999999
42	STX2	143.679
43	NCAM1	142.18099999999998
44	CDH13	141.7815
45	STX3	141.57750000000001
46	CLTC	139.07649999999998
47	MAP2	138.678
48	SYP	137.777
49	SFXN3	135.37550000000002
50	DCX	134.473
51	DCLK1	132.3725
52	DRD2	119.876
53	GNAQ	104.975
54	VAMP8	85.172
55	STX12	83.4705
56	UNC13B	75.1745
57	CPLX1	72.46900000000001
58	STX6	70.664
59	SNAP23	69.87100000000001
60	VAMP5	69.87
61	NAPG	69.6695
62	NAPA	68.8685
63	STXBP5	67.96900000000001
64	STX7	67.862
65	SNAP29	67.768
66	VAMP7	67.267
67	STXBP6	67.16749999999999
68	STX4	66.166
69	STX8	65.8665
70	SCGN	64.8655
71	VTI1B	64.365
72	VAMP3	64.0645
73	STX10	63.463499999999996
74	NUMB	63.4365
75	BET1	62.6625
76	STX18	62.263
77	NSF	61.661
78	STX5	61.2615
79	GSK3B	60.2735
80	VAMP4	60.2605
81	VTI1A	59.760000000000005
82	STX16	59.258500000000005
83	STX11	58.2595
84	STX19	57.971500000000006
85	GOSR1	57.959
86	NEDD4	57.875
87	L1CAM	57.672000000000004
88	SEC22B	57.657500000000006
89	NTRK1	57.572500000000005
90	USE1	57.45799999999999
91	SCFD1	56.956999999999994
92	CAV1	56.951
93	PRNP	56.470000000000006
94	VPS45	56.455999999999996
95	BNIP1	56.05650000000001
96	AP2A1	55.567499999999995
97	ANK2	55.4705
98	SCFD2	55.1555
99	NBAS	54.855
100	ADRB2	54.268499999999996
101	LAMTOR1	53.9465
102	LAMP3	53.85450000000001
103	SNAP47	53.653999999999996
104	CLEC12A	52.9535
105	RAB9A	52.952999999999996
106	LAMP2	52.2525
107	YKT6	51.952
108	TFRC	51.848
109	RAB5A	50.8515
110	TGOLN2	50.8435
111	RAB5C	50.2505
112	RAB11A	49.649
113	RAB2A	49.05
114	ARF6	48.5455
115	RAB3B	48.0475
116	B3GAT1	46.9485
117	SCAMP1	46.347
118	GJA1	45.6445
119	MARCKS	44.446
120	SPRY4	43.945
121	SLC6A4	43.374
122	ARRB1	43.1635
123	FAM83B	43.144
124	SLC38A1	42.543
125	FAM135A	42.5375
126	RPH3A	41.4695
127	SLC38A2	41.0415
128	LMAN1	40.542
129	UBC	40.364
130	CXADR	40.339999999999996
131	EBAG9	40.339
132	RAB4A	40.241
133	GRB2	39.866
134	BET1L	39.8495
135	STEAP3	39.3405
136	CPD	39.2385
137	HGS	38.765
138	SLC39A14	38.1425
139	ARRB2	37.7625
140	LAMP1	37.638
141	SRC	37.463
142	EPS15	36.765499999999996
143	SLC6A8	36.7395
144	TNK2	36.6715
145	ZFPL1	36.637
146	FLOT2	36.234
147	OCLN	36.136
148	EGFR	35.660000000000004
149	SLC6A15	35.435500000000005
150	DSG2	34.6295
151	SLC7A5	34.035000000000004
152	TMEM17	33.9345
153	GJD3	33.3335
154	SLC19A1	32.733
155	UBIAD1	32.0325
156	TMEM216	31.032
157	SLC4A7	31.0315
158	RHOB	29.7235
159	KRAS	29.528499999999998
160	DNAJC5	29.330000000000002
161	DYRK1A	27.466999999999995
162	CDCA3	27.327999999999996
163	LLGL1	27.326
164	SH3GL2	27.266499999999997
165	LSR	27.226999999999997
166	DLG1	27.024
167	RAB35	26.9275
168	SLC20A2	26.8265
169	NRAS	26.4255
170	ARHGAP1	25.529
171	PTK2	25.3465
172	ACBD3	25.331
173	LYN	25.3205
174	TUBB	25.259999999999998
175	KCNB1	25.1545
176	ATP2B1	25.0215
177	PLEKHA1	24.725
178	CLTA	24.062
179	PIK3R1	24.042
180	CTNND1	24.0245
181	UNC5B	23.6225
182	SLC30A1	23.523
183	AP2A2	23.460500000000003
184	EPN1	23.1595
185	AP1B1	23.159
186	MCAM	22.9185
187	AP2M1	22.7575
188	EPS15L1	22.658499999999997
189	AP2B1	22.657999999999998
190	AP2S1	22.2565
191	SGIP1	22.057
192	EFR3B	21.822
193	STON2	21.656
194	ITSN1	21.655
195	CLTB	21.1555
196	SYNJ1	20.954500000000003
197	REPS1	20.9535
198	CD99	20.821
199	CLINT1	20.554000000000002
200	GTSE1	20.3525
201	FCHO2	19.951999999999998
202	DAB2	19.951
203	BMP2K	19.8505
204	PICALM	19.6515
205	GAK	19.35
206	MYO6	19.1495
207	SLC39A6	19.119999999999997
208	SHC1	18.948
209	DBN1	18.749000000000002
210	C10orf88	18.748
211	AAK1	18.7475
212	RELL1	18.7195
213	DIRAS3	18.719
214	LIMA1	18.2485
215	MYH9	18.247
216	ADD3	18.218
217	HRAS	17.9175
218	MYO19	17.8465
219	PIK3C2A	17.645999999999997
220	IQGAP1	17.444499999999998
221	SYNPO	17.244
222	HIP1R	17.044999999999998
223	PPP1CB	16.740000000000002
224	CPNE8	16.7155
225	SEC16A	16.642000000000003
226	EPHA2	16.612000000000002
227	MARVELD2	16.316499999999998
228	DNAJC6	16.2455
229	MYO18A	16.241500000000002
230	ANLN	16.141
231	STAMBPL1	16.043
232	CAPZA2	16.0425
233	HIP1	15.8385
234	C11orf52	15.815999999999999
235	DSC2	15.4145
236	SMAP2	15.139499999999998
237	SSH2	14.938999999999998
238	LNPEP	14.915000000000001
239	CLTCL1	14.8405
240	PANX1	14.513
241	AFAP1	14.138
242	KIF20A	14.136500000000002
243	NDRG4	13.968
244	TMEM2	13.817000000000002
245	PPFIBP1	13.7135
246	CTTN	13.7055
247	GNB1	13.565999999999999
248	CALM3	13.361500000000001
249	HSD17B4	13.267500000000002
250	SPTBN1	13.2345
251	SLC6A3	12.972999999999999
252	GOLGB1	12.730500000000001
253	KIF14	12.7255
254	MYO1E	12.6095
255	VANGL1	12.514
256	SYK	12.437000000000001
257	MYO5A	12.334999999999999
258	ADRBK1	12.265
259	MYO5C	12.127
260	HLA-A	12.108500000000001
261	SPTAN1	11.933
262	PDGFRB	11.931000000000001
263	MAPRE1	11.812000000000001
264	TPRN	11.8115
265	VANGL2	11.7125
266	SVIL	11.3235
267	PDLIM7	11.2175
268	MYO1C	11.034
269	ACTN4	11.0245
270	ZDHHC5	11.0115
271	ACTR2	10.825999999999999
272	SNX9	10.654
273	ABL1	10.562000000000001
274	TMOD1	10.514500000000002
275	FLOT1	10.4065
276	PARD3	10.311
277	SLC3A2	10.1105
278	ELOVL5	10.0095
279	EZR	9.825
280	COBL	9.824000000000002
281	ITGB1	9.809999999999999
282	DEPDC1B	9.709
283	NEXN	9.413
