rank	node	rank_score
1	MAP3K5	179.7995
2	MAP2K6	179.5
3	MAP2K7	177.79850000000002
4	MAPK8IP3	176.898
5	HSP90AA1	174.999
6	MAP2K3	174.9975
7	AKT1	169.49099999999999
8	MAPK8	166.7955
9	MAP2K5	166.39000000000001
10	BRAF	164.893
11	CDKN2B	163.8895
12	STK11	162.99200000000002
13	MAPK1	162.69650000000001
14	TERT	161.9835
15	YWHAZ	161.9725
16	CDC37	161.39249999999998
17	CDKN2A	159.9915
18	CDK6	159.98899999999998
19	GLIS2	159.885
20	CDKN2C	158.4885
21	LATS2	158.48600000000002
22	CCND2	158.387
23	CDK4	157.488
24	EPHA2	157.2875
25	FGFR4	156.6865
26	RASSF1	156.3845
27	TEAD2	156.28400000000002
28	ERBB2	155.983
29	HGF	154.7855
30	GRM1	150.882
31	BECN1	150.6825
32	ARNT	149.4815
33	MAP2K1	148.69400000000002
34	NF2	147.981
35	CD44	147.6805
36	MAPK14	147.1945
37	MET	146.28
38	KDELR2	145.4795
39	PDGFRA	144.47899999999998
40	CBLC	143.67849999999999
41	CCNE1	142.57750000000001
42	ARAF	142.078
43	MDM4	141.4735
44	KAT2A	138.57649999999998
45	TSC1	138.376
46	MYC	138.077
47	FZR1	137.37449999999998
48	HIF1A	135.575
49	AURKA	135.37550000000002
50	HSP90AB1	133.5905
51	TP53	133.274
52	MAPK3	132.8935
53	MAP3K2	130.621
54	IGF1R	130.572
55	TTYH2	130.371
56	HSPA1A	129.273
57	STUB1	128.9705
58	SRC	128.7715
59	YWHAE	127.1665
60	PTK2	125.27000000000001
61	RELA	124.36949999999999
62	CTNNB1	123.56700000000001
63	HSPA8	121.968
64	HSPA4	120.869
65	SOCS1	119.86749999999999
66	PTPN11	118.36449999999999
67	PLCB2	116.897
68	PIK3R1	116.86500000000001
69	SHC1	116.2655
70	MAP3K3	116.2165
71	TUBB	115.06599999999999
72	CBL	114.66399999999999
73	MAPT	113.6615
74	EGFR	111.16300000000001
75	ABL1	109.4625
76	CSK	107.96
77	DNAJA1	107.26050000000001
78	IRS1	105.96199999999999
79	FYN	105.44949999999999
80	HSPA6	104.857
81	HSPA9	104.6635
82	HSPA5	104.35799999999999
83	HDAC6	103.25550000000001
84	HSPB1	100.554
85	GRB2	99.861
86	PXN	99.45450000000001
87	LCK	98.95349999999999
88	CRK	98.2585
89	GRB10	97.44800000000001
90	ERBB3	96.95750000000001
91	PRKCZ	96.15599999999999
92	ZAP70	93.35650000000001
93	PLCG1	93.051
94	RASA1	92.953
95	PIK3CA	91.9505
96	AR	91.4525
97	CAD	89.24600000000001
98	MATK	88.7515
99	ERBB4	88.7485
100	KIT	85.64750000000001
101	SYK	85.547
102	PIK3R2	85.149
103	PTK6	85.14500000000001
104	HCK	82.3465
105	IRS4	81.15
106	CBLB	80.74449999999999
107	PLCG2	80.04400000000001
108	PTK2B	78.843
109	GSK3B	78.755
110	VAV1	78.7435
111	ITK	78.638
112	MAP3K1	77.596
113	MBP	77.39500000000001
114	SOCS3	76.04249999999999
115	GAB1	74.6395
116	CRKL	74.341
117	STAT3	72.742
118	YES1	71.9405
119	DOK1	71.3385
120	TEC	69.5375
121	SH2D2A	68.025
122	GAB2	66.6415
123	LYN	66.637
124	PDGFRB	65.934
125	BTK	65.436
126	PIK3R3	65.2355
127	BLK	65.039
128	PTEN	63.94
129	FGR	63.635000000000005
130	BLNK	63.536500000000004
131	ABL2	61.63199999999999
132	SOS1	60.630500000000005
133	HSP90AB3P	60.5345
134	FGFR1	60.2325
135	TUBB4B	60.119499999999995
136	CSF1R	59.133500000000005
137	PTPN6	59.029999999999994
138	LCP2	58.431
139	TNK2	58.33299999999999
140	ARRB1	56.959500000000006
141	NCK1	56.731500000000004
142	MAPK7	56.720000000000006
143	YWHAB	54.319
144	SLA	53.3285
145	BCR	53.028
146	WAS	49.1255
147	SHB	48.229
148	YWHAG	48.059000000000005
149	NEDD4	46.7275
150	JAK1	45.929500000000004
151	RET	45.827
152	LRRK1	45.8245
153	PECAM1	45.223
154	ERRFI1	43.815
155	DNAJA2	43.6075
156	PTPN12	42.4265
157	YWHAQ	42.352
158	GLIS1	41.5685
159	JUP	41.0225
160	BAG2	39.206
161	SH3KBP1	38.724000000000004
162	RPS6KA3	37.7105
163	INPPL1	36.5185
164	MAP2K2	36.5045
165	SH3BP2	36.2235
166	KHDRBS1	35.525999999999996
167	INSR	35.0175
168	AXL	34.9055
169	HSPH1	34.522000000000006
170	FRS2	33.915499999999994
171	PRKCE	32.817
172	NTRK1	32.7205
173	IRS2	32.718
174	SFN	31.715999999999998
175	CDK1	29.4215
176	MST1R	28.4135
177	ABCB5	28.269
178	YWHAH	27.413999999999998
179	EPOR	26.512999999999998
180	RPS6KA1	26.4065
181	BCAR1	25.9115
182	ARHGAP32	24.7145
