rank	node	rank_score
1	THBS1	179.8995
2	COL4A1	178.999
3	COL6A1	177.698
4	BGN	177.3985
5	LAIR2	175.6975
6	COLGALT2	174.197
7	COL5A1	173.996
8	COL2A1	173.7965
9	MAG	172.19549999999998
10	C1QTNF1	171.19400000000002
11	PLOD3	169.09300000000002
12	COL4A2	168.7935
13	COL4A6	167.39249999999998
14	COL8A2	166.692
15	COL12A1	165.9915
16	PLOD1	164.891
17	PDGFA	164.095
18	COL3A1	163.9945
19	COL21A1	163.9905
20	COL6A2	161.88899999999998
21	C1QTNF9	161.5895
22	COL14A1	161.39000000000001
23	C1QTNF9B	160.2885
24	COLQ	160.1875
25	C1QC	158.888
26	COL9A1	157.587
27	C1QTNF2	157.0865
28	TGM2	155.385
29	PLOD2	155.186
30	COLGALT1	154.4855
31	VHL	153.1845
32	ADIPOQ	151.4835
33	COLEC11	150.283
34	C1QL4	149.482
35	C1QB	148.68400000000003
36	COL13A1	148.1815
37	P3H4	147.6825
38	LEPREL2	146.28050000000002
39	PDIA4	144.379
40	HSPA5	141.2795
41	OS9	140.9785
42	LYZL2	139.578
43	EPHA7	138.28
44	PRELP	123.7775
45	P3H1	122.5755
46	SDF2L1	112.16199999999999
47	DNAJB9	111.97200000000001
48	CNPY3	110.67999999999999
49	FBXO6	110.44149999999999
50	UGGT2	109.43050000000001
51	ITGB1	104.876
52	KLK10	99.1
53	TTC13	98.163
54	CALR3	91.076
55	DNAJB11	90.675
56	DNAJC3	89.274
57	CTSS	88.1735
58	TCTN1	87.47200000000001
59	CALU	86.6725
60	P4HA1	85.869
61	DNAJC10	85.4695
62	CNPY2	85.273
63	TMTC3	84.97
64	CTSB	84.36800000000001
65	ERO1L	83.5675
66	SYNE3	82.3705
67	ERAP2	81.9665
68	ITGAV	81.17699999999999
69	EDEM3	81.126
70	FKBP10	80.571
71	NUCB2	80.26849999999999
72	SEC61B	79.666
73	VAPA	78.6655
74	ERP29	78.564
75	NUP210	77.765
76	DNAJB12	77.0645
77	LRRC59	76.2625
78	LRPAP1	75.4525
79	DPP4	75.161
80	UGGT1	74.863
81	EMC1	74.0635
82	STT3B	73.1615
83	PTPRU	70.311
84	GANAB	70.26050000000001
85	PTPRO	69.259
86	PRKCSH	69.0595
87	CALR	68.3585
88	P4HB	68.35799999999999
89	HSPA13	68.262
