rank	node	rank_score
1	651	180.0
2	23381	178.99949999999998
3	118429	177.799
4	3026	176.5985
5	6288	175.698
6	1286	175.1975
7	1285	174.297
8	5270	173.2965
9	7045	172.3955
10	5008	172.096
11	5653	170.395
12	1287	169.8945
13	1288	169.094
14	4147	169.0935
15	2335	167.59300000000002
16	22918	166.6915
17	2199	166.5925
18	4318	164.792
19	1634	163.69099999999997
20	1277	162.5905
21	1278	162.09
22	1294	160.18699999999998
23	7057	160.0865
24	3690	157.48600000000002
25	7040	155.98499999999999
26	351	154.6895
27	4313	154.682
28	3685	154.1825
29	633	153.68400000000003
30	1280	153.5845
31	6678	153.2855
32	5549	153.089
33	4811	152.9885
34	948	152.481
35	3339	149.18800000000002
36	284217	148.4875
37	3688	147.7815
38	3918	146.8805
39	1305	146.4835
40	22795	145.583
41	2192	142.3795
42	2006	141.079
43	4856	140.9785
44	1690	140.28
45	3678	139.97750000000002
46	1490	139.678
47	80781	139.377
48	7052	137.5755
49	3674	136.575
50	2200	135.2765
51	4237	134.276
52	1293	133.5745
53	3673	132.3735
54	164656	131.8505
55	3672	131.574
56	961	130.873
57	928	129.9725
58	2201	129.07150000000001
59	4052	128.171
60	550	127.872
61	3675	125.86949999999999
62	1101	124.57000000000001
63	1462	122.46900000000001
64	2812	121.47049999999999
65	27329	121.45
66	2923	120.3685
67	3914	119.268
68	649	118.667
69	1289	116.46599999999998
70	8076	115.529
71	4099	115.46399999999998
72	2811	112.2635
73	811	111.2665
74	3827	108.2625
75	7450	107.96300000000001
76	3386	107.0655
77	5340	105.45750000000001
78	3676	104.56500000000001
79	6696	104.4615
80	7058	103.2645
81	960	102.9585
82	3486	102.9565
83	4316	101.758
84	3693	101.462
85	1404	99.45599999999999
86	2147	98.5605
87	176	98.05499999999999
88	2243	97.759
89	5327	97.25699999999999
90	2244	96.9595
91	4314	96.25450000000001
92	4312	96.154
93	5029	95.861
94	3915	94.4675
95	63827	94.2535
96	5328	89.9525
97	5345	87.952
98	4319	87.64
99	7448	87.4495
100	3694	87.36
101	5104	84.5515
102	3488	84.548
103	5054	84.5475
104	2160	84.151
105	3911	83.25550000000001
106	2266	83.149
107	4035	82.9455
108	1511	82.9435
109	4982	82.447
110	5329	81.7465
111	1991	80.545
112	7076	79.74249999999999
113	2162	79.0485
114	3655	78.4395
115	967	77.742
116	1839	76.5365
117	3684	76.24449999999999
118	5155	75.341
119	2515	75.2595
120	7035	75.0415
121	3732	74.7385
122	53353	74.143
123	3491	73.6375
124	977	72.738
125	7106	72.134
126	4224	71.753
127	5738	70.837
128	2149	69.2405
129	8754	68.339
130	4179	67.6345
131	7422	67.146
132	975	67.1335
133	963	63.532999999999994
134	90070	58.6315
135	4653	56.120000000000005
136	1281	54.716499999999996
137	3679	54.119499999999995
138	3912	53.6235
139	5118	52.515499999999996
140	1291	51.4225
141	3696	46.621
142	2252	45.817
143	4323	45.1205
144	821	44.625
145	2157	43.8215
146	5354	42.8245
147	6382	42.019
148	2161	41.81
149	2159	41.3155
150	2153	41.315
151	4322	41.0095
152	4321	41.007
153	7078	40.7085
154	5269	40.213499999999996
155	3082	40.1185
156	3818	39.1105
157	4018	38.8065
158	3959	37.1195
159	5624	35.814
160	12	35.7125
161	5627	35.2145
162	7056	34.512
163	3481	34.012
164	3817	33.013
165	462	31.317
166	6354	29.121500000000005
167	3934	26.221000000000004
168	5858	26.006
169	7042	25.5045
170	6667	25.4165
171	4054	23.904
172	2150	23.1135
173	354	23.1065
174	7043	23.1035
175	8516	22.017500000000002
176	3485	21.6115
177	2331	21.401999999999997
178	7018	20.211000000000002
179	6670	20.113
180	27123	20.0995
181	6383	19.317500000000003
182	3053	19.0105
183	5265	17.805500000000002
184	5196	17.6115
185	710	17.125999999999998
186	3479	16.809
187	3909	15.632
188	5657	14.706999999999999
189	1514	14.5095
190	5275	14.407499999999999
191	9507	13.805000000000001
192	682	12.008500000000002
193	2247	11.311
194	3689	9.136
195	4060	9.11
196	51454	8.535
197	2316	8.027
198	2208	6.331
199	3483	5.708
200	3500	5.703
201	7048	3.8015
202	7094	3.4354999999999998
203	3691	3.4255000000000004
204	3949	3.3125
205	7049	3.3045
206	3913	3.023
207	5747	2.944
208	2	2.9055
209	3695	2.6285
210	5310	2.5324999999999998
211	1361	2.505
212	7412	2.4295
213	3490	2.4105
214	2022	2.4010000000000002
215	3680	2.33
216	9479	2.2239999999999998
217	5829	2.1305
218	6401	2.0265
219	56899	1.9280000000000002
220	26085	1.903
221	8174	1.7274999999999998
222	1990	1.7035
223	3371	1.6035
224	5154	1.6009999999999998
225	7980	1.404
226	23621	1.3025
227	94	1.3005
228	2274	0.418
229	5045	0.3015
230	3493	0.20299999999999999
231	5646	0.10149999999999999
232	11226	0.089
233	4146	0.0605
234	5578	0.022
235	2152	0.016
236	6714	0.009
237	4036	0.009
238	2064	0.008
239	7373	0.008
240	1796	0.0075
241	7070	0.006500000000000001
242	2317	0.006
243	6464	0.0055
244	3105	0.005
245	6695	0.0045
246	1956	0.004
247	2066	0.003
248	2324	0.0025
249	6868	0.002
250	7047	0.002
251	5580	0.0015
252	64866	0.001
253	9510	0.001
254	2185	0.0005
