rank	node	rank_score
1	1615	180.0
2	1936	178.1945
3	3376	157.49949999999998
4	9521	156.699
5	5917	155.8985
6	51520	155.598
7	9255	154.79749999999999
8	4141	153.697
9	5859	152.8965
10	7965	152.096
11	2058	151.2955
12	9641	150.395
13	10010	149.594
14	3320	148.3935
15	4791	147.693
16	8517	146.6925
17	4794	146.392
18	113457	144.289
19	4793	144.19099999999997
20	3551	142.49
21	7278	140.977
22	4792	140.68800000000002
23	1147	140.5895
24	5970	139.7885
25	9020	138.67350000000002
26	3305	137.274
27	1326	135.77550000000002
28	1213	135.3905
29	3313	135.37449999999998
30	4790	135.0825
31	5971	134.276
32	29110	133.5785
33	10382	133.073
34	5966	131.8795
35	805	129.5725
36	6885	128.97150000000002
37	2734	128.575
38	801	127.572
39	808	125.2695
40	3303	124.8685
41	3309	123.768
42	71	122.76599999999999
43	4215	122.57000000000001
44	7186	122.2655
45	23118	121.06700000000001
46	203068	120.7705
47	3326	120.3665
48	8737	120.26500000000001
49	11035	119.4645
50	3312	118.46900000000001
51	7132	116.46399999999998
52	92609	115.9635
53	790	114.96300000000001
54	8717	114.1625
55	4214	113.16199999999999
56	9532	112.5615
57	7189	111.9675
58	220717	111.671
59	3301	110.96100000000001
60	7133	110.1605
61	10454	109.35999999999999
62	3310	107.95900000000002
63	347733	107.8595
64	8767	107.4585
65	7185	106.05799999999999
66	7314	105.45750000000001
67	708	104.356
68	409	103.05499999999999
69	8607	102.15650000000001
70	1917	101.95450000000001
71	6233	99.5525
72	7311	99.45349999999999
73	51003	99.299
74	11140	97.357
75	6156	97.15299999999999
76	6207	96.75399999999999
77	408	96.4515
78	6128	94.652
79	10856	93.8555
80	6232	93.551
81	8454	92.4805
82	6188	90.85
83	9349	90.6505
84	292	89.5495
85	293	89.449
86	7316	89.3515
87	6205	87.94800000000001
88	10985	87.64750000000001
89	6202	86.2485
90	6217	85.147
91	6224	84.046
92	7534	82.992
93	6135	82.04549999999999
94	6191	81.54650000000001
95	6208	81.44500000000001
96	2091	81.3445
97	6132	78.7415
98	6129	78.143
99	6141	77.944
100	6130	76.44200000000001
