rank	node	rank_score
1	11187	180.1
2	1823	179.1995
3	5318	178.299
4	1828	177.3985
5	8082	176.498
6	6445	175.5975
7	6443	174.697
8	8910	173.7965
9	5317	171.196
10	58	170.995
11	7398	170.19549999999998
12	84676	169.8945
13	51086	169.0935
14	6271	168.594
15	8790	167.39249999999998
16	1264	165.39000000000001
17	58529	163.8895
18	2318	163.189
19	91977	161.5885
20	8557	161.08800000000002
21	64750	159.9875
22	87	159.7865
23	7273	159.487
24	4703	157.686
25	125950	156.7855
26	84665	155.185
27	81	154.1835
28	10529	153.4845
29	89	153.484
30	70	152.082
31	135	151.783
32	4892	150.3825
33	823	149.862
34	5310	145.281
35	999	144.1805
36	1495	143.48
37	1499	142.4795
38	1001	141.079
39	1500	140.9785
40	1003	138.778
41	768	138.6775
42	8502	137.677
43	1825	136.7765
44	5784	135.7735
45	1000	135.676
46	1501	134.5745
47	55914	133.574
48	7082	131.3725
49	421	130.072
50	51762	129.57150000000001
51	55591	129.0755
52	1308	128.673
53	4647	128.375
54	81493	128.193
55	1013	127.471
56	50937	126.5705
57	91653	125.67
58	57554	123.4695
59	23037	122.96900000000001
60	7431	114.9625
61	5581	113.4645
62	1956	112.25750000000001
63	839	111.792
64	6714	110.56649999999999
65	2904	106.9605
66	2274	105.08099999999999
67	5578	104.15950000000001
68	5770	103.0565
69	5175	101.264
70	4233	96.8365
71	3875	95.659
72	60312	93.863
73	815	93.7615
74	2241	90.8635
75	2534	90.5685
76	2670	89.061
77	5580	88.756
78	5590	88.55699999999999
79	7094	87.87100000000001
80	5795	87.3115
81	5579	86.054
82	2902	84.953
83	2705	84.05499999999999
84	26136	83.9705
85	2893	83.758
86	5566	83.6815
87	818	83.1585
88	5782	82.736
89	5583	81.7515
90	5587	81.646
91	5582	80.9525
92	5588	79.35
93	4001	78.94200000000001
94	5788	78.437
95	5584	78.149
96	6199	76.8535
97	6876	76.8495
98	4900	76.0485
99	120	75.148
100	2890	74.25450000000001
101	5734	73.6505
102	2560	73.152
103	65108	71.747
104	4627	71.5375
105	1103	71.05550000000001
106	9267	68.84400000000001
107	2566	68.345
108	846	67.839
109	433	67.0435
110	119	66.351
