rank	node	rank_score
1	3108	180.1
2	4067	170.09449999999998
3	3732	159.099
4	967	158.29850000000002
5	3560	156.288
6	3932	156.19
7	6850	155.391
8	3717	155.2875
9	5777	155.1865
10	6776	153.8895
11	6777	152.487
12	2185	152.0825
13	6464	151.083
14	2534	149.9885
15	867	148.381
16	5781	148.084
17	7409	146.3795
18	2057	146.1835
19	3718	145.88600000000002
20	5295	145.48
21	3716	144.9845
22	1439	144.785
23	5159	144.5805
24	3815	143.98899999999998
25	3643	142.278
26	1399	140.4785
27	9846	138.5675
28	7535	138.2665
29	920	136.9975
30	5829	136.772
31	972	135.09949999999998
32	7852	134.9915
33	10603	134.88150000000002
34	2690	134.4765
35	6772	130.7855
36	2064	130.377
37	55824	130.1655
38	5921	130.07150000000001
39	3937	129.8635
40	1956	129.673
41	9021	128.9755
42	930	128.293
43	1493	128.279
44	5156	126.171
45	1398	125.4725
46	613	125.36800000000001
47	6714	125.17049999999999
48	3480	124.27350000000001
49	5335	123.367
50	8651	122.375
51	2885	122.16599999999998
52	5771	121.876
53	2065	121.46900000000001
54	1445	121.06949999999999
55	3667	120.97449999999999
56	7297	120.57750000000001
57	2549	118.965
58	5336	118.86399999999999
59	6654	117.86449999999999
60	3676	117.798
61	5770	117.3685
62	27040	116.76199999999999
63	1796	116.47
64	8660	116.174
65	10451	109.4625
66	29760	109.06300000000002
67	6461	108.9615
68	3055	108.856
69	4914	108.66
70	974	108.492
71	5795	107.76050000000001
72	11184	107.561
73	25	107.5595
74	10657	107.0545
75	919	104.832
76	4233	104.15900000000002
77	9564	103.9565
78	2889	103.1555
79	973	100.9905
80	7006	100.95750000000001
81	3635	100.7475
82	5782	100.25699999999999
83	5296	100.155
84	2887	99.6585
85	921	99.4315
86	27	98.35249999999999
87	1436	97.94800000000001
88	6452	97.258
89	975	96.997
90	963	95.9965
91	3702	95.5535
92	3688	95.19500000000001
93	3105	94.896
94	931	94.7955
95	10006	94.753
96	914	94.625
97	695	93.554
98	928	91.894
99	5738	91.7935
100	4690	91.652
101	10278	89.4515
102	1441	89.137
103	933	88.935
104	6655	88.751
105	2066	87.5505
106	7454	84.94500000000001
107	3791	83.05
108	100124696	82.8445
109	5800	82.5435
110	2321	82.3495
111	7525	82.3485
112	50807	82.1465
113	2268	82.143
114	7410	81.84549999999999
115	10818	80.749
116	660	78.04400000000001
117	1234	77.782
118	5979	77.547
119	3572	74.54249999999999
120	5175	73.846
121	26191	73.6365
122	5793	72.7415
123	9402	72.44200000000001
124	7010	72.341
125	5787	72.03999999999999
126	55715	70.5405
127	857	68.239
128	5595	67.6385
129	2213	67.438
130	2242	66.73949999999999
131	5580	66.036
132	25970	65.8375
133	4582	61.5355
134	7462	59.134
135	30011	55.928999999999995
136	10019	55.629999999999995
137	2260	55.13250000000001
138	4739	55.033500000000004
139	10750	54.53099999999999
140	23607	53.8255
141	940	52.93050000000001
142	9743	52.7275
143	558	51.929500000000004
144	3454	51.2155
145	8440	50.327999999999996
146	56955	46.7245
147	640	46.6345
148	1499	45.827
149	1000	45.2265
150	238	44.628499999999995
151	58512	44.2235
152	9103	43.733
153	128853	43.724000000000004
154	2886	43.525999999999996
155	83747	42.423
156	3636	40.121500000000005
157	2209	39.400999999999996
158	53358	38.92
159	356	38.021
160	4915	37.8195
161	6892	37.3945
162	2533	37.320499999999996
163	2923	37.193
164	6890	36.8925
165	567	36.69199999999999
166	3135	36.491499999999995
167	4486	36.4225
168	3133	35.991
169	3134	35.9905
170	10859	35.989999999999995
171	811	35.9895
172	3675	35.8865
173	821	35.489
174	2515	35.3925
175	10288	35.1885
176	912	35.0875
177	925	34.988
178	3655	34.4855
179	7106	34.285000000000004
180	977	33.984
181	3566	33.9185
182	3561	33.819
183	4179	33.7845
184	27071	33.522000000000006
185	6503	30.2175
186	5338	30.214499999999997
187	10399	29.016
188	916	28.5135
189	50852	27.613
190	6004	25.618000000000002
191	8853	25.1125
192	8503	23.1165
193	7275	22.5105
194	5578	22.415
195	80831	21.812
196	23624	20.317
197	1795	20.009999999999998
198	64714	18.6005
199	4050	18.381999999999998
200	25759	17.4095
201	1969	17.314
202	5170	17.107499999999998
203	6513	16.783
204	27240	16.6115
205	9046	16.511000000000003
206	3690	15.008500000000002
207	8751	13.508
208	58480	9.2135
209	85358	7.412999999999999
210	2904	7.106
211	5287	7.0105
212	9229	6.912000000000001
213	2048	6.8015
214	4058	6.509
215	139716	6.411499999999999
216	1154	4.704
217	2322	4.1085
218	10044	4.104
219	3691	3.91
220	5587	3.9065
221	6504	3.7034999999999996
222	960	3.6090000000000004
223	3563	3.6034999999999995
224	4068	3.503
225	5581	3.007
226	5792	2.8095
227	445815	2.602
228	8471	2.5085
229	1601	2.3055
230	5588	1.7045000000000001
231	5290	1.7045000000000001
232	493	1.607
233	5590	1.605
234	2241	1.5045
235	30837	1.408
236	2934	1.404
237	79930	1.0055
238	5579	0.8025
239	5894	0.603
240	3689	0.502
241	1500	0.40499999999999997
242	7430	0.098
243	4478	0.0975
244	2212	0.0035000000000000005
245	4145	0.003
246	9228	0.003
247	118788	0.0025
248	10188	0.0015
249	8470	0.0015
250	9047	0.001
251	3728	0.001
252	7294	0.0005
253	5618	0.0005
254	1003	0.0005
255	5583	0.0005
