rank	node	rank_score
1	2588	180.1
2	3938	179.1995
3	8972	178.299
4	2595	177.3985
5	3425	176.498
6	4759	175.5975
7	129807	174.49650000000003
8	64772	173.997
9	55907	172.89600000000002
10	4123	171.9955
11	4125	171.095
12	6476	170.1945
13	5260	169.294
14	5834	168.3935
15	2632	167.493
16	5837	166.5925
17	178	165.692
18	8908	164.79149999999998
19	2992	163.891
20	5565	162.9905
21	5563	160.0875
22	55971	159.18699999999998
23	5973	159.09
24	57620	158.2865
25	27159	158.1895
26	23031	157.38600000000002
27	55577	157.089
28	54682	156.5885
29	6786	156.4855
30	9064	155.58499999999998
31	1118	155.488
32	9644	152.1845
33	51422	149.283
34	5571	149.1825
35	8408	148.682
36	5562	146.781
37	96459	146.0795
38	5564	145.88
39	53632	144.47899999999998
40	9891	141.978
41	5230	135.38150000000002
42	10218	128.3805
43	11140	128.17649999999998
44	201163	126.77849999999998
45	9189	124.07750000000001
46	9821	106.67150000000001
47	1046	106.47350000000002
48	2673	106.277
49	9776	101.7705
50	440738	101.671
51	60673	100.07000000000001
52	23710	98.06949999999999
53	11345	97.7675
54	11337	96.5685
55	51479	96.56649999999999
56	9895	95.167
57	23102	94.666
58	23192	93.96900000000001
59	81631	93.3655
60	89890	93.065
61	9667	92.7635
62	161582	91.564
63	32	90.173
64	64786	89.961
65	83734	89.463
66	2631	88.86449999999999
67	64422	88.7625
68	63891	88.468
69	10533	88.062
70	55054	87.2615
71	135112	85.6605
72	84557	84.55850000000001
73	8439	84.058
74	91754	82.95599999999999
75	3030	81.155
76	9140	80.26
77	9685	80.05550000000001
78	9024	79.7755
79	9474	79.5595
80	54958	79.357
81	84078	78.8575
82	8878	78.3545
83	8508	78.25399999999999
84	9817	78.15650000000001
85	6794	77.376
86	4077	77.0535
87	6788	76.451
88	81788	76.375
89	3032	75.953
90	84446	75.8745
91	9706	75.759
92	2288	75.54549999999999
93	83593	75.3505
94	54861	75.174
95	79443	75.0525
96	6789	74.65
97	11186	73.7495
98	4131	73.049
99	79876	72.5485
100	8987	70.3515
101	23637	69.252
102	9770	68.2475
103	283349	67.547
104	60485	66.8465
105	23130	66.648
106	83937	66.146
107	79016	64.644
108	5286	63.845000000000006
109	5036	63.144499999999994
110	2639	62.4415
111	1892	61.34349999999999
112	128710	61.342000000000006
113	55626	61.043000000000006
114	54093	59.942499999999995
115	79686	59.7405
116	115201	57.54
117	56904	57.3395
118	6897	57.241
119	4217	56.784000000000006
120	3033	55.839
121	549	52.5385
122	55268	51.838
123	1891	51.3375
124	80724	50.237
125	35	49.4365
126	84129	48.736000000000004
127	5573	48.6155
128	28976	48.0355
129	1962	47.6335
130	36	47.335
131	34	46.6345
132	3295	46.132999999999996
133	7001	46.128
134	30	45.434000000000005
135	51	44.6325
136	27034	44.332
137	10645	44.072
138	139341	43.717
139	8309	42.8315
140	2877	42.131
141	2879	41.4305
142	847	40.730000000000004
143	84264	40.424
144	2878	40.0295
145	3029	39.423500000000004
146	6649	39.2285
147	2876	38.629000000000005
148	6647	37.2275
149	257202	36.727
150	10935	35.9265
151	6648	35.126
152	8802	35.019
153	2108	34.9145
154	3158	34.5225
155	5052	34.4255
156	8801	34.3185
157	2936	33.725
158	39	33.722
159	4093	33.684000000000005
160	2998	33.5835
161	3028	33.221500000000006
162	116285	32.9245
163	64064	32.32
164	3157	32.121
165	38	31.6205
166	5019	31.4195
167	2181	30.923000000000002
168	84171	29.2725
169	54511	29.219
170	65985	29.1175
171	223	29.014999999999997
172	3155	25.7185
173	622	25.118000000000002
174	1738	24.4165
175	8050	20.003
176	3843	19.611
177	23464	19.6025
178	4594	18.902
179	7915	18.016
180	4967	18.0015
181	8803	17.6005
182	212	17.401
183	3337	15.011000000000001
184	97	14.5725
185	669	14.472
186	594	14.413999999999998
187	26227	14.371500000000001
188	5232	14.271
189	112611	14.1705
190	5223	14.069999999999999
