rank	node	rank_score
1	3073	180.1
2	2588	179.1995
3	4758	177.899
4	2990	177.79850000000002
5	3938	176.498
6	2799	175.29749999999999
7	2595	174.797
8	8972	173.8965
9	2548	172.996
10	4759	171.9955
11	129807	170.995
12	64772	170.2945
13	55907	169.294
14	5360	168.3935
15	3425	167.493
16	3423	166.5925
17	4669	165.692
18	6476	164.391
19	2717	164.29149999999998
20	338	146.3875
21	4123	144.6905
22	1514	138.8515
23	1071	125.49000000000001
24	6670	124.8895
25	7402	123.38699999999999
26	3990	120.47350000000002
27	6720	119.5845
28	345	118.78099999999999
29	6667	117.7865
30	1551	117.4875
31	6573	115.48600000000002
32	1576	113.2835
33	3868	112.78400000000002
34	3172	112.7825
35	6574	112.18499999999999
36	7026	108.4805
37	7025	106.0685
38	2822	103.38899999999998
39	8721	90.3745
40	6256	89.37100000000001
41	6721	89.18199999999999
42	949	88.5815
43	1050	87.0795
44	6927	85.84400000000001
45	2099	84.16900000000001
46	9612	81.268
47	5915	80.9675
48	8202	80.8655
49	8431	80.86449999999999
50	8648	80.565
51	5914	80.1665
52	5916	79.366
53	6258	78.164
54	23054	77.767
55	7376	77.7635
56	1387	76.973
57	7421	76.663
58	10062	75.9625
59	9971	75.35900000000001
60	9611	74.46000000000001
61	6257	74.162
62	8856	74.0605
63	7067	73.9615
64	5469	73.65799999999999
65	7068	72.0595
66	5465	72.05850000000001
67	8204	71.861
68	10891	71.5575
69	4125	71.1885
70	5451	71.06949999999999
71	4126	70.788
72	2100	66.857
73	55704	66.78
74	10499	65.054
75	4782	64.674
76	4800	64.579
77	3275	64.4565
78	2033	63.95550000000001
79	6658	63.778499999999994
80	5467	63.754999999999995
81	51702	63.178
82	367	63.054500000000004
83	4802	61.177499999999995
84	4801	60.777
85	2908	60.751
86	4603	60.3765
87	875	59.976
88	8805	59.9505
89	50509	59.4755
90	1997	59.275
91	337	58.3685
92	3159	57.572500000000005
93	23158	57.172000000000004
94	1565	56.98
95	6722	56.7715
96	6996	56.3515
97	50808	54.36800000000001
98	9862	53.8525
99	5371	53.5495
100	351	52.9905
101	6597	52.848
102	4035	52.4865
103	7080	51.852999999999994
104	1051	50.0705
105	1024	49.9365
106	9412	48.935500000000005
107	8850	48.239
108	196	47.445
109	9325	45.852
110	6908	45.7455
111	7018	45.552499999999995
112	3725	45.45
113	5925	44.1475
114	2959	44.037
115	892	44.033
116	5594	42.253499999999995
117	6599	40.2385
118	8841	39.9485
119	6601	39.8375
120	6602	39.336
121	2353	39.147000000000006
122	4088	38.649
123	6595	38.135000000000005
124	2962	37.2335
125	861	37.142
126	54760	37.034000000000006
127	1386	36.4465
128	6598	36.1345
129	5600	35.846
130	5430	35.8295
131	5595	35.4435
132	6604	35.1325
133	672	35.03
134	1022	34.427
135	10589	34.332
136	3065	34.0415
137	602	33.944
138	9601	33.6755
139	5970	33.3445
140	4654	33.340999999999994
141	6603	33.3315
142	4089	33.14
143	2965	33.131
144	2960	32.5305
145	5566	32.416
146	4087	32.0395
147	2	31.973000000000003
148	51102	31.856
149	5241	31.2425
150	10401	31.240499999999997
151	9440	31.222
152	9282	31.021000000000004
153	10001	30.4215
154	2967	30.0265
155	51592	29.838
156	4036	29.688
157	10025	29.22
158	9439	29.0205
159	322	28.983000000000004
160	9968	28.9195
161	321	28.7845
162	3437	28.6555
163	22883	27.982499999999998
164	1191	27.589999999999996
165	2071	27.326
166	5444	27.188499999999998
167	81857	27.119
168	9969	27.1185
169	573	26.943
170	6605	26.828999999999997
171	5621	26.288999999999998
172	9443	25.818
173	57492	25.5285
174	2551	25.373
175	9442	24.417
176	8289	24.2275
177	3066	24.128
178	9477	23.816
179	86	23.7255
180	7436	23.5895
181	400569	23.3155
182	51586	23.1175
183	7276	23.072
184	23389	23.015
185	29079	22.916500000000003
186	1025	22.822499999999998
187	6837	22.613999999999997
188	9784	22.487000000000002
189	23097	22.2135
190	84246	22.1145
191	54797	21.813
192	7155	21.625
193	90390	21.5125
194	112950	20.812
195	9441	20.5115
196	9967	20.508499999999998
197	80306	20.111
198	55090	19.8105
199	55588	19.41
200	51003	19.3095
201	7804	19.0855
202	10498	19.0245
203	25942	19.023500000000002
204	3493	18.9535
205	213	18.953
206	219541	18.909
207	4043	18.886000000000003
208	5928	18.823
209	6328	18.485
210	7157	18.224
211	28916	17.951999999999998
212	5646	17.949
213	3514	17.7505
214	341	17.7485
215	7184	17.676
216	8295	17.6025
217	8029	17.551
218	3500	17.448
219	2648	17.301499999999997
220	811	17.1715
221	2157	17.1705
222	79691	16.947499999999998
223	821	16.7725
224	3857	16.647
225	1580	16.5855
226	904	16.505000000000003
227	1600	16.484
228	9479	16.482
229	5649	16.3835
230	9722	16.1815
231	9270	15.778
232	55333	15.6775
233	334	15.581
234	1601	15.480500000000001
235	333	15.38
236	10418	15.279499999999999
237	23064	15.245
238	10307	15.178999999999998
239	151568	15.075999999999999
240	7038	15.075
241	5067	14.9785
242	338412	14.9755
243	10525	14.874
244	3507	14.8465
245	336	14.845499999999998
246	3309	14.7745
247	152330	14.677000000000001
248	3848	14.545999999999998
249	63941	14.376499999999998
250	23126	14.37
251	7450	14.171000000000001
252	2923	13.77
253	3175	13.77
254	3359	13.5695
255	3134	13.4685
256	567	13.369
257	3133	13.268
258	6892	13.1675
259	3135	13.066999999999998
260	6890	12.9665
261	6891	12.866
262	3105	12.7655
263	10859	12.665000000000001
264	2243	12.643
265	3107	12.564499999999999
266	10288	12.464
267	5705	12.4625
268	925	12.363
269	3106	12.262
270	912	12.1635
271	6955	12.061499999999999
272	5034	11.9625
273	10855	11.872499999999999
274	3824	11.861
275	915	11.76
276	10134	11.6595
277	6513	11.559000000000001
278	11093	11.4605
279	22820	11.2585
280	1315	11.158
281	3822	11.057500000000001
282	2064	10.857
283	23542	10.756499999999999
284	5439	9.708
285	3077	9.35
286	55031	9.3455
287	5433	9.307500000000001
288	8819	9.0205
289	5432	8.907
290	5436	8.8065
291	3621	8.72
292	6872	8.621
293	51742	8.619499999999999
294	5950	8.5495
295	7074	8.454
296	5931	8.419
297	5435	8.406
298	9219	8.3185
299	5438	8.005500000000001
300	27034	7.945
301	8535	7.844499999999999
302	5434	7.705
303	2101	7.343000000000001
304	959	7.337000000000001
305	5440	7.3045
306	3538	7.2425
307	53615	7.117
308	2670	7.1065
309	2966	7.0035
310	5581	6.9445
311	3250	6.9365
312	6880	6.9155
313	5431	6.903999999999999
314	7037	6.843500000000001
315	10284	6.715000000000001
316	53981	6.614
317	1080	6.555
318	2068	6.503
319	79139	6.4545
320	8932	6.418000000000001
321	6878	6.314500000000001
322	5580	6.241
323	5441	6.202
324	917	6.0415
325	3516	6.034000000000001
326	57459	6.0175
327	4297	6.0135
328	5583	5.9405
329	9794	5.9335
330	6830	5.833
331	4001	5.82
332	8189	5.813
333	2961	5.8025
334	5437	5.8015
335	5582	5.742
336	51763	5.7325
337	433	5.64
338	4851	5.632
339	5977	5.6165
340	1108	5.616
341	2968	5.6005
342	5584	5.539
343	6883	5.5125
344	1267	5.439500000000001
345	23028	5.411499999999999
346	6876	5.332
347	5929	5.312
348	2963	5.301
349	5588	5.2385
350	5243	5.138
351	5590	5.0365
352	4900	4.9375
353	1107	4.911
354	11091	4.910500000000001
355	120	4.837
356	65108	4.736
357	5579	4.6345
358	2705	4.5329999999999995
359	5734	4.435499999999999
360	7504	4.335
361	5578	4.2325
362	5901	4.2095
363	5341	4.134
364	846	4.0335
365	8467	4.01
366	5066	3.9314999999999998
367	2566	3.8310000000000004
368	2561	3.7295000000000003
369	9343	3.7090000000000005
370	2560	3.6305
371	2152	3.53
372	4985	3.429
373	4609	3.408
374	2781	3.3270000000000004
375	10287	3.2245
376	2769	3.1265
377	9267	3.0285
378	11198	3.0145
379	150	2.928
380	119	2.8274999999999997
381	9031	2.807
382	2890	2.726
383	2893	2.6254999999999997
384	6624	2.524
385	2673	2.425
386	4082	2.3235
387	624	2.223
388	4842	2.1215
389	4689	2.022
390	26015	2.0155000000000003
391	118	1.9225
392	9150	1.9149999999999998
393	4225	1.8210000000000002
394	3150	1.7185
395	3554	1.6179999999999999
396	399511	1.6135000000000002
397	2911	1.519
398	9266	1.4195
399	6917	1.413
400	26353	1.3175000000000001
401	3559	1.217
402	9421	1.1164999999999998
403	3689	1.0205
404	1869	1.0065
405	7137	0.8154999999999999
406	4298	0.8109999999999999
407	5568	0.7150000000000001
408	5567	0.6144999999999999
409	7044	0.6105
410	3315	0.514
411	4331	0.5075000000000001
412	2931	0.4135
413	902	0.40700000000000003
414	6199	0.313
415	404672	0.3065
416	9338	0.21200000000000002
417	5782	0.1125
418	22983	0.086
419	1558	0.08549999999999999
420	9361	0.08499999999999999
421	24138	0.08449999999999999
422	140545	0.08399999999999999
423	51295	0.08349999999999999
424	642	0.08299999999999999
425	1995	0.08249999999999999
426	84171	0.08199999999999999
427	5886	0.08149999999999999
428	401	0.08149999999999999
429	11140	0.081
430	7001	0.0805
431	84106	0.08
432	6468	0.0795
433	5670	0.079
434	4846	0.079
435	7941	0.0785
436	54536	0.0785
437	2639	0.078
438	51013	0.0775
439	10724	0.077
440	10053	0.0765
441	3337	0.076
442	57559	0.0755
443	5664	0.075
444	54850	0.0745
445	1559	0.074
446	5663	0.0735
447	1020	0.073
448	7372	0.0725
449	339175	0.072
450	55798	0.0715
451	22976	0.0705
452	1605	0.06999999999999999
453	23385	0.06899999999999999
454	83464	0.0685
455	23621	0.0675
456	682	0.0665
457	51107	0.066
458	55851	0.0655
459	55957	0.0645
460	84898	0.0625
461	8513	0.057499999999999996
462	5408	0.056999999999999995
463	5407	0.056499999999999995
464	9970	0.056499999999999995
465	3732	0.05600000000000001
466	9388	0.05600000000000001
467	5406	0.05550000000000001
468	5449	0.05550000000000001
469	11343	0.05500000000000001
470	926	0.05450000000000001
471	1208	0.05450000000000001
472	2710	0.054000000000000006
473	26958	0.053000000000000005
474	22818	0.052500000000000005
475	51226	0.052000000000000005
476	1562	0.052000000000000005
477	372	0.051500000000000004
478	51272	0.051000000000000004
479	11316	0.0505
480	9276	0.05
481	10755	0.0495
482	1314	0.049
483	22908	0.0485
484	7047	0.0485
485	387082	0.048
486	2258	0.0475
487	30001	0.047
488	720	0.041499999999999995
489	259	0.0405
490	2335	0.04
491	7356	0.0395
492	354	0.039
493	3486	0.0385
494	80205	0.0385
495	595	0.038
496	3586	0.037
497	6767	0.036
498	7036	0.0355
499	79925	0.034999999999999996
500	8031	0.034499999999999996
501	283160	0.033
502	5054	0.032
503	5340	0.0315
504	5328	0.031
505	5327	0.0305
506	2147	0.03
507	5104	0.028999999999999998
508	710	0.028499999999999998
509	3053	0.028000000000000004
510	7056	0.027000000000000003
511	7057	0.026500000000000003
512	3827	0.026000000000000002
513	2160	0.025500000000000002
514	3488	0.025
515	1991	0.0245
516	5345	0.024
517	2149	0.0235
518	1511	0.023
519	5275	0.0225
520	2150	0.022
521	5265	0.0215
522	26085	0.020999999999999998
523	1361	0.020499999999999997
524	5644	0.02
525	3817	0.0195
526	5269	0.019
527	12	0.0185
528	2153	0.018
529	5624	0.017499999999999998
530	5627	0.017
531	2159	0.0165
532	1356	0.015
533	4018	0.014000000000000002
534	1990	0.013500000000000002
535	2244	0.013000000000000001
536	350	0.0125
537	2161	0.012
538	4780	0.0115
539	156	0.011
540	3818	0.011
541	960	0.010499999999999999
542	5788	0.01
543	1956	0.0095
544	53353	0.0095
545	4233	0.009
546	5587	0.0085
547	301	0.008
548	7035	0.008
549	6714	0.0075
550	85509	0.0075
551	60312	0.007000000000000001
552	3685	0.007000000000000001
553	5329	0.006500000000000001
554	2904	0.006
555	7448	0.006
556	5770	0.0055
557	4321	0.0055
