rank	node	rank_score
1	5104	180.1
2	2811	179.1995
3	55330	178.299
4	63915	177.3985
5	2647	176.498
6	282991	175.4975
7	79803	174.797
8	26258	173.7965
9	23557	172.796
10	10947	172.0955
11	10239	171.095
12	1176	170.1945
13	8120	169.294
14	26985	168.3935
15	8943	167.493
16	3674	166.4925
17	2812	165.592
18	7056	164.189
19	961	163.3905
20	928	162.0895
21	7781	161.388
22	7057	160.69
23	811	159.8915
24	5327	159.291
25	948	156.2885
26	5269	156.087
27	3675	154.8875
28	5340	152.786
29	5328	151.9865
30	5345	151.4855
31	2335	147.97449999999998
32	3688	145.77550000000002
33	1278	145.273
34	7052	145.272
35	6678	144.27249999999998
36	1277	143.974
37	3685	142.3765
38	4811	141.876
39	3678	139.67000000000002
40	4318	139.47150000000002
41	4035	137.6815
42	5054	136.38400000000001
43	4856	135.8695
44	3827	135.783
45	3817	135.385
46	3673	134.0645
47	1490	133.6685
48	3339	133.36599999999999
49	2192	132.96800000000002
50	284217	131.76500000000001
51	5653	130.6835
52	1305	128.553
53	1991	127.782
54	2199	127.1635
55	5549	126.96300000000001
56	5155	124.2655
57	1285	122.26399999999998
58	1282	120.76050000000001
59	351	119.3665
60	80781	119.3625
61	7448	118.67699999999999
62	22918	117.16100000000002
63	5329	117.07750000000001
64	1287	116.5615
65	1293	116.551
66	1288	116.362
67	7040	116.25550000000001
68	1286	116.15950000000001
69	5270	115.55999999999999
70	22795	115.25349999999999
71	1634	115.157
72	3672	114.25050000000002
73	7045	113.95750000000001
74	1284	113.8585
75	1511	113.08099999999999
76	4147	112.35799999999999
77	3026	112.15900000000002
78	4982	110.269
79	1280	109.55499999999999
80	5008	109.15650000000001
81	6288	107.756
82	2149	107.4795
83	2006	106.25399999999999
84	3488	106.167
85	3684	106.078
86	633	105.8545
87	2200	104.95250000000001
88	3386	104.375
89	6696	104.349
90	3693	102.0485
91	4313	101.9515
92	4237	101.247
93	27329	101.16749999999999
94	1294	100.35
95	550	100.0495
96	164656	99.038
97	4052	96.352
98	3918	95.4475
99	2923	94.548
100	3486	94.471
101	2201	93.2465
102	53353	92.04400000000001
103	3915	90.546
104	5029	87.428
105	1690	86.845
106	3914	86.73949999999999
107	3818	86.08250000000001
108	3911	84.84549999999999
109	649	84.239
110	3082	82.0735
111	4316	79.54249999999999
112	960	77.643
113	7035	77.64099999999999
114	1101	76.0435
115	4321	75.84049999999999
116	4312	75.44149999999999
117	12	74.1785
118	354	72.97049999999999
119	7422	72.0385
120	5858	71.94449999999999
121	7042	70.742
122	2150	69.88
123	651	67.9295
124	710	67.38050000000001
125	3273	65.6845
126	4314	65.1375
127	63827	64.037
128	7076	62.9365
129	1404	62.236000000000004
130	176	62.1355
131	4018	61.720499999999994
132	1462	60.735
133	6387	58.73299999999999
134	3676	57.6345
135	1289	57.31700000000001
136	967	56.934000000000005
137	7058	55.8335
138	4099	54.8165
139	3655	54.7325
140	3732	53.13099999999999
141	3491	53.032
142	977	51.33050000000001
143	4323	50.525
144	4319	50.3255
145	5738	49.93
146	3696	49.4245
147	4322	48.324
148	1839	48.229
149	7078	46.923500000000004
150	821	46.32
151	8754	44.3315
152	5265	43.7195
153	90070	43.4215
154	4179	43.027499999999996
155	6382	42.822500000000005
156	3694	42.814
157	4054	42.128499999999995
158	975	42.0265
159	7106	41.927
160	963	39.626
161	9507	37.719
162	5354	37.016
163	8475	36.479
164	712	35.64
165	950	34.8875
166	8076	34.121
167	6354	34.022000000000006
168	718	33.323
169	4224	33.3175
170	7043	30.2135
171	2331	27.8125
172	6383	24.9155
173	5196	23.815
174	5657	23.7185
175	3909	23.414499999999997
176	3934	23.4095
177	3912	22.409
178	1291	20.808500000000002
179	5275	19.718
180	4192	18.909
181	2247	18.813
182	7980	17.779
183	3959	15.0125
184	3689	15.012
185	2515	14.407999999999998
186	51454	14.211500000000001
187	3481	13.000499999999999
188	4653	12.306999999999999
189	1281	11.602500000000001
190	2252	11.402
191	2208	11.0105
192	8516	11.006
193	3679	10.506499999999999
194	3485	10.0105
195	6670	9.908
196	7049	9.7065
197	7018	8.91
198	2	8.9045
199	5118	8.7035
200	1361	8.604000000000001
201	3053	8.2085
202	1514	7.8095
203	3479	7.206999999999999
204	1990	5.0035
205	4060	4.904999999999999
206	26085	4.303
207	3490	4.106
208	7094	3.711
209	3426	3.71
210	3500	3.6055
211	5310	2.8075
212	3483	2.0065
213	3691	1.8015
214	5747	1.7055
215	3913	1.6009999999999998
216	6667	1.4155
217	5829	0.5005
218	3680	0.303
219	9672	0.20249999999999999
220	7412	0.202
221	7070	0.079
222	682	0.0125
223	3949	0.01
224	2274	0.007000000000000001
225	2022	0.006500000000000001
226	7048	0.0055
227	94	0.005
228	5154	0.005
229	7047	0.003
230	5578	0.0025
231	6407	0.002
232	3493	0.002
233	4036	0.002
234	3695	0.0015
235	6406	0.0015
236	5646	0.0015
237	823	0.0015
238	6401	0.001
239	56899	0.001
